ENSTTRP00000007399	ENSTTRG00000007829	Tursiops_truncatus
ENSSSCP00000014392	ENSSSCG00000013545	Sus_scrofa_strain_reference
ENSBIXP00000038836	ENSBIXG00000022728	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005031121	ENSBIXG00005001091	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000014560	ENSBTAG00000021013	Bos_taurus
ENSBMUP00000000389	ENSBMUG00000000367	Bos_mutus
ENSBBBP00000025422	ENSBBBG00000000506	Bison_bison_bison
ENSCHIP00000022141	ENSCHIG00000020195	Capra_hircus
ENSOARP00000005923	ENSOARG00000005516	Ovis_aries
ENSEASP00005000318	ENSEASG00005000331	Equus_asinus_asinus
ENSECAP00000011439	ENSECAG00000037214	Equus_caballus
ENSMLUP00000014211	ENSMLUG00000015607	Myotis_lucifugus
ENSCLAP00000012792	ENSCLAG00000008831	Chinchilla_lanigera
ENSFDAP00000008458	ENSFDAG00000016715	Fukomys_damarensis
ENSHGLP00000014542	ENSHGLG00000010413	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100000310	ENSHGLG00100000265	Heterocephalus_glaber_HetGla_1.0
ENSCPOP00000024965	ENSCPOG00000003237	Cavia_porcellus
ENSCAPP00000005109	ENSCAPG00000007484	Cavia_aperea
ENSODEP00000021429	ENSODEG00000015772	Octodon_degus
ENSDORP00000013430	ENSDORG00000030020	Dipodomys_ordii
ENSOCUP00000043125	ENSOCUG00000024997	Oryctolagus_cuniculus
ENSOPRP00000015652	ENSOPRG00000017153	Ochotona_princeps
ENSMNEP00000031862	ENSMNEG00000039323	Macaca_nemestrina
ENSMFAP00000022787	ENSMFAG00000043093	Macaca_fascicularis
ENSCATP00000031318	ENSCATG00000038781	Cercocebus_atys
ENSRROP00000009068	ENSRROG00000028962	Rhinopithecus_roxellana
ENSANAP00000007380	ENSANAG00000021769	Aotus_nancymaae
ENSTSYP00000017049	ENSTSYG00000028631	Carlito_syrichta
ENSPSMP00000014577	ENSPSMG00000010210	Prolemur_simus
ENSPCOP00000009249	ENSPCOG00000015978	Propithecus_coquereli
ENSOGAP00000015721	ENSOGAG00000027332	Otolemur_garnettii
ENSCJAP00000030426	ENSCJAG00000016534	Callithrix_jacchus
ENSSBOP00000005281	ENSSBOG00000019437	Saimiri_boliviensis_boliviensis
ENSCCAP00000002604	ENSCCAG00000013999	Cebus_capucinus_imitator
ENSANAP00000035980	ENSANAG00000035357	Aotus_nancymaae
ENSPTRP00000060866	ENSPTRG00000010369	Pan_troglodytes
ENSPPAP00000005203	ENSPPAG00000021486	Pan_paniscus
ENSP00000264071	ENSG00000104833	Homo_sapiens
ENSGGOP00000033667	ENSGGOG00000027067	Gorilla_gorilla
ENSNLEP00000045484	ENSNLEG00000032392	Nomascus_leucogenys
ENSPANP00000046076	ENSPANG00000017891	Papio_anubis
ENSTGEP00000024299	ENSTGEG00000019654	Theropithecus_gelada
ENSMMUP00000076820	ENSMMUG00000014216	Macaca_mulatta
ENSMFAP00000018876	ENSMFAG00000032489	Macaca_fascicularis
ENSMNEP00000029669	ENSMNEG00000038280	Macaca_nemestrina
ENSCATP00000018061	ENSCATG00000032861	Cercocebus_atys
ENSMLEP00000011740	ENSMLEG00000030013	Mandrillus_leucophaeus
ENSCSAP00000005835	ENSCSAG00000009578	Chlorocebus_sabaeus
ENSPTEP00000026836	ENSPTEG00000026804	Piliocolobus_tephrosceles
ENSCANP00000002343	ENSCANG00000007550	Colobus_angolensis_palliatus
ENSRROP00000002637	ENSRROG00000010011	Rhinopithecus_roxellana
ENSRBIP00000010257	ENSRBIG00000028889	Rhinopithecus_bieti
ENSRBIP00000035092	ENSRBIG00000041157	Rhinopithecus_bieti
ENSCANP00000020576	ENSCANG00000033723	Colobus_angolensis_palliatus
ENSMLEP00000028962	ENSMLEG00000038682	Mandrillus_leucophaeus
ENSPTRP00000074829	ENSPTRG00000050536	Pan_troglodytes
ENSPPAP00000012338	ENSPPAG00000029357	Pan_paniscus
ENSCGRP00000016363	ENSCGRG00000011883	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001001307	ENSCGRG00001001011	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015001859	ENSCGRG00015001516	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000016729	ENSMOCG00000015551	Microtus_ochrogaster
ENSPEMP00000023347	ENSPEMG00000028633	Peromyscus_maniculatus_bairdii
ENSMSIP00000025728	ENSMSIG00000021731	Mus_spicilegus
MGP_SPRETEiJ_P0047301	MGP_SPRETEiJ_G0022716	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000071135	ENSMUSG00000062591	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0045410	MGP_CAROLIEiJ_G0021805	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0044915	MGP_PahariEiJ_G0020794	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000065633	ENSRNOG00000047505	Rattus_norvegicus
ENSMAUP00000019661	ENSMAUG00000017901	Mesocricetus_auratus
ENSMUGP00000008300	ENSMUGG00000006560	Meriones_unguiculatus
ENSNGAP00000019797	ENSNGAG00000019498	Nannospalax_galili
ENSJJAP00000001208	ENSJJAG00000001103	Jaculus_jaculus
ENSSTOP00000021617	ENSSTOG00000020465	Ictidomys_tridecemlineatus
ENSUPAP00010030145	ENSUPAG00010023665	Urocitellus_parryii
ENSMMMP00000022259	ENSMMMG00000019550	Marmota_marmota_marmota
ENSCCNP00000028156	ENSCCNG00000027165	Castor_canadensis
ENSNVIP00000020215	ENSNVIG00000015845	Neovison_vison
ENSMPUP00000006903	ENSMPUG00000006958	Mustela_putorius_furo
ENSUAMP00000030069	ENSUAMG00000023108	Ursus_americanus
ENSUMAP00000015260	ENSUMAG00000011205	Ursus_maritimus
ENSCAFP00000027491	ENSCAFG00000018634	Canis_lupus_familiaris
ENSFCAP00000060344	ENSFCAG00000010269	Felis_catus
ENSCAFP00020024617	ENSCAFG00020019365	Canis_lupus_dingo
ENSMICP00000045731	ENSMICG00000014890	Microcebus_murinus
ENSPPRP00000020230	ENSPPRG00000011364	Panthera_pardus	ENSPPRT00000018646
ENSVVUP00000037312	ENSVVUG00000026690	Vulpes_vulpes	ENSVVUT00000049037
ENSPVAP00000006847	ENSPVAG00000007258	Pteropus_vampyrus	ENSPVAT00000007258
ENSTSYP00000016578	ENSTSYG00000030208	Carlito_syrichta
ENSDNOP00000023588	ENSDNOG00000044946	Dasypus_novemcinctus
ENSCPBP00000001227	ENSCPBG00000000984	Chrysemys_picta_bellii
ENSSLDP00000008589	ENSSLDG00000006820	Seriola_lalandi_dorsalis
