ENSCAFP00000057816	ENSCAFG00000049258	Canis_lupus_familiaris
ENSSSCP00000050975	ENSSSCG00000035267	Sus_scrofa_strain_reference	ENSSSCT00000052366
ENSRBIP00000039348	ENSRBIG00000043126	Rhinopithecus_bieti
ENSRROP00000008009	ENSRROG00000028349	Rhinopithecus_roxellana
ENSPTEP00000021031	ENSPTEG00000022159	Piliocolobus_tephrosceles
ENSMFAP00000010630	ENSMFAG00000008779	Macaca_fascicularis
ENSTGEP00000004635	ENSTGEG00000003868	Theropithecus_gelada
ENSPPAP00000015596	ENSPPAG00000030942	Pan_paniscus
ENSPTRP00000082701	ENSPTRG00000052401	Pan_troglodytes
ENSGGOP00000037844	ENSGGOG00000043206	Gorilla_gorilla
ENSNLEP00000038461	ENSNLEG00000033757	Nomascus_leucogenys
ENSCJAP00000075783	ENSCJAG00000055040	Callithrix_jacchus
ENSPSMP00000026086	ENSPSMG00000018292	Prolemur_simus
