ENSTNIP00000005572	ENSTNIG00000003003	Tetraodon_nigroviridis
ENSNBRP00000022931	ENSNBRG00000017524	Neolamprologus_brichardi
ENSAMXP00005044463	ENSAMXG00005020635	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSIPUP00000011752	ENSIPUG00000007959	Ictalurus_punctatus	ENSIPUT00000012245
ENSPMGP00000004910	ENSPMGG00000004034	Periophthalmus_magnuspinnatus
ENSHCOP00000028340	ENSHCOG00000020925	Hippocampus_comes
ENSORLP00000002900	ENSORLG00000002339	Oryzias_latipes_ASM223467v1
ENSLBEP00000020751	ENSLBEG00000015972	Labrus_bergylta
ENSFHEP00000019788	ENSFHEG00000021732	Fundulus_heteroclitus
ENSGAFP00000031371	ENSGAFG00000021137	Gambusia_affinis
ENSHBUP00000028966	ENSHBUG00000013094	Haplochromis_burtoni
ENSXMAP00000000111	ENSXMAG00000000102	Xiphophorus_maculatus
ENSSMAP00000027750	ENSSMAG00000016954	Scophthalmus_maximus
ENSOMEP00000026756	ENSOMEG00000008809	Oryzias_melastigma
ENSHHUP00000046514	ENSHHUG00000028300	Hucho_hucho
ENSDCDP00000061210	ENSDCDG00000034971	Denticeps_clupeoides	ENSDCDT00000073446
ENSGWIP00000001014	ENSGWIG00000000617	Gouania_willdenowi
ENSEEEP00000051549	ENSEEEG00000024204	Electrophorus_electricus	ENSEEET00000052106
ENSHHUP00000000784	ENSHHUG00000000484	Hucho_hucho
ENSSFOP00015027314	ENSSFOG00015017531	Scleropages_formosus
ENSORLP00020025530	ENSORLG00020007508	Oryzias_latipes_ASM223471v1
ENSCHAP00000012324	ENSCHAG00000006060	Clupea_harengus	ENSCHAT00000013735
ENSCGOP00000042819	ENSCGOG00000019291	Cottoperca_gobio
ENSPNYP00000000779	ENSPNYG00000000622	Pundamilia_nyererei
ENSCSEP00000011375	ENSCSEG00000007315	Cynoglossus_semilaevis
ENSAOCP00000016079	ENSAOCG00000020975	Amphiprion_ocellaris
ENSELUP00000002595	ENSELUG00000003906	Esox_lucius
ENSCVAP00000006615	ENSCVAG00000008218	Cyprinodon_variegatus
ENSMAMP00000023164	ENSMAMG00000015587	Mastacembelus_armatus
ENSLCRP00005018341	ENSLCRG00005007555	Larimichthys_crocea
ENSPREP00000004790	ENSPREG00000003333	Poecilia_reticulata
ENSACIP00000002255	ENSACIG00000001815	Amphilophus_citrinellus
ENSPMEP00000011921	ENSPMEG00000014075	Poecilia_mexicana
ENSACLP00000003393	ENSACLG00000002294	Astatotilapia_calliptera
ENSPNAP00000034790	ENSPNAG00000024341	Pygocentrus_nattereri
ENSATEP00000007443	ENSATEG00000005210	Anabas_testudineus
ENSBSLP00000031712	ENSBSLG00000015553	Betta_splendens
ENSMZEP00005003807	ENSMZEG00005002924	Maylandia_zebra
ENSMMOP00000009894	ENSMMOG00000007665	Mola_mola
ENSLCAP00010028378	ENSLCAG00010013318	Lates_calcarifer
ENSPFOP00000003251	ENSPFOG00000003091	Poecilia_formosa
ENSAMXP00000019463	ENSAMXG00000018904	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000019463
ENSDARP00000131871	ENSDARG00000104204	Danio_rerio
ENSMALP00000029495	ENSMALG00000020383	Monopterus_albus
ENSXCOP00000009674	ENSXCOG00000007365	Xiphophorus_couchianus
ENSORLP00015003035	ENSORLG00015003735	Oryzias_latipes_ASM223469v1
ENSONIP00000009230	ENSONIG00000007318	Oreochromis_niloticus
ENSGACP00000004366	ENSGACG00000003329	Gasterosteus_aculeatus
ENSSPAP00000023919	ENSSPAG00000017989	Stegastes_partitus
ENSAPEP00000001688	ENSAPEG00000001233	Amphiprion_percula
ENSLBEP00000029730	ENSLBEG00000022477	Labrus_bergylta
ENSSDUP00000029121	ENSSDUG00000020988	Seriola_dumerili
ENSSFOP00015034207	ENSSFOG00015021804	Scleropages_formosus
ENSGMOP00000011721	ENSGMOG00000010963	Gadus_morhua
ENSSLDP00000017804	ENSSLDG00000014029	Seriola_lalandi_dorsalis
ENSLCAP00010003077	ENSLCAG00010001608	Lates_calcarifer
ENSAPOP00000010058	ENSAPOG00000012494	Acanthochromis_polyacanthus
ENSKMAP00000014583	ENSKMAG00000010923	Kryptolebias_marmoratus
ENSTRUP00000027927	ENSTRUG00000011065	Takifugu_rubripes
