ENSMEUP00000007480	ENSMEUG00000008166	Notamacropus_eugenii	ENSMEUT00000008208
ENSSHAP00000013256	ENSSHAG00000011334	Sarcophilus_harrisii	ENSSHAT00000013365
ENSMODP00000048168	ENSMODG00000016755	Monodelphis_domestica	ENSMODT00000079420
ENSCCNP00000008423	ENSCCNG00000008920	Castor_canadensis	ENSCCNT00000011110
ENSDORP00000006826	ENSDORG00000007281	Dipodomys_ordii	ENSDORT00000007281
ENSMSIP00000028979	ENSMSIG00000024335	Mus_spicilegus	ENSMSIT00000036526
MGP_SPRETEiJ_P0038968	MGP_SPRETEiJ_G0020346	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0038968
ENSMUSP00000022640	ENSMUSG00000022056	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0037232	MGP_CAROLIEiJ_G0019454	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0085329	MGP_PahariEiJ_G0030471	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000019209	ENSRNOG00000014054	Rattus_norvegicus
ENSMUGP00000019169	ENSMUGG00000016221	Meriones_unguiculatus
ENSCGRP00001008241	ENSCGRG00001010547	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015010168	ENSCGRG00015007814	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000022163	ENSCGRG00000016059	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000012524	ENSPEMG00000012803	Peromyscus_maniculatus_bairdii
ENSMOCP00000027120	ENSMOCG00000022709	Microtus_ochrogaster
ENSNGAP00000025168	ENSNGAG00000023201	Nannospalax_galili
ENSJJAP00000014126	ENSJJAG00000016655	Jaculus_jaculus
ENSCLAP00000019229	ENSCLAG00000013174	Chinchilla_lanigera
ENSODEP00000010093	ENSODEG00000007547	Octodon_degus
ENSCPOP00000001391	ENSCPOG00000001538	Cavia_porcellus
ENSCAPP00000011475	ENSCAPG00000012534	Cavia_aperea
ENSHGLP00000024789	ENSHGLG00000017673	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007852	ENSHGLG00100005846	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021900	ENSFDAG00000007371	Fukomys_damarensis
ENSSTOP00000011631	ENSSTOG00000012955	Ictidomys_tridecemlineatus
ENSUPAP00010021815	ENSUPAG00010017328	Urocitellus_parryii
ENSMMMP00000015587	ENSMMMG00000013881	Marmota_marmota_marmota
ENSOCUP00000010416	ENSOCUG00000012104	Oryctolagus_cuniculus
ENSOPRP00000005758	ENSOPRG00000006265	Ochotona_princeps
ENSTGEP00000002136	ENSTGEG00000001868	Theropithecus_gelada
ENSPANP00000024579	ENSPANG00000017131	Papio_anubis
ENSCATP00000037532	ENSCATG00000041478	Cercocebus_atys
ENSMLEP00000034738	ENSMLEG00000041479	Mandrillus_leucophaeus
ENSMFAP00000027769	ENSMFAG00000045244	Macaca_fascicularis
ENSMNEP00000036949	ENSMNEG00000041516	Macaca_nemestrina
ENSMMUP00000010384	ENSMMUG00000007909	Macaca_mulatta
ENSCSAP00000012211	ENSCSAG00000016187	Chlorocebus_sabaeus
ENSPTEP00000028980	ENSPTEG00000028461	Piliocolobus_tephrosceles
ENSCANP00000031727	ENSCANG00000039501	Colobus_angolensis_palliatus
ENSRROP00000013063	ENSRROG00000030812	Rhinopithecus_roxellana
ENSRBIP00000005088	ENSRBIG00000022906	Rhinopithecus_bieti
ENSPTRP00000091615	ENSPTRG00000020086	Pan_troglodytes
ENSPPAP00000039983	ENSPPAG00000042630	Pan_paniscus
ENSP00000175238	ENSG00000069206	Homo_sapiens
ENSGGOP00000000999	ENSGGOG00000001012	Gorilla_gorilla
ENSPPYP00000020672	ENSPPYG00000018447	Pongo_abelii
ENSNLEP00000019463	ENSNLEG00000016022	Nomascus_leucogenys
ENSCCAP00000021085	ENSCCAG00000028360	Cebus_capucinus_imitator
ENSSBOP00000034667	ENSSBOG00000033466	Saimiri_boliviensis_boliviensis
ENSCJAP00000037298	ENSCJAG00000020053	Callithrix_jacchus
ENSANAP00000012272	ENSANAG00000024071	Aotus_nancymaae
ENSTSYP00000033221	ENSTSYG00000010308	Carlito_syrichta
ENSMICP00000002458	ENSMICG00000002694	Microcebus_murinus
ENSPCOP00000027940	ENSPCOG00000026532	Propithecus_coquereli
ENSPSMP00000010077	ENSPSMG00000007340	Prolemur_simus
ENSOGAP00000020320	ENSOGAG00000015171	Otolemur_garnettii
ENSTBEP00000005736	ENSTBEG00000006630	Tupaia_belangeri
ENSPVAP00000012718	ENSPVAG00000013483	Pteropus_vampyrus
ENSMLUP00000008747	ENSMLUG00000009580	Myotis_lucifugus
ENSAMEP00000001727	ENSAMEG00000001607	Ailuropoda_melanoleuca
ENSUMAP00000005920	ENSUMAG00000004656	Ursus_maritimus
ENSNVIP00000005514	ENSNVIG00000004347	Neovison_vison
ENSMPUP00000003220	ENSMPUG00000003252	Mustela_putorius_furo
ENSCAFP00000013324	ENSCAFG00000025018	Canis_lupus_familiaris
ENSCAFP00020015952	ENSCAFG00020012781	Canis_lupus_dingo
ENSVVUP00000006239	ENSVVUG00000004873	Vulpes_vulpes
ENSPTIP00000007184	ENSPTIG00000008882	Panthera_tigris_altaica
ENSPPRP00000014516	ENSPPRG00000007410	Panthera_pardus
ENSFCAP00000059656	ENSFCAG00000013087	Felis_catus
ENSPPRP00000016641	ENSPPRG00000008890	Panthera_pardus
ENSPTIP00000010041	ENSPTIG00000010903	Panthera_tigris_altaica
ENSBIXP00000021987	ENSBIXG00000024973	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000048800	ENSBTAG00000039171	Bos_taurus
ENSBIXP00005041590	ENSBIXG00005024699	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000007620	ENSBMUG00000005939	Bos_mutus
ENSBBBP00000028362	ENSBBBG00000007763	Bison_bison_bison
ENSOARP00000010706	ENSOARG00000009977	Ovis_aries
ENSCHIP00000014782	ENSCHIG00000015652	Capra_hircus
ENSTTRP00000006646	ENSTTRG00000007026	Tursiops_truncatus
ENSSSCP00000031442	ENSSSCG00000009646	Sus_scrofa_strain_reference
ENSVPAP00000008257	ENSVPAG00000008872	Vicugna_pacos
ENSECAP00000025597	ENSECAG00000020537	Equus_caballus
ENSEASP00005027542	ENSEASG00005018749	Equus_asinus_asinus
ENSSARP00000004165	ENSSARG00000004551	Sorex_araneus
ENSEEUP00000012967	ENSEEUG00000014191	Erinaceus_europaeus
ENSCHOP00000004453	ENSCHOG00000005017	Choloepus_hoffmanni
ENSDNOP00000003452	ENSDNOG00000004471	Dasypus_novemcinctus
ENSLAFP00000000492	ENSLAFG00000000586	Loxodonta_africana
ENSPCAP00000000004	ENSPCAG00000000004	Procavia_capensis
ENSETEP00000009064	ENSETEG00000011171	Echinops_telfairi
ENSOANP00000012754	ENSOANG00000008021	Ornithorhynchus_anatinus
