ENSPTEP00000008168	ENSPTEG00000009305	Piliocolobus_tephrosceles
ENSHGLP00100022167	ENSHGLG00100016317	Heterocephalus_glaber_HetGla_1.0
ENSNPEP00000019180	ENSNPEG00000014260	Nothoprocta_perdicaria
ENSSMRP00000010062	ENSSMRG00000007993	Salvator_merianae
ENSCCEP00000019238	ENSCCEG00000017484	Cyanistes_caeruleus
ENSCCAP00000003534	ENSCCAG00000018312	Cebus_capucinus_imitator
ENSCCEP00000004426	ENSCCEG00000004913	Cyanistes_caeruleus
ENSAPLP00000004759	ENSAPLG00000005201	Anas_platyrhynchos_platyrhynchos
ENSUPAP00010004943	ENSUPAG00010004018	Urocitellus_parryii
ENSCGRP00001016431	ENSCGRG00001016766	Cricetulus_griseus_CHOK1GS_HDv1
ENSNSUP00000009728	ENSNSUG00000007435	Notechis_scutatus
ENSDORP00000002199	ENSDORG00000002343	Dipodomys_ordii
ENSBBBP00000015352	ENSBBBG00000000494	Bison_bison_bison
ENSMUGP00000023096	ENSMUGG00000019305	Meriones_unguiculatus
ENSSHAP00000012429	ENSSHAG00000010644	Sarcophilus_harrisii
ENSUMAP00000008516	ENSUMAG00000006490	Ursus_maritimus
ENSMUNP00000022291	ENSMUNG00000016762	Melopsittacus_undulatus
ENSMOCP00000014357	ENSMOCG00000013889	Microtus_ochrogaster
ENSPANP00000000907	ENSPANG00000013569	Papio_anubis
ENSGAGP00000011775	ENSGAGG00000009077	Gopherus_agassizii	ENSGAGT00000013487
ENSSTOP00000014818	ENSSTOG00000016555	Ictidomys_tridecemlineatus
ENSP00000369318	ENSG00000164292	Homo_sapiens
ENSCPBP00000008824	ENSCPBG00000006754	Chrysemys_picta_bellii
ENSCLAP00000006064	ENSCLAG00000004291	Chinchilla_lanigera
ENSBMUP00000028044	ENSBMUG00000021003	Bos_mutus
ENSMMMP00000006347	ENSMMMG00000005684	Marmota_marmota_marmota
ENSACAP00000012721	ENSACAG00000012942	Anolis_carolinensis
ENSSBOP00000031315	ENSSBOG00000031884	Saimiri_boliviensis_boliviensis
ENSCANP00000019789	ENSCANG00000033332	Colobus_angolensis_palliatus
ENSMNEP00000031985	ENSMNEG00000039369	Macaca_nemestrina
ENSSDAP00000009354	ENSSDAG00000008497	Spermophilus_dauricus
ENSMFAP00000023998	ENSMFAG00000043608	Macaca_fascicularis
ENSMMUP00000027867	ENSMMUG00000021165	Macaca_mulatta
ENSTGEP00000005157	ENSTGEG00000004300	Theropithecus_gelada
ENSCGRP00000012620	ENSCGRG00000009161	Cricetulus_griseus_CriGri_1.0
ENSJJAP00000006899	ENSJJAG00000011443	Jaculus_jaculus
ENSCPOP00000003267	ENSCPOG00000003618	Cavia_porcellus
ENSCMIP00000041049	ENSCMIG00000017101	Callorhinchus_milii
ENSPMJP00000011698	ENSPMJG00000009037	Parus_major
ENSMPUP00000004316	ENSMPUG00000004349	Mustela_putorius_furo
ENSECAP00000038657	ENSECAG00000024622	Equus_caballus
ENSRNOP00000016838	ENSRNOG00000012414	Rattus_norvegicus
ENSHGLP00000009787	ENSHGLG00000007023	Heterocephalus_glaber_HetGla_female_1.0
ENSPCAP00000015008	ENSPCAG00000016055	Procavia_capensis
ENSPPRP00000025609	ENSPPRG00000015899	Panthera_pardus
ENSHGLP00100018613	ENSHGLG00100013723	Heterocephalus_glaber_HetGla_1.0
