ENSPPAP00000041143	ENSPPAG00000043196	Pan_paniscus	ENSPPAT00000064066
ENSPTRP00000015563	ENSPTRG00000030927	Pan_troglodytes	ENSPTRT00000016818
ENSP00000334798	ENSG00000186393	Homo_sapiens	ENST00000335552
ENSGGOP00000010954	ENSGGOG00000011236	Gorilla_gorilla	ENSGGOT00000011278
ENSPPYP00000009498	ENSPPYG00000008452	Pongo_abelii	ENSPPYT00000009879
ENSNLEP00000002662	ENSNLEG00000002206	Nomascus_leucogenys	ENSNLET00000002805
ENSCSAP00000015222	ENSCSAG00000002826	Chlorocebus_sabaeus	ENSCSAT00000000842
ENSMLEP00000003788	ENSMLEG00000016638	Mandrillus_leucophaeus	ENSMLET00000018184
ENSMFAP00000008266	ENSMFAG00000001350	Macaca_fascicularis	ENSMFAT00000021787
ENSMMUP00000001988	ENSMMUG00000001495	Macaca_mulatta	ENSMMUT00000002105
ENSMNEP00000044749	ENSMNEG00000044933	Macaca_nemestrina	ENSMNET00000069260
ENSTGEP00000008586	ENSTGEG00000007040	Theropithecus_gelada	ENSTGET00000010352
ENSPANP00000020607	ENSPANG00000021624	Papio_anubis	ENSPANT00000007475
ENSCATP00000016282	ENSCATG00000032089	Cercocebus_atys	ENSCATT00000040442
ENSCANP00000002922	ENSCANG00000010767	Colobus_angolensis_palliatus
ENSPTEP00000011083	ENSPTEG00000012522	Piliocolobus_tephrosceles
ENSRROP00000024501	ENSRROG00000036051	Rhinopithecus_roxellana
ENSRBIP00000024629	ENSRBIG00000036214	Rhinopithecus_bieti
ENSCCAP00000010294	ENSCCAG00000022891	Cebus_capucinus_imitator
ENSSBOP00000030017	ENSSBOG00000031304	Saimiri_boliviensis_boliviensis
ENSCJAP00000050467	ENSCJAG00000013645	Callithrix_jacchus
ENSANAP00000008140	ENSANAG00000022112	Aotus_nancymaae
ENSTSYP00000010468	ENSTSYG00000011414	Carlito_syrichta
ENSPCOP00000026981	ENSPCOG00000025920	Propithecus_coquereli
ENSMICP00000008966	ENSMICG00000009852	Microcebus_murinus
ENSPSMP00000016572	ENSPSMG00000011802	Prolemur_simus
ENSPSMP00000014503	ENSPSMG00000010390	Prolemur_simus
ENSOGAP00000002752	ENSOGAG00000003070	Otolemur_garnettii
ENSMSIP00000030985	ENSMSIG00000025947	Mus_spicilegus
ENSMUSP00000098051	ENSMUSG00000075570	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0031187	MGP_SPRETEiJ_G0017957	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0029766	MGP_CAROLIEiJ_G0017113	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0036494	MGP_PahariEiJ_G0018242	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000071105	ENSRNOG00000033617	Rattus_norvegicus
ENSMUGP00000022526	ENSMUGG00000018873	Meriones_unguiculatus
ENSCGRP00001025480	ENSCGRG00001023067	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015006004	ENSCGRG00015004662	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000000096	ENSCGRG00000000114	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000007992	ENSMAUG00000009507	Mesocricetus_auratus
ENSMOCP00000015913	ENSMOCG00000014953	Microtus_ochrogaster
ENSPEMP00000012094	ENSPEMG00000012535	Peromyscus_maniculatus_bairdii
ENSNGAP00000007282	ENSNGAG00000010579	Nannospalax_galili
ENSJJAP00000004736	ENSJJAG00000009739	Jaculus_jaculus
ENSCAPP00000007399	ENSCAPG00000009341	Cavia_aperea
