ENSIPUP00000032420	ENSIPUG00000021636	Ictalurus_punctatus
ENSEEEP00000020273	ENSEEEG00000009803	Electrophorus_electricus
ENSAMXP00005019325	ENSAMXG00005009887	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000008683	ENSAMXG00000008452	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000007993	ENSPNAG00000013650	Pygocentrus_nattereri
ENSDARP00000113061	ENSDARG00000026820	Danio_rerio
ENSDCDP00000053335	ENSDCDG00000030620	Denticeps_clupeoides
ENSCHAP00000033262	ENSCHAG00000012940	Clupea_harengus
ENSLBEP00000034390	ENSLBEG00000025706	Labrus_bergylta
ENSGACP00000026963	ENSGACG00000020398	Gasterosteus_aculeatus
ENSTRUP00000041890	ENSTRUG00000016388	Takifugu_rubripes
ENSTNIP00000014720	ENSTNIG00000011768	Tetraodon_nigroviridis
ENSMMOP00000021645	ENSMMOG00000016444	Mola_mola
ENSLCRP00005055343	ENSLCRG00005020426	Larimichthys_crocea
ENSMALP00000026191	ENSMALG00000018042	Monopterus_albus
ENSMAMP00000022718	ENSMAMG00000015253	Mastacembelus_armatus
ENSATEP00000021555	ENSATEG00000014912	Anabas_testudineus
ENSBSLP00000051077	ENSBSLG00000023827	Betta_splendens
ENSSDUP00000015921	ENSSDUG00000011351	Seriola_dumerili
ENSSLDP00000022942	ENSSLDG00000017917	Seriola_lalandi_dorsalis
ENSLCAP00010001873	ENSLCAG00010001029	Lates_calcarifer
ENSSMAP00000024094	ENSSMAG00000014703	Scophthalmus_maximus
ENSAOCP00000011794	ENSAOCG00000016414	Amphiprion_ocellaris
ENSAPEP00000004184	ENSAPEG00000003026	Amphiprion_percula
ENSAPOP00000000675	ENSAPOG00000000720	Acanthochromis_polyacanthus
ENSSPAP00000005932	ENSSPAG00000004242	Stegastes_partitus
ENSPRNP00000029241	ENSPRNG00000014589	Parambassis_ranga
ENSFHEP00000002164	ENSFHEG00000003012	Fundulus_heteroclitus
ENSCVAP00000028447	ENSCVAG00000015529	Cyprinodon_variegatus
ENSXCOP00000003526	ENSXCOG00000002730	Xiphophorus_couchianus
ENSXMAP00000012526	ENSXMAG00000012511	Xiphophorus_maculatus
ENSGAFP00000007599	ENSGAFG00000005055	Gambusia_affinis
ENSPFOP00000008054	ENSPFOG00000007810	Poecilia_formosa
ENSPMEP00000033963	ENSPMEG00000023377	Poecilia_mexicana
ENSPLAP00000018330	ENSPLAG00000023417	Poecilia_latipinna
ENSPREP00000033447	ENSPREG00000022634	Poecilia_reticulata
ENSKMAP00000019203	ENSKMAG00000014279	Kryptolebias_marmoratus
ENSORLP00000009861	ENSORLG00000007868	Oryzias_latipes_ASM223467v1
ENSORLP00020022983	ENSORLG00020003634	Oryzias_latipes_ASM223471v1
ENSORLP00015007973	ENSORLG00015008881	Oryzias_latipes_ASM223469v1
ENSOMEP00000001793	ENSOMEG00000002716	Oryzias_melastigma
ENSACLP00000020601	ENSACLG00000014007	Astatotilapia_calliptera
ENSMZEP00005021728	ENSMZEG00005016293	Maylandia_zebra
ENSHBUP00000001463	ENSHBUG00000002716	Haplochromis_burtoni
ENSPNYP00000024374	ENSPNYG00000018258	Pundamilia_nyererei
ENSNBRP00000026218	ENSNBRG00000019955	Neolamprologus_brichardi
ENSONIP00000005271	ENSONIG00000004188	Oreochromis_niloticus
ENSACIP00000000796	ENSACIG00000000560	Amphilophus_citrinellus
ENSCGOP00000044096	ENSCGOG00000019513	Cottoperca_gobio
ENSCSEP00000027002	ENSCSEG00000017249	Cynoglossus_semilaevis
ENSHCOP00000019600	ENSHCOG00000005084	Hippocampus_comes
ENSPMGP00000003384	ENSPMGG00000002922	Periophthalmus_magnuspinnatus
ENSGMOP00000020236	ENSGMOG00000018835	Gadus_morhua
ENSHHUP00000026601	ENSHHUG00000016799	Hucho_hucho
ENSHHUP00000089848	ENSHHUG00000051854	Hucho_hucho
ENSELUP00000005162	ENSELUG00000006219	Esox_lucius
ENSCSEP00000009795	ENSCSEG00000006280	Cynoglossus_semilaevis
ENSHCOP00000024097	ENSHCOG00000013184	Hippocampus_comes
ENSTRUP00000017180	ENSTRUG00000006996	Takifugu_rubripes
ENSTNIP00000005426	ENSTNIG00000002860	Tetraodon_nigroviridis
ENSLCRP00005012326	ENSLCRG00005004522	Larimichthys_crocea
ENSMMOP00000024283	ENSMMOG00000018471	Mola_mola
ENSGACP00000001536	ENSGACG00000001181	Gasterosteus_aculeatus
ENSAOCP00000026684	ENSAOCG00000015207	Amphiprion_ocellaris
ENSAPEP00000029590	ENSAPEG00000021035	Amphiprion_percula
ENSAPOP00000021070	ENSAPOG00000001378	Acanthochromis_polyacanthus
ENSSPAP00000014112	ENSSPAG00000010649	Stegastes_partitus
ENSLCAP00010015599	ENSLCAG00010007356	Lates_calcarifer
ENSLCAP00010000426	ENSLCAG00010000267	Lates_calcarifer
ENSSMAP00000005730	ENSSMAG00000003545	Scophthalmus_maximus
ENSSDUP00000010786	ENSSDUG00000007842	Seriola_dumerili
ENSSLDP00000025958	ENSSLDG00000020149	Seriola_lalandi_dorsalis
ENSMAMP00000017117	ENSMAMG00000011571	Mastacembelus_armatus
ENSATEP00000022141	ENSATEG00000015315	Anabas_testudineus
ENSBSLP00000025613	ENSBSLG00000012700	Betta_splendens
ENSLBEP00000036348	ENSLBEG00000027133	Labrus_bergylta
ENSCVAP00000008575	ENSCVAG00000010385	Cyprinodon_variegatus
ENSFHEP00000026491	ENSFHEG00000009421	Fundulus_heteroclitus
ENSPMEP00000008699	ENSPMEG00000010775	Poecilia_mexicana
ENSPLAP00000000646	ENSPLAG00000001521	Poecilia_latipinna
ENSPFOP00000014265	ENSPFOG00000013986	Poecilia_formosa
ENSPREP00000003281	ENSPREG00000002322	Poecilia_reticulata
ENSGAFP00000004157	ENSGAFG00000002685	Gambusia_affinis
ENSXMAP00000013421	ENSXMAG00000013383	Xiphophorus_maculatus
ENSKMAP00000016338	ENSKMAG00000012126	Kryptolebias_marmoratus
ENSOMEP00000029039	ENSOMEG00000012427	Oryzias_melastigma
ENSOMEP00000033687	ENSOMEG00000019918	Oryzias_melastigma
ENSORLP00000022542	ENSORLG00000018002	Oryzias_latipes_ASM223467v1
ENSPRNP00000035790	ENSPRNG00000017917	Parambassis_ranga
ENSMZEP00005012765	ENSMZEG00005009584	Maylandia_zebra
ENSMZEP00005012785	ENSMZEG00005009593	Maylandia_zebra
ENSMZEP00005012808	ENSMZEG00005009614	Maylandia_zebra
ENSMZEP00005012821	ENSMZEG00005009627	Maylandia_zebra
ENSPNYP00000026093	ENSPNYG00000019674	Pundamilia_nyererei
ENSACLP00000020243	ENSACLG00000013750	Astatotilapia_calliptera
ENSHBUP00000034231	ENSHBUG00000021649	Haplochromis_burtoni
ENSNBRP00000004700	ENSNBRG00000003732	Neolamprologus_brichardi
ENSONIP00000022588	ENSONIG00000017921	Oreochromis_niloticus
ENSACIP00000011900	ENSACIG00000009250	Amphilophus_citrinellus
ENSGWIP00000033990	ENSGWIG00000017444	Gouania_willdenowi
ENSPMGP00000024843	ENSPMGG00000020098	Periophthalmus_magnuspinnatus
ENSGMOP00000016227	ENSGMOG00000015138	Gadus_morhua
ENSXCOP00000005551	ENSXCOG00000004330	Xiphophorus_couchianus
ENSELUP00000018145	ENSELUG00000018262	Esox_lucius
ENSCHAP00000041338	ENSCHAG00000018852	Clupea_harengus
ENSSFOP00015033257	ENSSFOG00015021100	Scleropages_formosus
ENSPKIP00000019121	ENSPKIG00000004268	Paramormyrops_kingsleyae
ENSSFOP00015035758	ENSSFOG00015022774	Scleropages_formosus
ENSSFOP00015035749	ENSSFOG00015022766	Scleropages_formosus
ENSPKIP00000039159	ENSPKIG00000016520	Paramormyrops_kingsleyae
ENSAMXP00000039808	ENSAMXG00000029189	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLOCP00000016668	ENSLOCG00000013521	Lepisosteus_oculatus
