FBpp0078483	FBgn0037293	Drosophila_melanogaster
M57.2a.2	WBGene00019778	Caenorhabditis_elegans_strain_N2
ENSPVIP00000030989	ENSPVIG00000022777	Pogona_vitticeps
ENSACAP00000004203	ENSACAG00000004170	Anolis_carolinensis
ENSNSUP00000017912	ENSNSUG00000013063	Notechis_scutatus	ENSNSUT00000019073
ENSSMRP00000004678	ENSSMRG00000003846	Salvator_merianae
ENSSPUP00000023149	ENSSPUG00000017767	Sphenodon_punctatus
ENSCABP00000007469	ENSCABG00000005653	Chelonoidis_abingdonii
ENSCPBP00000037118	ENSCPBG00000025733	Chrysemys_picta_bellii
ENSEEUP00000007652	ENSEEUG00000008376	Erinaceus_europaeus
ENSSARP00000007579	ENSSARG00000008379	Sorex_araneus
ENSOCUP00000002552	ENSOCUG00000002936	Oryctolagus_cuniculus
ENSOPRP00000014449	ENSOPRG00000015812	Ochotona_princeps
ENSOARP00000020561	ENSOARG00000019139	Ovis_aries
ENSCHIP00000029706	ENSCHIG00000024671	Capra_hircus
ENSBIXP00005044436	ENSBIXG00005006979	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000039511	ENSBIXG00000004641	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000025020	ENSBTAG00000018796	Bos_taurus
ENSBMUP00000010641	ENSBMUG00000008218	Bos_mutus
ENSBBBP00000013637	ENSBBBG00000021338	Bison_bison_bison
ENSTTRP00000008186	ENSTTRG00000008635	Tursiops_truncatus
ENSSSCP00000070122	ENSSSCG00000001992	Sus_scrofa_strain_reference
ENSEASP00005017487	ENSEASG00005012091	Equus_asinus_asinus
ENSUMAP00000031777	ENSUMAG00000022920	Ursus_maritimus
ENSUAMP00000031898	ENSUAMG00000024407	Ursus_americanus
ENSAMEP00000017051	ENSAMEG00000016136	Ailuropoda_melanoleuca
ENSNVIP00000000851	ENSNVIG00000000745	Neovison_vison
ENSMPUP00000005682	ENSMPUG00000005729	Mustela_putorius_furo
ENSCAFP00000017969	ENSCAFG00000012191	Canis_lupus_familiaris
ENSCAFP00020002179	ENSCAFG00020001546	Canis_lupus_dingo
ENSPPRP00000014372	ENSPPRG00000007283	Panthera_pardus
ENSPTIP00000023731	ENSPTIG00000020091	Panthera_tigris_altaica
ENSFCAP00000005194	ENSFCAG00000005595	Felis_catus
ENSMLUP00000013766	ENSMLUG00000015107	Myotis_lucifugus
ENSPVAP00000006635	ENSPVAG00000007030	Pteropus_vampyrus
ENSLAFP00000018851	ENSLAFG00000028913	Loxodonta_africana
ENSETEP00000014958	ENSETEG00000018402	Echinops_telfairi
ENSDNOP00000020520	ENSDNOG00000017778	Dasypus_novemcinctus
ENSPTEP00000019935	ENSPTEG00000021218	Piliocolobus_tephrosceles
ENSCANP00000031891	ENSCANG00000039587	Colobus_angolensis_palliatus
ENSRBIP00000020767	ENSRBIG00000034357	Rhinopithecus_bieti
ENSRROP00000041776	ENSRROG00000044062	Rhinopithecus_roxellana
ENSPANP00000017705	ENSPANG00000023991	Papio_anubis
ENSTGEP00000027923	ENSTGEG00000022498	Theropithecus_gelada
ENSMNEP00000044187	ENSMNEG00000044704	Macaca_nemestrina
ENSMLEP00000020608	ENSMLEG00000034483	Mandrillus_leucophaeus
ENSCATP00000042220	ENSCATG00000043721	Cercocebus_atys
ENSMFAP00000010054	ENSMFAG00000004938	Macaca_fascicularis
ENSMMUP00000075933	ENSMMUG00000012447	Macaca_mulatta
ENSCSAP00000011999	ENSCSAG00000015922	Chlorocebus_sabaeus
ENSPTRP00000010544	ENSPTRG00000006210	Pan_troglodytes
ENSPPAP00000012673	ENSPPAG00000029484	Pan_paniscus
ENSP00000382341	ENSG00000100949	Homo_sapiens
ENSGGOP00000048956	ENSGGOG00000016137	Gorilla_gorilla
ENSPPYP00000006478	ENSPPYG00000005696	Pongo_abelii
ENSNLEP00000018703	ENSNLEG00000015385	Nomascus_leucogenys
ENSCCAP00000000536	ENSCCAG00000002029	Cebus_capucinus_imitator
ENSCJAP00000075659	ENSCJAG00000006726	Callithrix_jacchus
ENSSBOP00000016545	ENSSBOG00000024958	Saimiri_boliviensis_boliviensis
ENSANAP00000002045	ENSANAG00000016138	Aotus_nancymaae
ENSTSYP00000029098	ENSTSYG00000030142	Carlito_syrichta
ENSMICP00000001599	ENSMICG00000001753	Microcebus_murinus
ENSPCOP00000003951	ENSPCOG00000011781	Propithecus_coquereli
ENSPSMP00000021591	ENSPSMG00000015226	Prolemur_simus
ENSOGAP00000018213	ENSOGAG00000032119	Otolemur_garnettii
ENSCCNP00000000596	ENSCCNG00000000659	Castor_canadensis
ENSDORP00000014917	ENSDORG00000015856	Dipodomys_ordii
ENSMSIP00000037358	ENSMSIG00000031132	Mus_spicilegus
MGP_SPRETEiJ_P0038614	MGP_SPRETEiJ_G0020202	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000154725	ENSMUSG00000040472	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0036893	MGP_CAROLIEiJ_G0019313	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0085003	MGP_PahariEiJ_G0030330	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000049261	ENSRNOG00000030483	Rattus_norvegicus
ENSMUGP00000010165	ENSMUGG00000008977	Meriones_unguiculatus
ENSMOCP00000010292	ENSMOCG00000010508	Microtus_ochrogaster
ENSPEMP00000018577	ENSPEMG00000017126	Peromyscus_maniculatus_bairdii
ENSCGRP00001009563	ENSCGRG00001011652	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014227	ENSCGRG00000010298	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015023005	ENSCGRG00015017463	Cricetulus_griseus_CriGri-PICR
ENSJJAP00000006528	ENSJJAG00000011139	Jaculus_jaculus
ENSUPAP00010011526	ENSUPAG00010009338	Urocitellus_parryii
ENSSDAP00000024417	ENSSDAG00000022203	Spermophilus_dauricus
ENSSTOP00000002118	ENSSTOG00000002369	Ictidomys_tridecemlineatus
ENSMMMP00000013328	ENSMMMG00000011891	Marmota_marmota_marmota
ENSHGLP00000003997	ENSHGLG00000002942	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100002977	ENSHGLG00100002289	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017025	ENSFDAG00000005672	Fukomys_damarensis
ENSCPOP00000012972	ENSCPOG00000014401	Cavia_porcellus
ENSCAPP00000015684	ENSCAPG00000015751	Cavia_aperea
ENSODEP00000003893	ENSODEG00000002983	Octodon_degus
ENSTBEP00000003345	ENSTBEG00000003833	Tupaia_belangeri
ENSVURP00010029815	ENSVURG00010022783	Vombatus_ursinus
ENSPCIP00000013590	ENSPCIG00000010409	Phascolarctos_cinereus
ENSMEUP00000006162	ENSMEUG00000006743	Notamacropus_eugenii
ENSMODP00000045813	ENSMODG00000003118	Monodelphis_domestica
ENSSHAP00000005619	ENSSHAG00000004909	Sarcophilus_harrisii
ENSOANP00000031725	ENSOANG00000029838	Ornithorhynchus_anatinus
ENSXETP00000037666	ENSXETG00000012808	Xenopus_tropicalis
ENSLACP00000005333	ENSLACG00000004742	Latimeria_chalumnae
ENSAMXP00005019293	ENSAMXG00005009941	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000001010	ENSAMXG00000000987	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000014735	ENSPNAG00000020676	Pygocentrus_nattereri
ENSIPUP00000002146	ENSIPUG00000001558	Ictalurus_punctatus
ENSEEEP00000006044	ENSEEEG00000003219	Electrophorus_electricus
ENSDARP00000124053	ENSDARG00000061024	Danio_rerio
ENSCHAP00000016623	ENSCHAG00000008769	Clupea_harengus
ENSDCDP00000051579	ENSDCDG00000031297	Denticeps_clupeoides
ENSPFOP00000016847	ENSPFOG00000016750	Poecilia_formosa
ENSPLAP00000028934	ENSPLAG00000018840	Poecilia_latipinna
ENSPMEP00000007437	ENSPMEG00000009060	Poecilia_mexicana
ENSPREP00000030195	ENSPREG00000020451	Poecilia_reticulata
ENSXMAP00000012693	ENSXMAG00000012644	Xiphophorus_maculatus
ENSXCOP00000003999	ENSXCOG00000003142	Xiphophorus_couchianus
ENSFHEP00000000395	ENSFHEG00000001120	Fundulus_heteroclitus
ENSCVAP00000021429	ENSCVAG00000003600	Cyprinodon_variegatus
ENSKMAP00000006231	ENSKMAG00000004715	Kryptolebias_marmoratus
ENSORLP00015005685	ENSORLG00015006459	Oryzias_latipes_ASM223469v1
ENSORLP00020009221	ENSORLG00020010165	Oryzias_latipes_ASM223471v1
ENSORLP00000001641	ENSORLG00000001324	Oryzias_latipes_ASM223467v1
ENSOMEP00000029803	ENSOMEG00000013716	Oryzias_melastigma
ENSGWIP00000025355	ENSGWIG00000013385	Gouania_willdenowi
ENSCSEP00000005923	ENSCSEG00000003822	Cynoglossus_semilaevis
ENSLCRP00005031622	ENSLCRG00005012319	Larimichthys_crocea
ENSLCRP00005003742	ENSLCRG00005001979	Larimichthys_crocea
ENSLBEP00000025724	ENSLBEG00000019601	Labrus_bergylta
ENSTRUP00000054439	ENSTRUG00000015965	Takifugu_rubripes
ENSTNIP00000020786	ENSTNIG00000017638	Tetraodon_nigroviridis
ENSMMOP00000008787	ENSMMOG00000006780	Mola_mola
ENSMALP00000016958	ENSMALG00000011867	Monopterus_albus
ENSMAMP00000023187	ENSMAMG00000015619	Mastacembelus_armatus
ENSATEP00000022591	ENSATEG00000015680	Anabas_testudineus
ENSBSLP00000041183	ENSBSLG00000019746	Betta_splendens
ENSSDUP00000031551	ENSSDUG00000022664	Seriola_dumerili
ENSSLDP00000011464	ENSSLDG00000009067	Seriola_lalandi_dorsalis
ENSLCAP00010013291	ENSLCAG00010006295	Lates_calcarifer
ENSSMAP00000024612	ENSSMAG00000014992	Scophthalmus_maximus
ENSAPEP00000020122	ENSAPEG00000014384	Amphiprion_percula
ENSAOCP00000001530	ENSAOCG00000000169	Amphiprion_ocellaris
ENSAPOP00000019414	ENSAPOG00000022891	Acanthochromis_polyacanthus
ENSSPAP00000021078	ENSSPAG00000015890	Stegastes_partitus
ENSPRNP00000038229	ENSPRNG00000018949	Parambassis_ranga
ENSMZEP00005026877	ENSMZEG00005020051	Maylandia_zebra
ENSACLP00000021705	ENSACLG00000014761	Astatotilapia_calliptera
ENSPNYP00000013169	ENSPNYG00000009959	Pundamilia_nyererei
ENSHBUP00000014451	ENSHBUG00000016310	Haplochromis_burtoni
ENSNBRP00000002629	ENSNBRG00000002044	Neolamprologus_brichardi
ENSONIP00000003623	ENSONIG00000002893	Oreochromis_niloticus
ENSACIP00000016090	ENSACIG00000012417	Amphilophus_citrinellus
ENSCGOP00000055335	ENSCGOG00000024137	Cottoperca_gobio
ENSHCOP00000013338	ENSHCOG00000016456	Hippocampus_comes
ENSGACP00000002396	ENSGACG00000001840	Gasterosteus_aculeatus
ENSPMGP00000009231	ENSPMGG00000007649	Periophthalmus_magnuspinnatus
ENSGMOP00000008695	ENSGMOG00000008124	Gadus_morhua
ENSHHUP00000050966	ENSHHUG00000030708	Hucho_hucho
ENSELUP00000033038	ENSELUG00000011184	Esox_lucius
ENSSFOP00015021011	ENSSFOG00015013495	Scleropages_formosus
ENSPKIP00000036168	ENSPKIG00000014831	Paramormyrops_kingsleyae
ENSECRP00000007486	ENSECRG00000004982	Erpetoichthys_calabaricus
