ENSMAMP00000022684	ENSMAMG00000015259	Mastacembelus_armatus	ENSMAMT00000023264
ENSMALP00000005259	ENSMALG00000003781	Monopterus_albus	ENSMALT00000005378
ENSAOCP00000012111	ENSAOCG00000001884	Amphiprion_ocellaris	ENSAOCT00000030504
ENSAPEP00000006110	ENSAPEG00000004389	Amphiprion_percula	ENSAPET00000006274
ENSAPOP00000015364	ENSAPOG00000018338	Acanthochromis_polyacanthus	ENSAPOT00000024033
ENSPNYP00000023969	ENSPNYG00000018099	Pundamilia_nyererei	ENSPNYT00000024558
ENSHBUP00000030250	ENSHBUG00000015161	Haplochromis_burtoni	ENSHBUT00000021085
ENSMZEP00005019004	ENSMZEG00005014256	Maylandia_zebra	ENSMZET00005019615
ENSACLP00000023304	ENSACLG00000015824	Astatotilapia_calliptera	ENSACLT00000023862
ENSNBRP00000027051	ENSNBRG00000020643	Neolamprologus_brichardi	ENSNBRT00000027759
ENSONIP00000005102	ENSONIG00000004048	Oreochromis_niloticus
ENSACIP00000014376	ENSACIG00000011188	Amphilophus_citrinellus	ENSACIT00000014760
ENSTRUP00000038393	ENSTRUG00000015022	Takifugu_rubripes
ENSLBEP00000032565	ENSLBEG00000024538	Labrus_bergylta	ENSLBET00000034021
ENSGACP00000009990	ENSGACG00000007536	Gasterosteus_aculeatus	ENSGACT00000010012
ENSSMAP00000024361	ENSSMAG00000014884	Scophthalmus_maximus	ENSSMAT00000024654
ENSPLAP00000025077	ENSPLAG00000011796	Poecilia_latipinna	ENSPLAT00000001773
ENSPMEP00000013429	ENSPMEG00000015745	Poecilia_mexicana	ENSPMET00000021131
ENSPREP00000008365	ENSPREG00000005710	Poecilia_reticulata	ENSPRET00000008462
ENSPFOP00000014203	ENSPFOG00000014192	Poecilia_formosa	ENSPFOT00000014223
ENSGAFP00000018363	ENSGAFG00000012430	Gambusia_affinis	ENSGAFT00000018539
ENSCVAP00000009546	ENSCVAG00000011523	Cyprinodon_variegatus	ENSCVAT00000015979
ENSATEP00000036321	ENSATEG00000024957	Anabas_testudineus	ENSATET00000036840
