ENSPVIP00000006468	ENSPVIG00000005357	Pogona_vitticeps	ENSPVIT00000008350
ENSACAP00000010458	ENSACAG00000010614	Anolis_carolinensis	ENSACAT00000010674
ENSNSUP00000000882	ENSNSUG00000000764	Notechis_scutatus	ENSNSUT00000000976
ENSSMRP00000005414	ENSSMRG00000004410	Salvator_merianae	ENSSMRT00000006364
ENSSPUP00000022180	ENSSPUG00000017031	Sphenodon_punctatus
ENSGAGP00000028579	ENSGAGG00000020701	Gopherus_agassizii
ENSCABP00000009548	ENSCABG00000007183	Chelonoidis_abingdonii
ENSCPBP00000028257	ENSCPBG00000019973	Chrysemys_picta_bellii
ENSPSIP00000012908	ENSPSIG00000011571	Pelodiscus_sinensis
ENSCPRP00005007073	ENSCPRG00005004993	Crocodylus_porosus
ENSCPGP00000023453	ENSCPGG00000016244	Calidris_pygmaea
ENSCPUP00000006252	ENSCPUG00000004567	Calidris_pugnax
ENSMUNP00000013626	ENSMUNG00000010632	Melopsittacus_undulatus
ENSTGUP00000013553	ENSTGUG00000013159	Taeniopygia_guttata
ENSLSDP00000020982	ENSLSDG00000014849	Lonchura_striata_domestica
ENSJHYP00000000432	ENSJHYG00000000379	Junco_hyemalis
ENSZALP00000004377	ENSZALG00000004118	Zonotrichia_albicollis
ENSSCAP00000018538	ENSSCAG00000013425	Serinus_canaria
ENSPMJP00000016536	ENSPMJG00000012500	Parus_major
ENSCCEP00000010925	ENSCCEG00000010767	Cyanistes_caeruleus
ENSFALP00000001814	ENSFALG00000001728	Ficedula_albicollis
ENSLCOP00000013571	ENSLCOG00000009776	Lepidothrix_coronata
ENSMVIP00005003407	ENSMVIG00005002671	Manacus_vitellinus
ENSAPLP00000011010	ENSAPLG00000011262	Anas_platyrhynchos_platyrhynchos
ENSABRP00000022339	ENSABRG00000018921	Anser_brachyrhynchus
ENSGALP00000026542	ENSGALG00000016483	Gallus_gallus
ENSMGAP00000014855	ENSMGAG00000014041	Meleagris_gallopavo
ENSCJPP00005013368	ENSCJPG00005011289	Coturnix_japonica
ENSNMEP00000006303	ENSNMEG00000006484	Numida_meleagris
ENSAHAP00000002474	ENSAHAG00000002030	Apteryx_haastii
ENSAOWP00000025740	ENSAOWG00000017391	Apteryx_owenii
ENSARWP00000012219	ENSARWG00000008444	Apteryx_rowi
ENSDNVP00000002055	ENSDNVG00000001495	Dromaius_novaehollandiae
ENSNPEP00000012146	ENSNPEG00000009096	Nothoprocta_perdicaria
ENSUAMP00000008716	ENSUAMG00000007308	Ursus_americanus
ENSUMAP00000032128	ENSUMAG00000023094	Ursus_maritimus
ENSAMEP00000003043	ENSAMEG00000002884	Ailuropoda_melanoleuca
ENSNVIP00000016544	ENSNVIG00000012955	Neovison_vison
ENSMPUP00000013633	ENSMPUG00000013736	Mustela_putorius_furo
ENSVVUP00000020092	ENSVVUG00000014837	Vulpes_vulpes
ENSVVUP00000020094	ENSVVUG00000014838	Vulpes_vulpes
ENSCAFP00000005730	ENSCAFG00000003845	Canis_lupus_familiaris
ENSCAFP00020033081	ENSCAFG00020025683	Canis_lupus_dingo
ENSPPRP00000029073	ENSPPRG00000021503	Panthera_pardus
ENSPTIP00000000127	ENSPTIG00000000251	Panthera_tigris_altaica
