ENSPFOP00000028023	ENSPFOG00000024012	Poecilia_formosa	ENSPFOT00000027934
ENSFHEP00000016883	ENSFHEG00000018585	Fundulus_heteroclitus	ENSFHET00000025412
ENSACIP00000031418	ENSACIG00000024286	Amphilophus_citrinellus	ENSACIT00000032245
ENSCVAP00000025022	ENSCVAG00000009482	Cyprinodon_variegatus	ENSCVAT00000002708
ENSPNYP00000014804	ENSPNYG00000011229	Pundamilia_nyererei	ENSPNYT00000015184
ENSGWIP00000001413	ENSGWIG00000000827	Gouania_willdenowi	ENSGWIT00000001523
ENSCGOP00000047042	ENSCGOG00000021116	Cottoperca_gobio	ENSCGOT00000050273
ENSCSEP00000031532	ENSCSEG00000020194	Cynoglossus_semilaevis	ENSCSET00000031942
ENSHHUP00000060741	ENSHHUG00000035990	Hucho_hucho	ENSHHUT00000062805
ENSDCDP00000047760	ENSDCDG00000029704	Denticeps_clupeoides	ENSDCDT00000059303
ENSPNAP00000005694	ENSPNAG00000011837	Pygocentrus_nattereri	ENSPNAT00000004850
ENSXETP00000047043	ENSXETG00000018218	Xenopus_tropicalis
