ENSPMAP00000004588	ENSPMAG00000004138	Petromyzon_marinus	ENSPMAT00000004607
ENSEBUP00000026590	ENSEBUG00000016371	Eptatretus_burgeri	ENSEBUT00000027166
ENSPMAP00000005300	ENSPMAG00000004809	Petromyzon_marinus	ENSPMAT00000005320
ENSEBUP00000013203	ENSEBUG00000008349	Eptatretus_burgeri	ENSEBUT00000013779
ENSLACP00000020688	ENSLACG00000018178	Latimeria_chalumnae
ENSECRP00000031203	ENSECRG00000021141	Erpetoichthys_calabaricus
ENSCMIP00000040190	ENSCMIG00000016791	Callorhinchus_milii
ENSNSUP00000012404	ENSNSUG00000009299	Notechis_scutatus
ENSNSUP00000012405	ENSNSUG00000009300	Notechis_scutatus
ENSACAP00000013221	ENSACAG00000013423	Anolis_carolinensis
ENSPVIP00000024942	ENSPVIG00000018754	Pogona_vitticeps
ENSSMRP00000017716	ENSSMRG00000013819	Salvator_merianae
ENSSPUP00000004088	ENSSPUG00000003162	Sphenodon_punctatus
ENSCPGP00000011694	ENSCPGG00000008347	Calidris_pygmaea	ENSCPGT00000012827
ENSCPUP00000003059	ENSCPUG00000002345	Calidris_pugnax	ENSCPUT00000003726
ENSFALP00000002646	ENSFALG00000002544	Ficedula_albicollis	ENSFALT00000002658
ENSCCEP00000019381	ENSCCEG00000017602	Cyanistes_caeruleus	ENSCCET00000029492
ENSLSDP00000011115	ENSLSDG00000008183	Lonchura_striata_domestica
ENSTGUP00000013057	ENSTGUG00000012686	Taeniopygia_guttata	ENSTGUT00000013206
ENSZALP00000004012	ENSZALG00000003839	Zonotrichia_albicollis
ENSJHYP00000005245	ENSJHYG00000004295	Junco_hyemalis
ENSSCAP00000009759	ENSSCAG00000007413	Serinus_canaria
ENSLCOP00000000885	ENSLCOG00000000740	Lepidothrix_coronata	ENSLCOT00000000936
ENSMVIP00005008137	ENSMVIG00005006109	Manacus_vitellinus	ENSMVIT00005009310
ENSMUNP00000001306	ENSMUNG00000001104	Melopsittacus_undulatus
ENSABRP00000003086	ENSABRG00000002793	Anser_brachyrhynchus
ENSAPLP00000007247	ENSAPLG00000007594	Anas_platyrhynchos_platyrhynchos
ENSGALP00000018050	ENSGALG00000011093	Gallus_gallus
ENSMGAP00000013968	ENSMGAG00000013223	Meleagris_gallopavo
ENSNMEP00000011531	ENSNMEG00000010847	Numida_meleagris
ENSAHAP00000006567	ENSAHAG00000004901	Apteryx_haastii
ENSAOWP00000020402	ENSAOWG00000013789	Apteryx_owenii
ENSARWP00000025348	ENSARWG00000017230	Apteryx_rowi
ENSDNVP00000016938	ENSDNVG00000011826	Dromaius_novaehollandiae
ENSNPEP00000010258	ENSNPEG00000007695	Nothoprocta_perdicaria
ENSCPRP00005013772	ENSCPRG00005009679	Crocodylus_porosus
ENSGAGP00000028209	ENSGAGG00000020505	Gopherus_agassizii
ENSCABP00000020068	ENSCABG00000014791	Chelonoidis_abingdonii
ENSCABP00000020064	ENSCABG00000014790	Chelonoidis_abingdonii
ENSCPBP00000034571	ENSCPBG00000024122	Chrysemys_picta_bellii
ENSPSIP00000015707	ENSPSIG00000013893	Pelodiscus_sinensis
ENSMEUP00000012584	ENSMEUG00000013785	Notamacropus_eugenii
ENSSHAP00000002389	ENSSHAG00000002120	Sarcophilus_harrisii
ENSVURP00010003058	ENSVURG00010002476	Vombatus_ursinus
ENSPCIP00000017266	ENSPCIG00000013235	Phascolarctos_cinereus
ENSSHAP00000002195	ENSSHAG00000001951	Sarcophilus_harrisii
ENSMODP00000016058	ENSMODG00000012835	Monodelphis_domestica
ENSMUSP00000043145	ENSMUSG00000041323	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0034809	MGP_SPRETEiJ_G0018942	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0033273	MGP_CAROLIEiJ_G0018092	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000011618	ENSMSIG00000010008	Mus_spicilegus
MGP_PahariEiJ_P0083388	MGP_PahariEiJ_G0029849	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073263	ENSRNOG00000055714	Rattus_norvegicus
ENSMUGP00000006672	ENSMUGG00000006132	Meriones_unguiculatus
ENSCGRP00001024731	ENSCGRG00001022545	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000004012	ENSCGRG00000002952	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015016330	ENSCGRG00015012528	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000003484	ENSMAUG00000003839	Mesocricetus_auratus
ENSPEMP00000016229	ENSPEMG00000015517	Peromyscus_maniculatus_bairdii
ENSMOCP00000010942	ENSMOCG00000011186	Microtus_ochrogaster
ENSNGAP00000021653	ENSNGAG00000020761	Nannospalax_galili
ENSJJAP00000009992	ENSJJAG00000013698	Jaculus_jaculus
ENSCCNP00000005801	ENSCCNG00000006139	Castor_canadensis
ENSDORP00000013093	ENSDORG00000013928	Dipodomys_ordii
ENSSTOP00000014450	ENSSTOG00000016138	Ictidomys_tridecemlineatus
ENSUPAP00010025952	ENSUPAG00010020502	Urocitellus_parryii
ENSSDAP00000004380	ENSSDAG00000004099	Spermophilus_dauricus
ENSMMMP00000002064	ENSMMMG00000001872	Marmota_marmota_marmota
ENSOCUP00000009902	ENSOCUG00000011516	Oryctolagus_cuniculus
ENSOPRP00000002504	ENSOPRG00000002705	Ochotona_princeps
ENSPTRP00000011428	ENSPTRG00000006703	Pan_troglodytes
ENSPPAP00000008612	ENSPPAG00000027551	Pan_paniscus
ENSGGOP00000000713	ENSGGOG00000000725	Gorilla_gorilla
ENSP00000267584	ENSG00000140057	Homo_sapiens
ENSPPYP00000006964	ENSPPYG00000006127	Pongo_abelii
