ENSBTAP00000040664	ENSBTAG00000025329	Bos_taurus
ENSCSEP00000019007	ENSCSEG00000012173	Cynoglossus_semilaevis
ENSCGRP00001027896	ENSCGRG00001024769	Cricetulus_griseus_CHOK1GS_HDv1
ENSECRP00000023456	ENSECRG00000015852	Erpetoichthys_calabaricus
ENSMAUP00000002721	ENSMAUG00000002452	Mesocricetus_auratus
ENSSPAP00000005718	ENSSPAG00000004425	Stegastes_partitus
ENSGGOP00000002792	ENSGGOG00000002839	Gorilla_gorilla
ENSCANP00000012537	ENSCANG00000029669	Colobus_angolensis_palliatus
ENSCCNP00000017928	ENSCCNG00000018242	Castor_canadensis
ENSXETP00000014733	ENSXETG00000000531	Xenopus_tropicalis
ENSMSIP00000013866	ENSMSIG00000011957	Mus_spicilegus
ENSCGRP00015002802	ENSCGRG00015002248	Cricetulus_griseus_CriGri-PICR
ENSPCAP00000007125	ENSPCAG00000007621	Procavia_capensis
ENSSDUP00000000283	ENSSDUG00000000251	Seriola_dumerili
ENSLACP00000021461	ENSLACG00000018858	Latimeria_chalumnae
ENSMMOP00000026811	ENSMMOG00000020278	Mola_mola
ENSLCAP00010059206	ENSLCAG00010027602	Lates_calcarifer
ENSLAFP00000019848	ENSLAFG00000027181	Loxodonta_africana
ENSGACP00000005254	ENSGACG00000004005	Gasterosteus_aculeatus
ENSHBUP00000003776	ENSHBUG00000005047	Haplochromis_burtoni
ENSCHIP00000007412	ENSCHIG00000010927	Capra_hircus
ENSDNOP00000026466	ENSDNOG00000043798	Dasypus_novemcinctus
ENSFDAP00000001532	ENSFDAG00000011487	Fukomys_damarensis
ENSSTOP00000021335	ENSSTOG00000026594	Ictidomys_tridecemlineatus
ENSPLAP00000002088	ENSPLAG00000003320	Poecilia_latipinna
ENSPNYP00000010147	ENSPNYG00000007722	Pundamilia_nyererei
ENSEASP00005029476	ENSEASG00005020031	Equus_asinus_asinus
ENSDARP00000011663	ENSDARG00000004297	Danio_rerio
ENSSMAP00000019969	ENSSMAG00000012255	Scophthalmus_maximus
ENSLBEP00000023807	ENSLBEG00000018246	Labrus_bergylta
ENSCPGP00000003934	ENSCPGG00000002919	Calidris_pygmaea
ENSHGLP00100003450	ENSHGLG00100002624	Heterocephalus_glaber_HetGla_1.0
ENSGALP00000044984	ENSGALG00000041616	Gallus_gallus
ENSTTRP00000011510	ENSTTRG00000012149	Tursiops_truncatus
ENSVURP00010021159	ENSVURG00010016177	Vombatus_ursinus
ENSARWP00000017418	ENSARWG00000011986	Apteryx_rowi
ENSMGAP00000019689	ENSMGAG00000012832	Meleagris_gallopavo
ENSPVIP00000027085	ENSPVIG00000020154	Pogona_vitticeps
MGP_CAROLIEiJ_P0032946	MGP_CAROLIEiJ_G0017980	Mus_caroli_strain_CAROLI_EIJ
ENSPCIP00000050942	ENSPCIG00000036236	Phascolarctos_cinereus
ENSFALP00000006732	ENSFALG00000006454	Ficedula_albicollis
ENSAOWP00000005444	ENSAOWG00000003745	Apteryx_owenii
ENSKMAP00000024796	ENSKMAG00000018382	Kryptolebias_marmoratus
ENSVVUP00000004059	ENSVVUG00000003200	Vulpes_vulpes
ENSBBBP00000025762	ENSBBBG00000021163	Bison_bison_bison
ENSPMEP00000008674	ENSPMEG00000010503	Poecilia_mexicana
ENSPPAP00000024225	ENSPPAG00000035248	Pan_paniscus
ENSTGUP00000012635	ENSTGUG00000012271	Taeniopygia_guttata
ENSFCAP00000049029	ENSFCAG00000043515	Felis_catus
ENSCPOP00000020265	ENSCPOG00000026021	Cavia_porcellus
ENSTGEP00000032299	ENSTGEG00000025821	Theropithecus_gelada
ENSAMEP00000019404	ENSAMEG00000018362	Ailuropoda_melanoleuca
ENSDNOP00000018438	ENSDNOG00000047368	Dasypus_novemcinctus
ENSAPLP00000029363	ENSAPLG00000029704	Anas_platyrhynchos_platyrhynchos
ENSXMAP00000026060	ENSXMAG00000021096	Xiphophorus_maculatus
ENSNVIP00000018621	ENSNVIG00000014603	Neovison_vison
ENSPPYP00000024730	ENSPPYG00000029641	Pongo_abelii
ENSMALP00000027722	ENSMALG00000019227	Monopterus_albus
ENSDORP00000016300	ENSDORG00000001062	Dipodomys_ordii
ENSDNVP00000004053	ENSDNVG00000002887	Dromaius_novaehollandiae
ENSXCOP00000007107	ENSXCOG00000005495	Xiphophorus_couchianus
ENSLSDP00000003719	ENSLSDG00000002860	Lonchura_striata_domestica
ENSCGRP00000026323	ENSCGRG00000019383	Cricetulus_griseus_CriGri_1.0
ENSPVAP00000000376	ENSPVAG00000000406	Pteropus_vampyrus
ENSHHUP00000032106	ENSHHUG00000020373	Hucho_hucho
ENSBMUP00000004839	ENSBMUG00000003793	Bos_mutus
ENSANAP00000035972	ENSANAG00000035506	Aotus_nancymaae
ENSSMRP00000016065	ENSSMRG00000012494	Salvator_merianae
ENSBIXP00005021072	ENSBIXG00005024076	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCVAP00000025376	ENSCVAG00000010137	Cyprinodon_variegatus
ENSAMXP00005043021	ENSAMXG00005020048	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGWIP00000049635	ENSGWIG00000024215	Gouania_willdenowi
ENSMFAP00000045903	ENSMFAG00000000638	Macaca_fascicularis
ENSMPUP00000008877	ENSMPUG00000008947	Mustela_putorius_furo
ENSEBUP00000000492	ENSEBUG00000000627	Eptatretus_burgeri
ENSSPUP00000012674	ENSSPUG00000009748	Sphenodon_punctatus
ENSSHAP00000012374	ENSSHAG00000010602	Sarcophilus_harrisii
ENSGAGP00000028178	ENSGAGG00000020475	Gopherus_agassizii
ENSNSUP00000002144	ENSNSUG00000001818	Notechis_scutatus
ENSBIXP00000019566	ENSBIXG00000023154	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNBRP00000008622	ENSNBRG00000006764	Neolamprologus_brichardi
ENSGAFP00000016991	ENSGAFG00000011465	Gambusia_affinis
ENSSBOP00000035952	ENSSBOG00000034123	Saimiri_boliviensis_boliviensis
ENSFHEP00000003767	ENSFHEG00000004684	Fundulus_heteroclitus
ENSHCOP00000017193	ENSHCOG00000021152	Hippocampus_comes
ENSMOCP00000007867	ENSMOCG00000007745	Microtus_ochrogaster
ENSPEMP00000005959	ENSPEMG00000008312	Peromyscus_maniculatus_bairdii
ENSLCOP00000007772	ENSLCOG00000005711	Lepidothrix_coronata
ENSSFOP00015030161	ENSSFOG00015019340	Scleropages_formosus
ENSMVIP00005004967	ENSMVIG00005003816	Manacus_vitellinus
ENSUPAP00010016698	ENSUPAG00010013317	Urocitellus_parryii
ENSAMXP00000045149	ENSAMXG00000035489	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000034073
ENSMUNP00000011897	ENSMUNG00000009353	Melopsittacus_undulatus
ENSOCUP00000022913	ENSOCUG00000026623	Oryctolagus_cuniculus
ENSPTEP00000002948	ENSPTEG00000003493	Piliocolobus_tephrosceles
ENSABRP00000002225	ENSABRG00000002202	Anser_brachyrhynchus
ENSPKIP00000037268	ENSPKIG00000015527	Paramormyrops_kingsleyae
ENSCSAP00000019073	ENSCSAG00000019574	Chlorocebus_sabaeus
ENSAOCP00000001632	ENSAOCG00000004687	Amphiprion_ocellaris
ENSCJAP00000052087	ENSCJAG00000016689	Callithrix_jacchus
ENSHHUP00000054858	ENSHHUG00000032875	Hucho_hucho
ENSOGAP00000017013	ENSOGAG00000034922	Otolemur_garnettii
MGP_PahariEiJ_P0083065	MGP_PahariEiJ_G0029739	Mus_pahari_strain_PAHARI_EIJ
ENSPSMP00000015258	ENSPSMG00000010899	Prolemur_simus
ENSUAMP00000014679	ENSUAMG00000011783	Ursus_americanus
ENSECAP00000007644	ENSECAG00000009757	Equus_caballus
ENSEBUP00000026018	ENSEBUG00000016035	Eptatretus_burgeri
ENSNMEP00000026591	ENSNMEG00000022393	Numida_meleagris
ENSOMEP00000033813	ENSOMEG00000020036	Oryzias_melastigma
