ENSCINP00000011274	ENSCING00000005453	Ciona_intestinalis	ENSCINT00000011274
ENSCSAVP00000009509	ENSCSAVG00000005591	Ciona_savignyi	ENSCSAVT00000009626
ENSCINP00000006462	ENSCING00000003155	Ciona_intestinalis	ENSCINT00000006462
ENSCSAVP00000007770	ENSCSAVG00000004643	Ciona_savignyi	ENSCSAVT00000007873
ENSCSAVP00000014625	ENSCSAVG00000008548	Ciona_savignyi	ENSCSAVT00000014792
ENSCINP00000006321	ENSCING00000003122	Ciona_intestinalis	ENSCINT00000006321
ENSEBUP00000024863	ENSEBUG00000015360	Eptatretus_burgeri	ENSEBUT00000025439
ENSPMAP00000000434	ENSPMAG00000000388	Petromyzon_marinus	ENSPMAT00000000435
ENSABRP00000023702	ENSABRG00000019931	Anser_brachyrhynchus
ENSAPLP00000002121	ENSAPLG00000002662	Anas_platyrhynchos_platyrhynchos
ENSGALP00000070550	ENSGALG00000003751	Gallus_gallus
ENSCJPP00005015660	ENSCJPG00005012924	Coturnix_japonica
ENSNMEP00000002470	ENSNMEG00000001636	Numida_meleagris
ENSMGAP00000000999	ENSMGAG00000001518	Meleagris_gallopavo
ENSCPUP00000002713	ENSCPUG00000002060	Calidris_pugnax
ENSCPGP00000010292	ENSCPGG00000007206	Calidris_pygmaea
ENSMUNP00000015002	ENSMUNG00000011637	Melopsittacus_undulatus
ENSMVIP00005008547	ENSMVIG00005006286	Manacus_vitellinus
ENSMVIP00005008590	ENSMVIG00005006354	Manacus_vitellinus
ENSLCOP00000017080	ENSLCOG00000012108	Lepidothrix_coronata
ENSTGUP00000005229	ENSTGUG00000005068	Taeniopygia_guttata
ENSLSDP00000015074	ENSLSDG00000010824	Lonchura_striata_domestica
ENSSCAP00000004900	ENSSCAG00000003934	Serinus_canaria
ENSCCEP00000022286	ENSCCEG00000020115	Cyanistes_caeruleus
ENSPMJP00000020695	ENSPMJG00000015387	Parus_major
ENSFALP00000013755	ENSFALG00000013155	Ficedula_albicollis
ENSZALP00000004976	ENSZALG00000004647	Zonotrichia_albicollis
ENSJHYP00000019347	ENSJHYG00000014653	Junco_hyemalis
ENSARWP00000020192	ENSARWG00000013562	Apteryx_rowi
ENSAHAP00000019213	ENSAHAG00000013603	Apteryx_haastii
ENSAOWP00000025253	ENSAOWG00000017024	Apteryx_owenii
ENSDNVP00000019765	ENSDNVG00000013838	Dromaius_novaehollandiae
ENSNPEP00000013378	ENSNPEG00000009988	Nothoprocta_perdicaria
ENSCPRP00005014140	ENSCPRG00005009945	Crocodylus_porosus
ENSGAGP00000014395	ENSGAGG00000010932	Gopherus_agassizii	ENSGAGT00000016466
