ENSGWIP00000000580	ENSGWIG00000000381	Gouania_willdenowi
ENSPMGP00000004558	ENSPMGG00000003865	Periophthalmus_magnuspinnatus
ENSTNIP00000014652	ENSTNIG00000011701	Tetraodon_nigroviridis
ENSTRUP00000038769	ENSTRUG00000015178	Takifugu_rubripes
ENSSLDP00000010536	ENSSLDG00000008402	Seriola_lalandi_dorsalis
ENSSDUP00000023832	ENSSDUG00000017335	Seriola_dumerili
ENSLCAP00010014860	ENSLCAG00010007046	Lates_calcarifer
ENSSMAP00000011029	ENSSMAG00000006810	Scophthalmus_maximus
ENSMAMP00000000787	ENSMAMG00000000583	Mastacembelus_armatus
ENSMALP00000007097	ENSMALG00000005049	Monopterus_albus
ENSATEP00000003369	ENSATEG00000002397	Anabas_testudineus
ENSBSLP00000007650	ENSBSLG00000003797	Betta_splendens
ENSCGOP00000007678	ENSCGOG00000003931	Cottoperca_gobio
ENSGACP00000011273	ENSGACG00000008532	Gasterosteus_aculeatus
ENSLCRP00005003593	ENSLCRG00005001904	Larimichthys_crocea
ENSMMOP00000027233	ENSMMOG00000020586	Mola_mola
ENSLBEP00000004692	ENSLBEG00000003621	Labrus_bergylta
ENSAOCP00000009987	ENSAOCG00000014152	Amphiprion_ocellaris
ENSAPEP00000025313	ENSAPEG00000018000	Amphiprion_percula
ENSAPOP00000034204	ENSAPOG00000023343	Acanthochromis_polyacanthus
ENSSPAP00000027581	ENSSPAG00000020797	Stegastes_partitus
ENSPFOP00000013569	ENSPFOG00000013556	Poecilia_formosa
ENSPMEP00000017443	ENSPMEG00000020263	Poecilia_mexicana
ENSPLAP00000031712	ENSPLAG00000023815	Poecilia_latipinna
ENSPREP00000014399	ENSPREG00000009760	Poecilia_reticulata
ENSGAFP00000000422	ENSGAFG00000000333	Gambusia_affinis
ENSXMAP00000016273	ENSXMAG00000016248	Xiphophorus_maculatus
ENSCVAP00000019467	ENSCVAG00000022831	Cyprinodon_variegatus
ENSFHEP00000027904	ENSFHEG00000011662	Fundulus_heteroclitus
ENSKMAP00000026537	ENSKMAG00000019689	Kryptolebias_marmoratus
ENSORLP00000005210	ENSORLG00000004161	Oryzias_latipes_ASM223467v1
ENSORLP00020006819	ENSORLG00020007687	Oryzias_latipes_ASM223471v1
ENSORLP00015019914	ENSORLG00015021033	Oryzias_latipes_ASM223469v1
ENSOMEP00000021571	ENSOMEG00000023469	Oryzias_melastigma
ENSPNYP00000013330	ENSPNYG00000010107	Pundamilia_nyererei
ENSHBUP00000022134	ENSHBUG00000002212	Haplochromis_burtoni
ENSACLP00000004865	ENSACLG00000003263	Astatotilapia_calliptera
ENSMZEP00005030415	ENSMZEG00005022666	Maylandia_zebra
ENSNBRP00000001949	ENSNBRG00000001571	Neolamprologus_brichardi
ENSONIP00000001517	ENSONIG00000001200	Oreochromis_niloticus
ENSACIP00000014763	ENSACIG00000011447	Amphilophus_citrinellus
ENSPRNP00000025256	ENSPRNG00000012811	Parambassis_ranga
ENSHCOP00000005883	ENSHCOG00000007597	Hippocampus_comes
ENSHHUP00000044049	ENSHHUG00000027010	Hucho_hucho
ENSHHUP00000088965	ENSHHUG00000051382	Hucho_hucho
ENSELUP00000019708	ENSELUG00000018999	Esox_lucius
ENSAMXP00000042241	ENSAMXG00000035530	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005016419	ENSAMXG00005008565	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000021889	ENSPNAG00000029095	Pygocentrus_nattereri
ENSIPUP00000025466	ENSIPUG00000017247	Ictalurus_punctatus
ENSEEEP00000000341	ENSEEEG00000000248	Electrophorus_electricus
ENSDARP00000024330	ENSDARG00000009040	Danio_rerio
ENSDCDP00000048193	ENSDCDG00000029871	Denticeps_clupeoides
ENSSFOP00015035850	ENSSFOG00015022825	Scleropages_formosus
ENSPKIP00000001183	ENSPKIG00000019576	Paramormyrops_kingsleyae
ENSLOCP00000000795	ENSLOCG00000000712	Lepisosteus_oculatus
ENSLOCP00000018493	ENSLOCG00000015023	Lepisosteus_oculatus
ENSECRP00000017255	ENSECRG00000011504	Erpetoichthys_calabaricus
ENSGAGP00000022895	ENSGAGG00000016786	Gopherus_agassizii
ENSCABP00000001645	ENSCABG00000001334	Chelonoidis_abingdonii
ENSCPBP00000022673	ENSCPBG00000016197	Chrysemys_picta_bellii
ENSAOWP00000011312	ENSAOWG00000007768	Apteryx_owenii
ENSPVIP00000023015	ENSPVIG00000017373	Pogona_vitticeps
ENSACAP00000017692	ENSACAG00000017968	Anolis_carolinensis
ENSNSUP00000011571	ENSNSUG00000008713	Notechis_scutatus
ENSXETP00000003735	ENSXETG00000004554	Xenopus_tropicalis
ENSLACP00000008661	ENSLACG00000007656	Latimeria_chalumnae
