ENSPPRP00000026411	ENSPPRG00000017124	Panthera_pardus	ENSPPRT00000026338
ENSPPRP00000026407	ENSPPRG00000017108	Panthera_pardus	ENSPPRT00000026310
ENSPTIP00000003087	ENSPTIG00000005941	Panthera_tigris_altaica
ENSNVIP00000001997	ENSNVIG00000001628	Neovison_vison
ENSBIXP00005020929	ENSBIXG00005023942	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000002429	ENSBIXG00000008895	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000007010	ENSBMUG00000005549	Bos_mutus
ENSBTAP00000057279	ENSBTAG00000052870	Bos_taurus
ENSBBBP00000006765	ENSBBBG00000003721	Bison_bison_bison
ENSPTRP00000066597	ENSPTRG00000048809	Pan_troglodytes
ENSGGOP00000042448	ENSGGOG00000042092	Gorilla_gorilla
ENSPPAP00000004723	ENSPPAG00000019737	Pan_paniscus
ENSGGOP00000030520	ENSGGOG00000043860	Gorilla_gorilla
ENSPPYP00000006053	ENSPPYG00000005315	Pongo_abelii
ENSNLEP00000022111	ENSNLEG00000018204	Nomascus_leucogenys
ENSTGEP00000001074	ENSTGEG00000001020	Theropithecus_gelada
ENSPTEP00000026316	ENSPTEG00000026402	Piliocolobus_tephrosceles
