ENSNVIP00000030048	ENSNVIG00000023140	Neovison_vison
ENSCGRP00001012592	ENSCGRG00001013962	Cricetulus_griseus_CHOK1GS_HDv1
ENSOGAP00000010483	ENSOGAG00000011711	Otolemur_garnettii
ENSTGEP00000008074	ENSTGEG00000006602	Theropithecus_gelada
ENSJJAP00000020044	ENSJJAG00000020832	Jaculus_jaculus
ENSSARP00000005122	ENSSARG00000005654	Sorex_araneus
ENSCPOP00000022201	ENSCPOG00000038774	Cavia_porcellus
ENSNLEP00000021541	ENSNLEG00000017743	Nomascus_leucogenys
ENSVPAP00000010897	ENSVPAG00000011712	Vicugna_pacos
ENSCAFP00020027692	ENSCAFG00020021741	Canis_lupus_dingo
ENSUAMP00000029955	ENSUAMG00000023023	Ursus_americanus
ENSPCOP00000007368	ENSPCOG00000014924	Propithecus_coquereli
ENSPPAP00000043183	ENSPPAG00000044123	Pan_paniscus
ENSOCUP00000007004	ENSOCUG00000008097	Oryctolagus_cuniculus
ENSMSIP00000011616	ENSMSIG00000010140	Mus_spicilegus
ENSMUGP00000029939	ENSMUGG00000024870	Meriones_unguiculatus
ENSPPYP00000005193	ENSPPYG00000004552	Pongo_abelii
ENSNGAP00000004992	ENSNGAG00000006933	Nannospalax_galili
ENSTSYP00000009324	ENSTSYG00000010194	Carlito_syrichta
ENSPSMP00000005172	ENSPSMG00000003993	Prolemur_simus
ENSMUSP00000065922	ENSMUSG00000056605	Mus_musculus_strain_reference_(CL57BL6)
ENSDORP00000012389	ENSDORG00000013176	Dipodomys_ordii
ENSCHOP00000000439	ENSCHOG00000000494	Choloepus_hoffmanni
ENSPCIP00000042222	ENSPCIG00000031580	Phascolarctos_cinereus
ENSMAUP00000019134	ENSMAUG00000017504	Mesocricetus_auratus
ENSRNOP00000074275	ENSRNOG00000030876	Rattus_norvegicus
ENSVVUP00000039232	ENSVVUG00000027950	Vulpes_vulpes
ENSUPAP00010000240	ENSUPAG00010000241	Urocitellus_parryii
ENSGGOP00000024826	ENSGGOG00000003136	Gorilla_gorilla
ENSHGLP00000001513	ENSHGLG00000001158	Heterocephalus_glaber_HetGla_female_1.0
ENSMICP00000002020	ENSMICG00000002209	Microcebus_murinus
ENSSHAP00000018032	ENSSHAG00000015310	Sarcophilus_harrisii
ENSEEUP00000012998	ENSEEUG00000014239	Erinaceus_europaeus
ENSBTAP00000010391	ENSBTAG00000007904	Bos_taurus
ENSOPRP00000008065	ENSOPRG00000008814	Ochotona_princeps
MGP_PahariEiJ_P0043278	MGP_PahariEiJ_G0020323	Mus_pahari_strain_PAHARI_EIJ
ENSPCAP00000005197	ENSPCAG00000005591	Procavia_capensis	ENSPCAT00000005562
MGP_SPRETEiJ_P0041768	MGP_SPRETEiJ_G0021217	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0039931	MGP_CAROLIEiJ_G0020324	Mus_caroli_strain_CAROLI_EIJ
ENSMPUP00000006755	ENSMPUG00000006809	Mustela_putorius_furo
ENSMOCP00000022716	ENSMOCG00000019668	Microtus_ochrogaster
ENSODEP00000016906	ENSODEG00000012462	Octodon_degus
ENSRROP00000001062	ENSRROG00000003861	Rhinopithecus_roxellana
ENSSDAP00000024599	ENSSDAG00000022382	Spermophilus_dauricus
ENSMLEP00000033721	ENSMLEG00000041054	Mandrillus_leucophaeus
ENSETEP00000010584	ENSETEG00000013046	Echinops_telfairi	ENSETET00000013045
ENSPANP00000001791	ENSPANG00000020166	Papio_anubis
ENSHGLP00100006394	ENSHGLG00100004789	Heterocephalus_glaber_HetGla_1.0
ENSPTEP00000041724	ENSPTEG00000038163	Piliocolobus_tephrosceles
ENSRBIP00000007052	ENSRBIG00000027340	Rhinopithecus_bieti
ENSDNOP00000003287	ENSDNOG00000004263	Dasypus_novemcinctus
ENSSBOP00000003596	ENSSBOG00000017129	Saimiri_boliviensis_boliviensis
ENSCCAP00000007047	ENSCCAG00000021252	Cebus_capucinus_imitator
ENSSTOP00000024866	ENSSTOG00000030142	Ictidomys_tridecemlineatus
ENSP00000293745	ENSG00000170486	Homo_sapiens
ENSMMMP00000001911	ENSMMMG00000001736	Marmota_marmota_marmota
ENSANAP00000027644	ENSANAG00000031663	Aotus_nancymaae
ENSCHIP00000032616	ENSCHIG00000026525	Capra_hircus
ENSCGRP00000009473	ENSCGRG00000006921	Cricetulus_griseus_CriGri_1.0
ENSCANP00000025912	ENSCANG00000036383	Colobus_angolensis_palliatus
ENSPVAP00000006224	ENSPVAG00000006590	Pteropus_vampyrus
ENSCSAP00000001969	ENSCSAG00000005665	Chlorocebus_sabaeus
ENSMNEP00000034342	ENSMNEG00000040376	Macaca_nemestrina
ENSCCNP00000021043	ENSCCNG00000020916	Castor_canadensis
ENSPTRP00000008496	ENSPTRG00000004984	Pan_troglodytes
ENSPEMP00000020988	ENSPEMG00000018769	Peromyscus_maniculatus_bairdii
ENSMFAP00000032306	ENSMFAG00000037175	Macaca_fascicularis
ENSFDAP00000002161	ENSFDAG00000011944	Fukomys_damarensis
ENSPTIP00000023079	ENSPTIG00000019659	Panthera_tigris_altaica
ENSTBEP00000006181	ENSTBEG00000007138	Tupaia_belangeri
ENSMLUP00000004918	ENSMLUG00000005386	Myotis_lucifugus
ENSMEUP00000009026	ENSMEUG00000009899	Notamacropus_eugenii
ENSCATP00000012313	ENSCATG00000030323	Cercocebus_atys
ENSOARP00000018183	ENSOARG00000016930	Ovis_aries
ENSBMUP00000011761	ENSBMUG00000009030	Bos_mutus
ENSCAPP00000010775	ENSCAPG00000011978	Cavia_aperea
ENSEASP00005013126	ENSEASG00005009149	Equus_asinus_asinus
ENSPPRP00000028376	ENSPPRG00000020567	Panthera_pardus
ENSBBBP00000012677	ENSBBBG00000000631	Bison_bison_bison
ENSCGRP00015038304	ENSCGRG00015028626	Cricetulus_griseus_CriGri-PICR
ENSSSCP00000000264	ENSSSCG00000000249	Sus_scrofa_strain_reference
