ENSMGAP00000001097	ENSMGAG00000001624	Meleagris_gallopavo	ENSMGAT00000001748
ENSGAGP00000034870	ENSGAGG00000024782	Gopherus_agassizii
ENSLACP00000023002	ENSLACG00000022593	Latimeria_chalumnae
ENSLACP00000015202	ENSLACG00000013383	Latimeria_chalumnae
ENSLACP00000000372	ENSLACG00000000335	Latimeria_chalumnae
ENSTNIP00000004094	ENSTNIG00000000189	Tetraodon_nigroviridis
ENSPMGP00000012280	ENSPMGG00000010130	Periophthalmus_magnuspinnatus
ENSKMAP00000010051	ENSKMAG00000007556	Kryptolebias_marmoratus
ENSCGRP00015027722	ENSCGRG00015021039	Cricetulus_griseus_CriGri-PICR
ENSXETP00000033260	ENSXETG00000016347	Xenopus_tropicalis
ENSPNAP00000037061	ENSPNAG00000028388	Pygocentrus_nattereri
ENSIPUP00000019115	ENSIPUG00000012968	Ictalurus_punctatus
ENSDARP00000127790	ENSDARG00000097415	Danio_rerio
ENSSFOP00015034187	ENSSFOG00015021797	Scleropages_formosus
ENSLACP00000018214	ENSLACG00000016045	Latimeria_chalumnae
ENSLCAP00010046851	ENSLCAG00010021711	Lates_calcarifer
ENSSMAP00000029020	ENSSMAG00000017785	Scophthalmus_maximus
ENSECRP00000010325	ENSECRG00000006891	Erpetoichthys_calabaricus
ENSMMUP00000003710	ENSMMUG00000002763	Macaca_mulatta
ENSMLEP00000035547	ENSMLEG00000041915	Mandrillus_leucophaeus
ENSANAP00000028367	ENSANAG00000032025	Aotus_nancymaae
ENSMEUP00000007178	ENSMEUG00000007852	Notamacropus_eugenii
ENSPMAP00000001715	ENSPMAG00000001559	Petromyzon_marinus
ENSEBUP00000006344	ENSEBUG00000004200	Eptatretus_burgeri
