ENSCLAP00000006755	ENSCLAG00000004762	Chinchilla_lanigera	ENSCLAT00000006865
ENSODEP00000007517	ENSODEG00000005607	Octodon_degus	ENSODET00000007631
ENSHGLP00100016116	ENSHGLG00100011896	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000007504	ENSHGLG00000005453	Heterocephalus_glaber_HetGla_female_1.0
ENSCPOP00000021677	ENSCPOG00000036175	Cavia_porcellus
ENSDORP00000006714	ENSDORG00000024961	Dipodomys_ordii
ENSDORP00000013888	ENSDORG00000026024	Dipodomys_ordii
ENSMMMP00000027578	ENSMMMG00000024064	Marmota_marmota_marmota
ENSOPRP00000009977	ENSOPRG00000010922	Ochotona_princeps
ENSOPRP00000007293	ENSOPRG00000007977	Ochotona_princeps
ENSOPRP00000007454	ENSOPRG00000008148	Ochotona_princeps
ENSOCUP00000028001	ENSOCUG00000003764	Oryctolagus_cuniculus
ENSOCUP00000037968	ENSOCUG00000014931	Oryctolagus_cuniculus
ENSTBEP00000011547	ENSTBEG00000013328	Tupaia_belangeri
ENSMLUP00000012546	ENSMLUG00000013780	Myotis_lucifugus
ENSMLUP00000019329	ENSMLUG00000025544	Myotis_lucifugus
ENSMLUP00000016262	ENSMLUG00000026876	Myotis_lucifugus
ENSMLUP00000018386	ENSMLUG00000026350	Myotis_lucifugus
ENSMLUP00000021558	ENSMLUG00000027370	Myotis_lucifugus
ENSMLUP00000016317	ENSMLUG00000025853	Myotis_lucifugus
ENSMLUP00000018447	ENSMLUG00000026512	Myotis_lucifugus
ENSMLUP00000005841	ENSMLUG00000006393	Myotis_lucifugus
ENSMLUP00000020714	ENSMLUG00000024873	Myotis_lucifugus
ENSPVAP00000004672	ENSPVAG00000004938	Pteropus_vampyrus
ENSEEUP00000013069	ENSEEUG00000014317	Erinaceus_europaeus
ENSECAP00000050436	ENSECAG00000028459	Equus_caballus
ENSECAP00000041523	ENSECAG00000032271	Equus_caballus
ENSEASP00005019206	ENSEASG00005013209	Equus_asinus_asinus
ENSBIXP00000018317	ENSBIXG00000022174	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005027695	ENSBIXG00005030237	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000022785	ENSBMUG00000017127	Bos_mutus
ENSBTAP00000048119	ENSBTAG00000038233	Bos_taurus
ENSBTAP00000048354	ENSBTAG00000037634	Bos_taurus
ENSBTAP00000006940	ENSBTAG00000014529	Bos_taurus
ENSBMUP00000029070	ENSBMUG00000021762	Bos_mutus
ENSBBBP00000026670	ENSBBBG00000022609	Bison_bison_bison
ENSOARP00000001603	ENSOARG00000001535	Ovis_aries
ENSOARP00000000926	ENSOARG00000000895	Ovis_aries
ENSBBBP00000014871	ENSBBBG00000022656	Bison_bison_bison
ENSBIXP00005000301	ENSBIXG00005030389	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000022818	ENSBMUG00000017153	Bos_mutus
ENSBMUP00000012135	ENSBMUG00000009301	Bos_mutus
ENSBTAP00000069295	ENSBTAG00000024272	Bos_taurus
ENSBIXP00000018288	ENSBIXG00000022156	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000024148	ENSBTAG00000031186	Bos_taurus
