ENSMSIP00000000727	ENSMSIG00000000647	Mus_spicilegus
ENSJHYP00000016064	ENSJHYG00000012301	Junco_hyemalis
ENSTBEP00000007120	ENSTBEG00000008201	Tupaia_belangeri
ENSPPAP00000004683	ENSPPAG00000019531	Pan_paniscus
ENSODEP00000021417	ENSODEG00000015762	Octodon_degus
ENSCATP00000011249	ENSCATG00000029866	Cercocebus_atys
ENSSBOP00000038885	ENSSBOG00000035497	Saimiri_boliviensis_boliviensis
ENSTTRP00000011866	ENSTTRG00000012507	Tursiops_truncatus
ENSCANP00000026251	ENSCANG00000036550	Colobus_angolensis_palliatus
ENSMPUP00000000880	ENSMPUG00000000884	Mustela_putorius_furo
ENSMLEP00000023113	ENSMLEG00000035758	Mandrillus_leucophaeus
ENSGALP00000050462	ENSGALG00000040530	Gallus_gallus
ENSLOCP00000008354	ENSLOCG00000006907	Lepisosteus_oculatus
ENSNMEP00000012407	ENSNMEG00000011483	Numida_meleagris
ENSTGEP00000030627	ENSTGEG00000024570	Theropithecus_gelada
ENSFDAP00000002875	ENSFDAG00000012486	Fukomys_damarensis
ENSCABP00000031532	ENSCABG00000023020	Chelonoidis_abingdonii
ENSSHAP00000001142	ENSSHAG00000001020	Sarcophilus_harrisii
ENSPMJP00000012497	ENSPMJG00000009493	Parus_major
ENSLACP00000005321	ENSLACG00000004730	Latimeria_chalumnae
ENSCSAP00000006585	ENSCSAG00000010448	Chlorocebus_sabaeus
ENSCPOP00000013464	ENSCPOG00000014941	Cavia_porcellus
ENSNVIP00000008269	ENSNVIG00000006533	Neovison_vison
ENSMAUP00000021450	ENSMAUG00000019163	Mesocricetus_auratus
ENSMMUP00000080258	ENSMMUG00000062468	Macaca_mulatta
ENSLCOP00000019431	ENSLCOG00000013747	Lepidothrix_coronata
MGP_PahariEiJ_P0020071	MGP_PahariEiJ_G0013905	Mus_pahari_strain_PAHARI_EIJ
ENSAMEP00000001772	ENSAMEG00000001659	Ailuropoda_melanoleuca
ENSSTOP00000023514	ENSSTOG00000023940	Ictidomys_tridecemlineatus
ENSPEMP00000021480	ENSPEMG00000019111	Peromyscus_maniculatus_bairdii
ENSPVAP00000001481	ENSPVAG00000001568	Pteropus_vampyrus
ENSPVIP00000029632	ENSPVIG00000021845	Pogona_vitticeps
ENSCHIP00000007770	ENSCHIG00000011158	Capra_hircus
ENSCPUP00000017424	ENSCPUG00000011987	Calidris_pugnax
ENSCGRP00001012393	ENSCGRG00001013809	Cricetulus_griseus_CHOK1GS_HDv1
ENSHGLP00000014243	ENSHGLG00000010177	Heterocephalus_glaber_HetGla_female_1.0
ENSPANP00000010335	ENSPANG00000020296	Papio_anubis
ENSSMRP00000018177	ENSSMRG00000014146	Salvator_merianae	ENSSMRT00000021274
ENSOARP00000003086	ENSOARG00000002904	Ovis_aries
ENSGGOP00000000458	ENSGGOG00000000463	Gorilla_gorilla
ENSPSIP00000015195	ENSPSIG00000013295	Pelodiscus_sinensis
ENSCAPP00000011899	ENSCAPG00000012872	Cavia_aperea
