ENSARWP00000016088	ENSARWG00000011099	Apteryx_rowi
ENSAOWP00000007711	ENSAOWG00000005285	Apteryx_owenii
ENSGAGP00000010684	ENSGAGG00000008337	Gopherus_agassizii
ENSCABP00000014449	ENSCABG00000010780	Chelonoidis_abingdonii
ENSCPBP00000026264	ENSCPBG00000018637	Chrysemys_picta_bellii
ENSNSUP00000011193	ENSNSUG00000008448	Notechis_scutatus
ENSPVIP00000031557	ENSPVIG00000023207	Pogona_vitticeps
ENSACAP00000010550	ENSACAG00000010748	Anolis_carolinensis	ENSACAT00000010768
ENSSMRP00000026524	ENSSMRG00000020496	Salvator_merianae	ENSSMRT00000031003
ENSACAP00000022962	ENSACAG00000028839	Anolis_carolinensis
ENSACAP00000022144	ENSACAG00000029124	Anolis_carolinensis	ENSACAT00000029561
ENSPVIP00000031556	ENSPVIG00000023206	Pogona_vitticeps
ENSPVIP00000031555	ENSPVIG00000023205	Pogona_vitticeps
ENSACAP00000022928	ENSACAG00000029230	Anolis_carolinensis
ENSSMRP00000026539	ENSSMRG00000020501	Salvator_merianae
ENSPVIP00000031558	ENSPVIG00000023208	Pogona_vitticeps
ENSNSUP00000011181	ENSNSUG00000008437	Notechis_scutatus
ENSCABP00000014491	ENSCABG00000010819	Chelonoidis_abingdonii
ENSCABP00000014466	ENSCABG00000010803	Chelonoidis_abingdonii
ENSGAGP00000025533	ENSGAGG00000018655	Gopherus_agassizii
ENSNPEP00000021521	ENSNPEG00000015962	Nothoprocta_perdicaria
ENSCPBP00000027233	ENSCPBG00000019279	Chrysemys_picta_bellii
ENSCPBP00000026270	ENSCPBG00000018643	Chrysemys_picta_bellii
ENSCPBP00000026315	ENSCPBG00000018664	Chrysemys_picta_bellii
ENSCABP00000011699	ENSCABG00000008729	Chelonoidis_abingdonii
ENSOANP00000018885	ENSOANG00000011916	Ornithorhynchus_anatinus
ENSOANP00000018886	ENSOANG00000011918	Ornithorhynchus_anatinus
ENSDNOP00000010196	ENSDNOG00000013151	Dasypus_novemcinctus
ENSCHOP00000010136	ENSCHOG00000011464	Choloepus_hoffmanni
ENSEASP00005005976	ENSEASG00005004413	Equus_asinus_asinus
ENSCAFP00020034169	ENSCAFG00020026524	Canis_lupus_dingo
ENSBIXP00005022746	ENSBIXG00005025587	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSUMAP00000033069	ENSUMAG00000023840	Ursus_maritimus
ENSUAMP00000006122	ENSUAMG00000005392	Ursus_americanus
ENSAMEP00000015993	ENSAMEG00000015177	Ailuropoda_melanoleuca
ENSCAFP00000006026	ENSCAFG00000004061	Canis_lupus_familiaris
ENSCAFP00020034168	ENSCAFG00020026523	Canis_lupus_dingo
ENSVVUP00000032144	ENSVVUG00000023338	Vulpes_vulpes
ENSMPUP00000004336	ENSMPUG00000004369	Mustela_putorius_furo
ENSNVIP00000014337	ENSNVIG00000011256	Neovison_vison
ENSPPRP00000019148	ENSPPRG00000010583	Panthera_pardus
ENSPTIP00000000949	ENSPTIG00000002518	Panthera_tigris_altaica
ENSFCAP00000054112	ENSFCAG00000010611	Felis_catus
ENSECAP00000009719	ENSECAG00000011903	Equus_caballus
ENSEASP00005005970	ENSEASG00005004409	Equus_asinus_asinus
