ENSMUSP00000092633	ENSMUSG00000028396	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0088511	MGP_SPRETEiJ_G0032338	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000037285	ENSMSIG00000031068	Mus_spicilegus
MGP_CAROLIEiJ_P0062712	MGP_CAROLIEiJ_G0026110	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0077848	MGP_PahariEiJ_G0028448	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000055669	ENSRNOG00000045733	Rattus_norvegicus
ENSMSIP00000004535	ENSMSIG00000004111	Mus_spicilegus
ENSMUGP00000028883	ENSMUGG00000023924	Meriones_unguiculatus
ENSPEMP00000011138	ENSPEMG00000011897	Peromyscus_maniculatus_bairdii
ENSMOCP00000026131	ENSMOCG00000022037	Microtus_ochrogaster
ENSCGRP00001027701	ENSCGRG00001024634	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000011805	ENSCGRG00000008594	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015016023	ENSCGRG00015012330	Cricetulus_griseus_CriGri-PICR
ENSNGAP00000019468	ENSNGAG00000019282	Nannospalax_galili
ENSSDAP00000014826	ENSSDAG00000013370	Spermophilus_dauricus
ENSOGAP00000011599	ENSOGAG00000012940	Otolemur_garnettii
ENSUAMP00000013096	ENSUAMG00000010561	Ursus_americanus
ENSAMEP00000004949	ENSAMEG00000004699	Ailuropoda_melanoleuca
ENSOANP00000016465	ENSOANG00000010380	Ornithorhynchus_anatinus
ENSAHAP00000004509	ENSAHAG00000003512	Apteryx_haastii
ENSAOWP00000017248	ENSAOWG00000011789	Apteryx_owenii
ENSNSUP00000012190	ENSNSUG00000009156	Notechis_scutatus
