ENSCHOP00000007472	ENSCHOG00000008449	Choloepus_hoffmanni
ENSHHUP00000051545	ENSHHUG00000031026	Hucho_hucho
ENSCCEP00000015589	ENSCCEG00000014728	Cyanistes_caeruleus
ENSETEP00000012343	ENSETEG00000015222	Echinops_telfairi
ENSPVIP00000003950	ENSPVIG00000003225	Pogona_vitticeps
ENSBIXP00000022329	ENSBIXG00000025224	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNMEP00000009588	ENSNMEG00000009236	Numida_meleagris
ENSOMEP00000028161	ENSOMEG00000011089	Oryzias_melastigma
ENSCSAP00000001376	ENSCSAG00000005049	Chlorocebus_sabaeus
ENSPNAP00000024599	ENSPNAG00000009213	Pygocentrus_nattereri
ENSKMAP00000006761	ENSKMAG00000005090	Kryptolebias_marmoratus
ENSGAFP00000028695	ENSGAFG00000019390	Gambusia_affinis
ENSMGAP00000012250	ENSMGAG00000011693	Meleagris_gallopavo
ENSEEUP00000009207	ENSEEUG00000010010	Erinaceus_europaeus
ENSPSMP00000028497	ENSPSMG00000019816	Prolemur_simus
ENSXCOP00000008730	ENSXCOG00000006668	Xiphophorus_couchianus
ENSGAGP00000014818	ENSGAGG00000011218	Gopherus_agassizii
ENSPMEP00000025737	ENSPMEG00000008924	Poecilia_mexicana
ENSCGRP00015010310	ENSCGRG00015007906	Cricetulus_griseus_CriGri-PICR
ENSCGOP00000055085	ENSCGOG00000024045	Cottoperca_gobio
ENSCHIP00000006828	ENSCHIG00000010537	Capra_hircus
MGP_CAROLIEiJ_P0068742	MGP_CAROLIEiJ_G0027319	Mus_caroli_strain_CAROLI_EIJ
ENSPCAP00000007756	ENSPCAG00000008242	Procavia_capensis
ENSBSLP00000000712	ENSBSLG00000000584	Betta_splendens
ENSPPRP00000019487	ENSPPRG00000010895	Panthera_pardus
ENSMMMP00000024061	ENSMMMG00000020998	Marmota_marmota_marmota
ENSDARP00000122314	ENSDARG00000011602	Danio_rerio
ENSEEUP00000014255	ENSEEUG00000015616	Erinaceus_europaeus
ENSATEP00000022121	ENSATEG00000015339	Anabas_testudineus
ENSDNVP00000016177	ENSDNVG00000011360	Dromaius_novaehollandiae
ENSPTRP00000082756	ENSPTRG00000016078	Pan_troglodytes
ENSMMOP00000008598	ENSMMOG00000006643	Mola_mola
ENSHCOP00000013088	ENSHCOG00000016214	Hippocampus_comes
ENSZALP00000018120	ENSZALG00000014559	Zonotrichia_albicollis	ENSZALT00000024029
ENSPKIP00000026023	ENSPKIG00000008665	Paramormyrops_kingsleyae
ENSACIP00000029966	ENSACIG00000023186	Amphilophus_citrinellus
ENSSBOP00000037160	ENSSBOG00000034674	Saimiri_boliviensis_boliviensis
ENSCVAP00000009393	ENSCVAG00000011352	Cyprinodon_variegatus
ENSNPEP00000017660	ENSNPEG00000013102	Nothoprocta_perdicaria
ENSAMXP00000005623	ENSAMXG00000005490	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPFOP00000017100	ENSPFOG00000017030	Poecilia_formosa
ENSCABP00000019834	ENSCABG00000014633	Chelonoidis_abingdonii
ENSCATP00000021730	ENSCATG00000034559	Cercocebus_atys
ENSABRP00000011237	ENSABRG00000009946	Anser_brachyrhynchus
ENSLCAP00010012823	ENSLCAG00010006073	Lates_calcarifer
ENSAOWP00000007851	ENSAOWG00000005366	Apteryx_owenii
ENSMMUP00000055952	ENSMMUG00000016358	Macaca_mulatta
ENSOARP00000003652	ENSOARG00000003424	Ovis_aries
ENSAPOP00000018156	ENSAPOG00000021474	Acanthochromis_polyacanthus
ENSPMJP00000007584	ENSPMJG00000006238	Parus_major
ENSLCRP00005032813	ENSLCRG00005012952	Larimichthys_crocea
ENSMUGP00000029671	ENSMUGG00000024636	Meriones_unguiculatus
ENSCSEP00000005750	ENSCSEG00000003711	Cynoglossus_semilaevis
ENSANAP00000007709	ENSANAG00000021913	Aotus_nancymaae
ENSTGUP00000007663	ENSTGUG00000007441	Taeniopygia_guttata
ENSMVIP00005016126	ENSMVIG00005011581	Manacus_vitellinus
ENSAPLP00000025859	ENSAPLG00000017006	Anas_platyrhynchos_platyrhynchos
ENSFCAP00000006106	ENSFCAG00000006569	Felis_catus
ENSSMRP00000011722	ENSSMRG00000009208	Salvator_merianae
ENSPPYP00000016480	ENSPPYG00000014756	Pongo_abelii
ENSLSDP00000011174	ENSLSDG00000008207	Lonchura_striata_domestica
ENSRNOP00000002908	ENSRNOG00000002139	Rattus_norvegicus
ENSCGRP00001026211	ENSCGRG00001023592	Cricetulus_griseus_CHOK1GS_HDv1
ENSFHEP00000021426	ENSFHEG00000001173	Fundulus_heteroclitus
ENSPRNP00000037452	ENSPRNG00000018662	Parambassis_ranga
ENSMSIP00000023638	ENSMSIG00000019982	Mus_spicilegus
ENSUAMP00000037038	ENSUAMG00000028046	Ursus_americanus
ENSPEMP00000008699	ENSPEMG00000010216	Peromyscus_maniculatus_bairdii
ENSCJAP00000033488	ENSCJAG00000018115	Callithrix_jacchus
ENSLACP00000000649	ENSLACG00000000579	Latimeria_chalumnae
ENSSPUP00000024644	ENSSPUG00000018861	Sphenodon_punctatus
ENSTNIP00000020797	ENSTNIG00000017648	Tetraodon_nigroviridis
ENSRROP00000029175	ENSRROG00000038384	Rhinopithecus_roxellana
ENSPCOP00000022931	ENSPCOG00000023584	Propithecus_coquereli
ENSP00000264229	ENSG00000109265	Homo_sapiens
ENSPTIP00000001722	ENSPTIG00000004246	Panthera_tigris_altaica
ENSGWIP00000023444	ENSGWIG00000012511	Gouania_willdenowi
ENSACLP00000022423	ENSACLG00000015216	Astatotilapia_calliptera
ENSMLEP00000019326	ENSMLEG00000033883	Mandrillus_leucophaeus
ENSGGOP00000001130	ENSGGOG00000001148	Gorilla_gorilla
