ENSEBUP00000013963	ENSEBUG00000008795	Eptatretus_burgeri	ENSEBUT00000014539
ENSPMAP00000010260	ENSPMAG00000009325	Petromyzon_marinus	ENSPMAT00000010306
ENSLCOP00000021169	ENSLCOG00000014975	Lepidothrix_coronata
ENSMVIP00005020856	ENSMVIG00005014687	Manacus_vitellinus
ENSLSDP00000025008	ENSLSDG00000017541	Lonchura_striata_domestica
ENSTGUP00000011245	ENSTGUG00000010907	Taeniopygia_guttata
ENSSCAP00000022402	ENSSCAG00000016105	Serinus_canaria
ENSJHYP00000023570	ENSJHYG00000017720	Junco_hyemalis
ENSZALP00000022676	ENSZALG00000017595	Zonotrichia_albicollis
ENSPMJP00000002211	ENSPMJG00000001810	Parus_major
ENSCCEP00000020200	ENSCCEG00000018306	Cyanistes_caeruleus
ENSFALP00000004519	ENSFALG00000004341	Ficedula_albicollis
ENSMUNP00000004592	ENSMUNG00000003806	Melopsittacus_undulatus
ENSCPUP00000010117	ENSCPUG00000007165	Calidris_pugnax
ENSCPGP00000002087	ENSCPGG00000001541	Calidris_pygmaea
ENSAPLP00000002251	ENSAPLG00000002783	Anas_platyrhynchos_platyrhynchos
ENSABRP00000022058	ENSABRG00000018673	Anser_brachyrhynchus
ENSMGAP00000015781	ENSMGAG00000014890	Meleagris_gallopavo
ENSGALP00000072824	ENSGALG00000016870	Gallus_gallus
ENSCJPP00005019912	ENSCJPG00005016093	Coturnix_japonica
ENSNMEP00000021828	ENSNMEG00000018698	Numida_meleagris
ENSAHAP00000022642	ENSAHAG00000015869	Apteryx_haastii
ENSAOWP00000028050	ENSAOWG00000018890	Apteryx_owenii
ENSARWP00000018576	ENSARWG00000012450	Apteryx_rowi
ENSDNVP00000014917	ENSDNVG00000010493	Dromaius_novaehollandiae
ENSNPEP00000016524	ENSNPEG00000011101	Nothoprocta_perdicaria
ENSCPRP00005024708	ENSCPRG00005017168	Crocodylus_porosus
ENSCABP00000015332	ENSCABG00000011408	Chelonoidis_abingdonii
ENSGAGP00000026856	ENSGAGG00000019553	Gopherus_agassizii
ENSCPBP00000025375	ENSCPBG00000018044	Chrysemys_picta_bellii
ENSPSIP00000010651	ENSPSIG00000009448	Pelodiscus_sinensis
ENSACAP00000003423	ENSACAG00000003482	Anolis_carolinensis
ENSPVIP00000009456	ENSPVIG00000007530	Pogona_vitticeps
ENSNSUP00000011517	ENSNSUG00000008674	Notechis_scutatus
ENSSMRP00000019528	ENSSMRG00000015226	Salvator_merianae
ENSSPUP00000007770	ENSSPUG00000006007	Sphenodon_punctatus
ENSVURP00010024113	ENSVURG00010018475	Vombatus_ursinus
ENSPCIP00000037170	ENSPCIG00000027263	Phascolarctos_cinereus
ENSMEUP00000006224	ENSMEUG00000006825	Notamacropus_eugenii
ENSSHAP00000015707	ENSSHAG00000013386	Sarcophilus_harrisii
ENSMODP00000009215	ENSMODG00000007425	Monodelphis_domestica
ENSPPAP00000008695	ENSPPAG00000027591	Pan_paniscus
ENSPTRP00000010206	ENSPTRG00000006004	Pan_troglodytes
ENSP00000343871	ENSG00000125247	Homo_sapiens
ENSGGOP00000032856	ENSGGOG00000012544	Gorilla_gorilla
ENSPPYP00000006242	ENSPPYG00000005475	Pongo_abelii
ENSNLEP00000009523	ENSNLEG00000007823	Nomascus_leucogenys
ENSPTEP00000038117	ENSPTEG00000035501	Piliocolobus_tephrosceles
ENSCANP00000036365	ENSCANG00000041869	Colobus_angolensis_palliatus
ENSRBIP00000043101	ENSRBIG00000044748	Rhinopithecus_bieti
ENSRROP00000030278	ENSRROG00000038889	Rhinopithecus_roxellana
ENSPANP00000046153	ENSPANG00000024152	Papio_anubis
ENSTGEP00000015107	ENSTGEG00000012263	Theropithecus_gelada
ENSCATP00000005148	ENSCATG00000017163	Cercocebus_atys
ENSMLEP00000020606	ENSMLEG00000034504	Mandrillus_leucophaeus
ENSMMUP00000000656	ENSMMUG00000000481	Macaca_mulatta
ENSMFAP00000024931	ENSMFAG00000044014	Macaca_fascicularis
ENSMNEP00000037331	ENSMNEG00000041700	Macaca_nemestrina
ENSCSAP00000013522	ENSCSAG00000017491	Chlorocebus_sabaeus
