ENSPTRP00000065361	ENSPTRG00000051999	Pan_troglodytes	ENSPTRT00000082229
ENSPPAP00000038095	ENSPPAG00000041770	Pan_paniscus	ENSPPAT00000060998
ENSP00000436682	ENSG00000254636	Homo_sapiens	ENST00000528446
ENSGGOP00000044115	ENSGGOG00000037501	Gorilla_gorilla	ENSGGOT00000060726
ENSNLEP00000029135	ENSNLEG00000016999	Nomascus_leucogenys	ENSNLET00000021683
ENSMNEP00000027363	ENSMNEG00000037085	Macaca_nemestrina	ENSMNET00000051655
ENSMFAP00000017902	ENSMFAG00000032057	Macaca_fascicularis	ENSMFAT00000068444
ENSMLEP00000009413	ENSMLEG00000028887	Mandrillus_leucophaeus	ENSMLET00000032814
ENSPANP00000036877	ENSPANG00000034432	Papio_anubis	ENSPANT00000035792
ENSTGEP00000035753	ENSTGEG00000028467	Theropithecus_gelada	ENSTGET00000042423
ENSCATP00000008694	ENSCATG00000026311	Cercocebus_atys	ENSCATT00000030390
ENSANAP00000012835	ENSANAG00000024354	Aotus_nancymaae	ENSANAT00000030657
ENSCCAP00000040656	ENSCCAG00000038121	Cebus_capucinus_imitator	ENSCCAT00000058470
