C01B7.4a.2	WBGene00006467	Caenorhabditis_elegans_strain_N2
FBpp0111740	FBgn0261873	Drosophila_melanogaster
ENSCHAP00000002530	ENSCHAG00000001239	Clupea_harengus	ENSCHAT00000002884
ENSDCDP00000000857	ENSDCDG00000000425	Denticeps_clupeoides	ENSDCDT00000000943
ENSAMXP00000012065	ENSAMXG00000011726	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005029056	ENSAMXG00005014268	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000036827	ENSPNAG00000028035	Pygocentrus_nattereri
ENSIPUP00000020062	ENSIPUG00000013563	Ictalurus_punctatus	ENSIPUT00000020929
ENSEEEP00000007886	ENSEEEG00000003915	Electrophorus_electricus	ENSEEET00000007992
ENSDARP00000123304	ENSDARG00000006272	Danio_rerio
ENSHHUP00000003028	ENSHHUG00000001815	Hucho_hucho
ENSHHUP00000034719	ENSHHUG00000021760	Hucho_hucho
ENSELUP00000042550	ENSELUG00000023859	Esox_lucius
ENSLCAP00010048062	ENSLCAG00010022302	Lates_calcarifer
ENSCSEP00000024901	ENSCSEG00000015895	Cynoglossus_semilaevis
ENSSDUP00000028908	ENSSDUG00000020815	Seriola_dumerili
ENSATEP00000018848	ENSATEG00000013076	Anabas_testudineus
ENSPRNP00000026960	ENSPRNG00000013513	Parambassis_ranga
ENSMAMP00000023586	ENSMAMG00000015839	Mastacembelus_armatus
ENSGWIP00000009619	ENSGWIG00000005711	Gouania_willdenowi
ENSAPEP00000006515	ENSAPEG00000004649	Amphiprion_percula
ENSAOCP00000023556	ENSAOCG00000009784	Amphiprion_ocellaris
ENSAPOP00000034361	ENSAPOG00000023551	Acanthochromis_polyacanthus
ENSCGOP00000014033	ENSCGOG00000006348	Cottoperca_gobio
ENSGACP00000002456	ENSGACG00000001891	Gasterosteus_aculeatus
ENSLCRP00005023167	ENSLCRG00005009311	Larimichthys_crocea
ENSLBEP00000033159	ENSLBEG00000024969	Labrus_bergylta
ENSTRUP00000050202	ENSTRUG00000009068	Takifugu_rubripes
ENSTNIP00000011755	ENSTNIG00000008902	Tetraodon_nigroviridis
ENSHCOP00000017414	ENSHCOG00000001207	Hippocampus_comes
ENSPFOP00000011230	ENSPFOG00000011128	Poecilia_formosa
ENSPMEP00000007130	ENSPMEG00000008727	Poecilia_mexicana
ENSPLAP00000000447	ENSPLAG00000001277	Poecilia_latipinna
ENSXMAP00000023271	ENSXMAG00000000160	Xiphophorus_maculatus
ENSPREP00000013760	ENSPREG00000009323	Poecilia_reticulata
ENSXCOP00000017490	ENSXCOG00000013192	Xiphophorus_couchianus
ENSCVAP00000019679	ENSCVAG00000023057	Cyprinodon_variegatus
ENSKMAP00000014830	ENSKMAG00000011098	Kryptolebias_marmoratus
ENSORLP00000026030	ENSORLG00000018093	Oryzias_latipes_ASM223467v1
ENSORLP00015025831	ENSORLG00015007173	Oryzias_latipes_ASM223469v1
ENSORLP00020009240	ENSORLG00020010166	Oryzias_latipes_ASM223471v1
ENSOMEP00000005664	ENSOMEG00000006695	Oryzias_melastigma
ENSACIP00000007472	ENSACIG00000005828	Amphilophus_citrinellus
ENSNBRP00000008674	ENSNBRG00000006800	Neolamprologus_brichardi
ENSACLP00000024664	ENSACLG00000016771	Astatotilapia_calliptera
ENSMZEP00005006375	ENSMZEG00005004910	Maylandia_zebra
ENSMZEP00005038022	ENSMZEG00005028434	Maylandia_zebra
ENSONIP00000014763	ENSONIG00000011723	Oreochromis_niloticus
ENSPNYP00000010102	ENSPNYG00000007669	Pundamilia_nyererei
ENSHBUP00000028929	ENSHBUG00000013023	Haplochromis_burtoni
ENSNBRP00000008647	ENSNBRG00000006789	Neolamprologus_brichardi
ENSXCOP00000017491	ENSXCOG00000013193	Xiphophorus_couchianus
ENSGAFP00000017233	ENSGAFG00000011646	Gambusia_affinis
ENSPREP00000013704	ENSPREG00000009318	Poecilia_reticulata
ENSBSLP00000047085	ENSBSLG00000022384	Betta_splendens
ENSSLDP00000017134	ENSSLDG00000013533	Seriola_lalandi_dorsalis
ENSSMAP00000025691	ENSSMAG00000015711	Scophthalmus_maximus
ENSMALP00000019001	ENSMALG00000013265	Monopterus_albus
ENSMMOP00000006188	ENSMMOG00000004840	Mola_mola
ENSTNIP00000006518	ENSTNIG00000003911	Tetraodon_nigroviridis
ENSSPAP00000021854	ENSSPAG00000016489	Stegastes_partitus
ENSFHEP00000019674	ENSFHEG00000021609	Fundulus_heteroclitus
ENSGAFP00000013194	ENSGAFG00000008888	Gambusia_affinis
ENSPNYP00000009932	ENSPNYG00000007488	Pundamilia_nyererei
ENSPMGP00000003601	ENSPMGG00000003098	Periophthalmus_magnuspinnatus
