ENSSDAP00000016040	ENSSDAG00000014476	Spermophilus_dauricus
ENSACIP00000012106	ENSACIG00000009239	Amphilophus_citrinellus
ENSCHOP00000001355	ENSCHOG00000001527	Choloepus_hoffmanni
ENSCAPP00000013911	ENSCAPG00000014424	Cavia_aperea
ENSARWP00000017180	ENSARWG00000011827	Apteryx_rowi
ENSPLAP00000016312	ENSPLAG00000020901	Poecilia_latipinna
ENSLCAP00010011992	ENSLCAG00010005670	Lates_calcarifer
ENSNSUP00000006890	ENSNSUG00000005457	Notechis_scutatus
ENSSTOP00000012270	ENSSTOG00000013686	Ictidomys_tridecemlineatus
ENSMSIP00000028687	ENSMSIG00000024095	Mus_spicilegus
ENSPCOP00000001700	ENSPCOG00000005348	Propithecus_coquereli
ENSBSLP00000039506	ENSBSLG00000018942	Betta_splendens
ENSCATP00000010881	ENSCATG00000029698	Cercocebus_atys
ENSTNIP00000009328	ENSTNIG00000014761	Tetraodon_nigroviridis
ENSJJAP00000023344	ENSJJAG00000023123	Jaculus_jaculus
ENSEEUP00000014135	ENSEEUG00000015482	Erinaceus_europaeus
ENSTNIP00000009322	ENSTNIG00000006549	Tetraodon_nigroviridis
ENSPEMP00000008861	ENSPEMG00000010324	Peromyscus_maniculatus_bairdii
ENSPSMP00000018993	ENSPSMG00000013406	Prolemur_simus
ENSGALP00000004283	ENSGALG00000002722	Gallus_gallus
ENSPSIP00000019127	ENSPSIG00000016862	Pelodiscus_sinensis
ENSAPLP00000023367	ENSAPLG00000004404	Anas_platyrhynchos_platyrhynchos
ENSLSDP00000025399	ENSLSDG00000017757	Lonchura_striata_domestica
ENSNLEP00000008372	ENSNLEG00000006866	Nomascus_leucogenys
ENSTRUP00000052104	ENSTRUG00000020739	Takifugu_rubripes
ENSGAGP00000011107	ENSGAGG00000008585	Gopherus_agassizii	ENSGAGT00000012718
ENSCPUP00000017612	ENSCPUG00000012132	Calidris_pugnax
