ENSBIXP00000013652	ENSBIXG00000018550	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005013791	ENSBIXG00005017889	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000072903	ENSBTAG00000050099	Bos_taurus
ENSBMUP00000014904	ENSBMUG00000011337	Bos_mutus
ENSBBBP00000003550	ENSBBBG00000012605	Bison_bison_bison
ENSVPAP00000009587	ENSVPAG00000010306	Vicugna_pacos
ENSPPRP00000018480	ENSPPRG00000010132	Panthera_pardus
ENSFCAP00000032570	ENSFCAG00000039174	Felis_catus
ENSCHOP00000006446	ENSCHOG00000007274	Choloepus_hoffmanni
MGP_PahariEiJ_P0075516	MGP_PahariEiJ_G0027911	Mus_pahari_strain_PAHARI_EIJ
ENSPCAP00000010972	ENSPCAG00000011766	Procavia_capensis
ENSPCIP00000038954	ENSPCIG00000036719	Phascolarctos_cinereus
