ENSECAP00000039667	ENSECAG00000028615	Equus_caballus
ENSEASP00005025762	ENSEASG00005017585	Equus_asinus_asinus
ENSEEUP00000007155	ENSEEUG00000007864	Erinaceus_europaeus
ENSCAFP00020023685	ENSCAFG00020018674	Canis_lupus_dingo
ENSVVUP00000019708	ENSVVUG00000014577	Vulpes_vulpes
ENSAMEP00000016348	ENSAMEG00000015505	Ailuropoda_melanoleuca
ENSUAMP00000012291	ENSUAMG00000009976	Ursus_americanus
ENSUMAP00000027483	ENSUMAG00000019957	Ursus_maritimus
ENSCAFP00000021666	ENSCAFG00000024583	Canis_lupus_familiaris
ENSNVIP00000031540	ENSNVIG00000024239	Neovison_vison
ENSPPRP00000005071	ENSPPRG00000000954	Panthera_pardus
ENSPTIP00000007597	ENSPTIG00000009201	Panthera_tigris_altaica
ENSFCAP00000033719	ENSFCAG00000037366	Felis_catus
ENSPVAP00000005403	ENSPVAG00000005716	Pteropus_vampyrus
ENSMLUP00000008596	ENSMLUG00000009438	Myotis_lucifugus
ENSCHIP00000016556	ENSCHIG00000016777	Capra_hircus	ENSCHIT00000024363
ENSOARP00000015055	ENSOARG00000014029	Ovis_aries	ENSOART00000015275
ENSBIXP00005039559	ENSBIXG00005003707	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000036447	ENSBIXG00000019935	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000029063	ENSBMUG00000021763	Bos_mutus
ENSBTAP00000067818	ENSBTAG00000051882	Bos_taurus
ENSBBBP00000026834	ENSBBBG00000006015	Bison_bison_bison
ENSSSCP00000033428	ENSSSCG00000031550	Sus_scrofa_strain_reference
ENSTTRP00000016035	ENSTTRG00000016914	Tursiops_truncatus
ENSVPAP00000006908	ENSVPAG00000007426	Vicugna_pacos
ENSHGLP00100001115	ENSHGLG00100000888	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000004855	ENSHGLG00000003566	Heterocephalus_glaber_HetGla_female_1.0
ENSCLAP00000016123	ENSCLAG00000011095	Chinchilla_lanigera
MGP_SPRETEiJ_P0021813	MGP_SPRETEiJ_G0015575	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000124751	ENSMUSG00000086277	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0020748	MGP_CAROLIEiJ_G0014768	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0076016	MGP_PahariEiJ_G0028005	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000036314	ENSRNOG00000026523	Rattus_norvegicus
ENSMUGP00000019324	ENSMUGG00000016385	Meriones_unguiculatus
ENSCGRP00000013162	ENSCGRG00000009573	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001010806	ENSCGRG00001012607	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015014905	ENSCGRG00015011432	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000025708	ENSMAUG00000022155	Mesocricetus_auratus
ENSMOCP00000000792	ENSMOCG00000000623	Microtus_ochrogaster
ENSPEMP00000031014	ENSPEMG00000025431	Peromyscus_maniculatus_bairdii
ENSSTOP00000029157	ENSSTOG00000029696	Ictidomys_tridecemlineatus
ENSUPAP00010001666	ENSUPAG00010001419	Urocitellus_parryii
ENSCCNP00000022833	ENSCCNG00000022467	Castor_canadensis
ENSOCUP00000044730	ENSOCUG00000029014	Oryctolagus_cuniculus
ENSOPRP00000013578	ENSOPRG00000014870	Ochotona_princeps
ENSPSMP00000014067	ENSPSMG00000010089	Prolemur_simus
ENSPCOP00000025556	ENSPCOG00000025017	Propithecus_coquereli
ENSSBOP00000033946	ENSSBOG00000033157	Saimiri_boliviensis_boliviensis
ENSCCAP00000006041	ENSCCAG00000020778	Cebus_capucinus_imitator
ENSCJAP00000061983	ENSCJAG00000009537	Callithrix_jacchus
ENSANAP00000034123	ENSANAG00000034709	Aotus_nancymaae
ENSP00000356700	ENSG00000180999	Homo_sapiens
ENSGGOP00000030004	ENSGGOG00000006809	Gorilla_gorilla
ENSPPAP00000035827	ENSPPAG00000040695	Pan_paniscus
ENSPTRP00000040586	ENSPTRG00000001687	Pan_troglodytes
ENSPPYP00000000584	ENSPPYG00000000505	Pongo_abelii
ENSNLEP00000018498	ENSNLEG00000015241	Nomascus_leucogenys
ENSCANP00000015045	ENSCANG00000030977	Colobus_angolensis_palliatus
ENSPTEP00000013402	ENSPTEG00000015015	Piliocolobus_tephrosceles
ENSRBIP00000041949	ENSRBIG00000044286	Rhinopithecus_bieti
ENSRROP00000013134	ENSRROG00000030848	Rhinopithecus_roxellana
ENSMFAP00000045108	ENSMFAG00000000294	Macaca_fascicularis
ENSMNEP00000046037	ENSMNEG00000045481	Macaca_nemestrina
ENSMMUP00000037633	ENSMMUG00000007278	Macaca_mulatta
ENSTGEP00000005585	ENSTGEG00000004635	Theropithecus_gelada
ENSCATP00000003934	ENSCATG00000014650	Cercocebus_atys
ENSMLEP00000017285	ENSMLEG00000032843	Mandrillus_leucophaeus
ENSPANP00000039274	ENSPANG00000030704	Papio_anubis
ENSTSYP00000002799	ENSTSYG00000003080	Carlito_syrichta
ENSTBEP00000011993	ENSTBEG00000013845	Tupaia_belangeri
ENSCHOP00000008500	ENSCHOG00000009612	Choloepus_hoffmanni
ENSDNOP00000011006	ENSDNOG00000014179	Dasypus_novemcinctus
ENSPCAP00000002103	ENSPCAG00000002251	Procavia_capensis
ENSETEP00000016469	ENSETEG00000020275	Echinops_telfairi
