ENSSMAP00000028973	ENSSMAG00000017747	Scophthalmus_maximus
ENSCSEP00000012581	ENSCSEG00000008141	Cynoglossus_semilaevis
ENSORLP00000045740	ENSORLG00000022003	Oryzias_latipes_ASM223467v1
ENSORLP00020001817	ENSORLG00020002538	Oryzias_latipes_ASM223471v1
ENSORLP00015018339	ENSORLG00015019377	Oryzias_latipes_ASM223469v1
ENSOMEP00000021873	ENSOMEG00000001100	Oryzias_melastigma
ENSKMAP00000024553	ENSKMAG00000018202	Kryptolebias_marmoratus
ENSAOCP00000022399	ENSAOCG00000007848	Amphiprion_ocellaris
ENSAPOP00000034632	ENSAPOG00000024032	Acanthochromis_polyacanthus
ENSSPAP00000014503	ENSSPAG00000010965	Stegastes_partitus
ENSACIP00000025319	ENSACIG00000019615	Amphilophus_citrinellus
ENSHCOP00000024405	ENSHCOG00000013699	Hippocampus_comes
ENSMMOP00000013084	ENSMMOG00000010048	Mola_mola
ENSBSLP00000010207	ENSBSLG00000005215	Betta_splendens
ENSSLDP00000019259	ENSSLDG00000015114	Seriola_lalandi_dorsalis
ENSSDUP00000014202	ENSSDUG00000010349	Seriola_dumerili
ENSCGOP00000023731	ENSCGOG00000011310	Cottoperca_gobio
ENSGACP00000014421	ENSGACG00000010900	Gasterosteus_aculeatus
ENSLBEP00000012995	ENSLBEG00000010005	Labrus_bergylta
ENSLCRP00005033199	ENSLCRG00005013075	Larimichthys_crocea
ENSMALP00000014942	ENSMALG00000010482	Monopterus_albus
ENSPNYP00000007208	ENSPNYG00000005526	Pundamilia_nyererei
ENSHBUP00000004834	ENSHBUG00000000155	Haplochromis_burtoni
ENSACLP00000036483	ENSACLG00000024715	Astatotilapia_calliptera
ENSMZEP00005010448	ENSMZEG00005007878	Maylandia_zebra
ENSONIP00000025499	ENSONIG00000020237	Oreochromis_niloticus
ENSCVAP00000005533	ENSCVAG00000006928	Cyprinodon_variegatus
ENSFHEP00000014927	ENSFHEG00000016503	Fundulus_heteroclitus
ENSPFOP00000004321	ENSPFOG00000004451	Poecilia_formosa
ENSPLAP00000002251	ENSPLAG00000003469	Poecilia_latipinna
ENSPMEP00000006019	ENSPMEG00000000860	Poecilia_mexicana
ENSPREP00000026512	ENSPREG00000017919	Poecilia_reticulata
ENSXCOP00000027257	ENSXCOG00000020355	Xiphophorus_couchianus
ENSXMAP00000009662	ENSXMAG00000009646	Xiphophorus_maculatus
ENSGAFP00000023891	ENSGAFG00000016113	Gambusia_affinis
ENSPRNP00000013551	ENSPRNG00000007418	Parambassis_ranga
ENSLCAP00010050145	ENSLCAG00010023394	Lates_calcarifer
ENSTRUP00000057437	ENSTRUG00000024042	Takifugu_rubripes
ENSPMGP00000018579	ENSPMGG00000015159	Periophthalmus_magnuspinnatus
ENSGMOP00000005241	ENSGMOG00000004963	Gadus_morhua
ENSELUP00000012015	ENSELUG00000012304	Esox_lucius
ENSHHUP00000068030	ENSHHUG00000040096	Hucho_hucho
