ENSBIXP00000013090	ENSBIXG00000018055	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005024565	ENSBIXG00005027128	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000020693	ENSBMUG00000015588	Bos_mutus
ENSBTAP00000068622	ENSBTAG00000052788	Bos_taurus
ENSOARP00000013488	ENSOARG00000012589	Ovis_aries
ENSSSCP00000035033	ENSSSCG00000044760	Sus_scrofa_strain_reference	ENSSSCT00000061205
ENSECAP00000053195	ENSECAG00000042229	Equus_caballus
ENSCAFP00000005719	ENSCAFG00000003840	Canis_lupus_familiaris
ENSVVUP00000031604	ENSVVUG00000022990	Vulpes_vulpes
ENSNVIP00000016322	ENSNVIG00000012795	Neovison_vison
ENSPPRP00000010929	ENSPPRG00000004937	Panthera_pardus
ENSPTIP00000018805	ENSPTIG00000016824	Panthera_tigris_altaica
ENSPTRP00000060420	ENSPTRG00000042069	Pan_troglodytes
ENSPPAP00000027927	ENSPPAG00000037032	Pan_paniscus
ENSP00000489727	ENSG00000268655	Homo_sapiens
ENSGGOP00000027646	ENSGGOG00000026499	Gorilla_gorilla
ENSNLEP00000033141	ENSNLEG00000036168	Nomascus_leucogenys
ENSMFAP00000035579	ENSMFAG00000036186	Macaca_fascicularis
ENSMMUP00000070097	ENSMMUG00000053272	Macaca_mulatta
ENSMNEP00000025886	ENSMNEG00000036413	Macaca_nemestrina
ENSMLEP00000029349	ENSMLEG00000038886	Mandrillus_leucophaeus
ENSCATP00000029125	ENSCATG00000037831	Cercocebus_atys
ENSPANP00000042299	ENSPANG00000030162	Papio_anubis
ENSCSAP00000015281	ENSCSAG00000002764	Chlorocebus_sabaeus
ENSRROP00000002183	ENSRROG00000008845	Rhinopithecus_roxellana
ENSRBIP00000037052	ENSRBIG00000042137	Rhinopithecus_bieti
ENSCANP00000020325	ENSCANG00000033585	Colobus_angolensis_palliatus
ENSCCAP00000001624	ENSCCAG00000010524	Cebus_capucinus_imitator
ENSSBOP00000039700	ENSSBOG00000035862	Saimiri_boliviensis_boliviensis
ENSTSYP00000019558	ENSTSYG00000037526	Carlito_syrichta
ENSPSMP00000001487	ENSPSMG00000001119	Prolemur_simus
ENSPCOP00000011566	ENSPCOG00000017302	Propithecus_coquereli
ENSMICP00000043279	ENSMICG00000045057	Microcebus_murinus
ENSUPAP00010016500	ENSUPAG00010013168	Urocitellus_parryii
ENSMUSP00000158821	ENSMUSG00000118462	Mus_musculus_strain_reference_(CL57BL6)
ENSDNOP00000030838	ENSDNOG00000032739	Dasypus_novemcinctus
ENSLACP00000020404	ENSLACG00000017932	Latimeria_chalumnae
ENSCINP00000017915	ENSCING00000008802	Ciona_intestinalis
