ENSPKIP00000027060	ENSPKIG00000009284	Paramormyrops_kingsleyae	ENSPKIT00000007824
ENSSFOP00015000128	ENSSFOG00015000148	Scleropages_formosus	ENSSFOT00015000152
ENSCHAP00000042350	ENSCHAG00000019673	Clupea_harengus
ENSDCDP00000002156	ENSDCDG00000001100	Denticeps_clupeoides
ENSAMXP00000021958	ENSAMXG00000021328	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005042060	ENSAMXG00005019665	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000027695	ENSPNAG00000002639	Pygocentrus_nattereri
ENSEEEP00000002341	ENSEEEG00000001390	Electrophorus_electricus
ENSIPUP00000032673	ENSIPUG00000021952	Ictalurus_punctatus
ENSDARP00000136398	ENSDARG00000101877	Danio_rerio
ENSAPEP00000031111	ENSAPEG00000022105	Amphiprion_percula
ENSAOCP00000021393	ENSAOCG00000006146	Amphiprion_ocellaris
ENSAPOP00000002510	ENSAPOG00000004027	Acanthochromis_polyacanthus
ENSSPAP00000013423	ENSSPAG00000010174	Stegastes_partitus
ENSPRNP00000046880	ENSPRNG00000022584	Parambassis_ranga
ENSPLAP00000014653	ENSPLAG00000018385	Poecilia_latipinna
ENSPMEP00000028965	ENSPMEG00000014440	Poecilia_mexicana
ENSPFOP00000009888	ENSPFOG00000009829	Poecilia_formosa
ENSPREP00000034303	ENSPREG00000023227	Poecilia_reticulata
ENSXMAP00000038151	ENSXMAG00000029852	Xiphophorus_maculatus
ENSXCOP00000014738	ENSXCOG00000011190	Xiphophorus_couchianus
ENSGAFP00000026354	ENSGAFG00000017798	Gambusia_affinis
ENSFHEP00000026966	ENSFHEG00000010140	Fundulus_heteroclitus
ENSCVAP00000015845	ENSCVAG00000018699	Cyprinodon_variegatus
ENSKMAP00000010367	ENSKMAG00000007790	Kryptolebias_marmoratus
ENSORLP00020015659	ENSORLG00020016678	Oryzias_latipes_ASM223471v1
ENSORLP00000001502	ENSORLG00000001221	Oryzias_latipes_ASM223467v1
ENSORLP00015015147	ENSORLG00015016039	Oryzias_latipes_ASM223469v1
ENSOMEP00000026199	ENSOMEG00000007902	Oryzias_melastigma
ENSPNYP00000006446	ENSPNYG00000004970	Pundamilia_nyererei
ENSHBUP00000030448	ENSHBUG00000015508	Haplochromis_burtoni
ENSACLP00000027158	ENSACLG00000018471	Astatotilapia_calliptera
ENSACLP00000039036	ENSACLG00000026337	Astatotilapia_calliptera
ENSMZEP00005028932	ENSMZEG00005021586	Maylandia_zebra
ENSONIP00000022828	ENSONIG00000018121	Oreochromis_niloticus
ENSNBRP00000014288	ENSNBRG00000010975	Neolamprologus_brichardi
ENSMZEP00005013429	ENSMZEG00005010091	Maylandia_zebra
ENSACIP00000019053	ENSACIG00000014842	Amphilophus_citrinellus
ENSGWIP00000046878	ENSGWIG00000023123	Gouania_willdenowi
ENSMAMP00000027993	ENSMAMG00000018828	Mastacembelus_armatus
ENSMALP00000011045	ENSMALG00000007816	Monopterus_albus
ENSATEP00000023867	ENSATEG00000016567	Anabas_testudineus
ENSBSLP00000012516	ENSBSLG00000006390	Betta_splendens
ENSSDUP00000026520	ENSSDUG00000019237	Seriola_dumerili
ENSSLDP00000001160	ENSSLDG00000000796	Seriola_lalandi_dorsalis
ENSSMAP00000034253	ENSSMAG00000020955	Scophthalmus_maximus
ENSLCAP00010024729	ENSLCAG00010011565	Lates_calcarifer
ENSLBEP00000029774	ENSLBEG00000022530	Labrus_bergylta
ENSLBEP00000037954	ENSLBEG00000028305	Labrus_bergylta
ENSLCRP00005039329	ENSLCRG00005015231	Larimichthys_crocea
ENSTNIP00000006866	ENSTNIG00000004241	Tetraodon_nigroviridis
ENSTNIP00000003067	ENSTNIG00000001302	Tetraodon_nigroviridis
ENSTRUP00000056116	ENSTRUG00000011172	Takifugu_rubripes
ENSMMOP00000024567	ENSMMOG00000018675	Mola_mola
ENSCGOP00000000118	ENSCGOG00000000061	Cottoperca_gobio	ENSCGOT00000000127
ENSGACP00000001346	ENSGACG00000001040	Gasterosteus_aculeatus	ENSGACT00000001347
ENSCSEP00000001455	ENSCSEG00000000993	Cynoglossus_semilaevis
ENSGMOP00000012493	ENSGMOG00000011683	Gadus_morhua
ENSHHUP00000070712	ENSHHUG00000041566	Hucho_hucho
ENSELUP00000036369	ENSELUG00000015682	Esox_lucius
ENSLOCP00000019582	ENSLOCG00000015902	Lepisosteus_oculatus
ENSECRP00000025291	ENSECRG00000017099	Erpetoichthys_calabaricus
ENSPMGP00000001451	ENSPMGG00000001183	Periophthalmus_magnuspinnatus
ENSHCOP00000022574	ENSHCOG00000010393	Hippocampus_comes
ENSGAGP00000028408	ENSGAGG00000020598	Gopherus_agassizii
ENSCABP00000024910	ENSCABG00000018292	Chelonoidis_abingdonii
ENSCPBP00000006941	ENSCPBG00000005460	Chrysemys_picta_bellii
ENSPSIP00000012619	ENSPSIG00000011370	Pelodiscus_sinensis
ENSGALP00000043917	ENSGALG00000029915	Gallus_gallus
ENSCJPP00005003171	ENSCJPG00005003409	Coturnix_japonica
ENSMGAP00000012506	ENSMGAG00000011921	Meleagris_gallopavo
ENSNMEP00000020471	ENSNMEG00000017571	Numida_meleagris
ENSAPLP00000003859	ENSAPLG00000004344	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000017124	ENSCPUG00000011813	Calidris_pugnax
ENSCPGP00000003086	ENSCPGG00000002274	Calidris_pygmaea
ENSMUNP00000022320	ENSMUNG00000016789	Melopsittacus_undulatus
ENSZALP00000020134	ENSZALG00000015874	Zonotrichia_albicollis
ENSJHYP00000011793	ENSJHYG00000009225	Junco_hyemalis
ENSSCAP00000004812	ENSSCAG00000003889	Serinus_canaria
ENSLSDP00000023028	ENSLSDG00000016219	Lonchura_striata_domestica
ENSTGUP00000010563	ENSTGUG00000010234	Taeniopygia_guttata
ENSFALP00000014143	ENSFALG00000013552	Ficedula_albicollis
ENSPMJP00000004532	ENSPMJG00000003908	Parus_major
ENSCCEP00000022997	ENSCCEG00000020688	Cyanistes_caeruleus
ENSMVIP00005021415	ENSMVIG00005015068	Manacus_vitellinus
ENSARWP00000019827	ENSARWG00000013549	Apteryx_rowi
ENSAHAP00000004993	ENSAHAG00000003838	Apteryx_haastii
ENSAOWP00000025346	ENSAOWG00000017138	Apteryx_owenii
ENSDNVP00000003911	ENSDNVG00000002772	Dromaius_novaehollandiae
ENSNPEP00000007537	ENSNPEG00000005646	Nothoprocta_perdicaria
ENSCPRP00005024257	ENSCPRG00005016854	Crocodylus_porosus
ENSPVIP00000024278	ENSPVIG00000018293	Pogona_vitticeps
ENSACAP00000001169	ENSACAG00000001253	Anolis_carolinensis
ENSSMRP00000028614	ENSSMRG00000021985	Salvator_merianae
ENSSPUP00000020084	ENSSPUG00000015430	Sphenodon_punctatus
ENSPVAP00000014285	ENSPVAG00000015158	Pteropus_vampyrus
ENSMLUP00000014784	ENSMLUG00000016224	Myotis_lucifugus
ENSECAP00000011165	ENSECAG00000013333	Equus_caballus
ENSEEUP00000011633	ENSEEUG00000012760	Erinaceus_europaeus
ENSNVIP00000009374	ENSNVIG00000007398	Neovison_vison
ENSMPUP00000002820	ENSMPUG00000002849	Mustela_putorius_furo
ENSCAFP00000016909	ENSCAFG00000011507	Canis_lupus_familiaris
ENSPPRP00000023328	ENSPPRG00000013597	Panthera_pardus
ENSPTIP00000011083	ENSPTIG00000011612	Panthera_tigris_altaica
ENSFCAP00000001715	ENSFCAG00000001852	Felis_catus
ENSBBBP00000003025	ENSBBBG00000012111	Bison_bison_bison
ENSP00000386226	ENSG00000188739	Homo_sapiens
ENSGGOP00000034376	ENSGGOG00000007924	Gorilla_gorilla
ENSPTRP00000082504	ENSPTRG00000032432	Pan_troglodytes
ENSPTRP00000071552	ENSPTRG00000048646	Pan_troglodytes
ENSPPAP00000015071	ENSPPAG00000030692	Pan_paniscus
ENSPPYP00000023713	ENSPPYG00000029513	Pongo_abelii
ENSNLEP00000003209	ENSNLEG00000002610	Nomascus_leucogenys
ENSMNEP00000033830	ENSMNEG00000040149	Macaca_nemestrina
ENSMMUP00000009354	ENSMMUG00000039424	Macaca_mulatta
ENSMFAP00000038321	ENSMFAG00000038522	Macaca_fascicularis
ENSPANP00000008501	ENSPANG00000010411	Papio_anubis
ENSCATP00000015599	ENSCATG00000031771	Cercocebus_atys
ENSCSAP00000006314	ENSCSAG00000010079	Chlorocebus_sabaeus
ENSPTEP00000038885	ENSPTEG00000036068	Piliocolobus_tephrosceles
ENSCANP00000002641	ENSCANG00000009561	Colobus_angolensis_palliatus
ENSRBIP00000017760	ENSRBIG00000032900	Rhinopithecus_bieti
ENSRROP00000030814	ENSRROG00000039131	Rhinopithecus_roxellana
ENSCCAP00000015579	ENSCCAG00000025584	Cebus_capucinus_imitator
ENSCJAP00000074342	ENSCJAG00000018125	Callithrix_jacchus
ENSANAP00000024491	ENSANAG00000029971	Aotus_nancymaae
ENSTSYP00000009155	ENSTSYG00000009942	Carlito_syrichta
ENSPCOP00000013624	ENSPCOG00000018448	Propithecus_coquereli
ENSPSMP00000033967	ENSPSMG00000023394	Prolemur_simus
ENSMICP00000024282	ENSMICG00000038704	Microcebus_murinus
ENSOGAP00000011164	ENSOGAG00000012470	Otolemur_garnettii
ENSCCNP00000012718	ENSCCNG00000013172	Castor_canadensis
ENSDORP00000015836	ENSDORG00000006420	Dipodomys_ordii
ENSMSIP00000026804	ENSMSIG00000022600	Mus_spicilegus
MGP_SPRETEiJ_P0090111	MGP_SPRETEiJ_G0032849	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000048450	ENSMUSG00000033931	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0086580	MGP_CAROLIEiJ_G0031732	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0054822	MGP_PahariEiJ_G0023329	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000027145	ENSRNOG00000020004	Rattus_norvegicus
ENSMUGP00000005338	ENSMUGG00000004914	Meriones_unguiculatus
ENSCGRP00000019285	ENSCGRG00000014051	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001019216	ENSCGRG00001018721	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015009487	ENSCGRG00015007306	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000013894	ENSMOCG00000013550	Microtus_ochrogaster
ENSPEMP00000000370	ENSPEMG00000000265	Peromyscus_maniculatus_bairdii
ENSNGAP00000007472	ENSNGAG00000010712	Nannospalax_galili
ENSJJAP00000020692	ENSJJAG00000021295	Jaculus_jaculus
ENSUPAP00010027052	ENSUPAG00010021384	Urocitellus_parryii
ENSSTOP00000002496	ENSSTOG00000002792	Ictidomys_tridecemlineatus
ENSSDAP00000004018	ENSSDAG00000003688	Spermophilus_dauricus
ENSMMMP00000018227	ENSMMMG00000016155	Marmota_marmota_marmota
ENSCLAP00000004876	ENSCLAG00000003464	Chinchilla_lanigera
ENSODEP00000008220	ENSODEG00000006130	Octodon_degus
ENSCPOP00000013714	ENSCPOG00000015213	Cavia_porcellus
ENSCAPP00000015137	ENSCAPG00000015346	Cavia_aperea
ENSHGLP00100019911	ENSHGLG00100014678	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023131	ENSHGLG00000016495	Heterocephalus_glaber_HetGla_female_1.0
ENSOCUP00000007917	ENSOCUG00000009173	Oryctolagus_cuniculus
ENSOPRP00000012707	ENSOPRG00000013930	Ochotona_princeps
ENSLAFP00000011965	ENSLAFG00000014289	Loxodonta_africana
ENSDNOP00000029351	ENSDNOG00000044740	Dasypus_novemcinctus
ENSVURP00010004583	ENSVURG00010003652	Vombatus_ursinus
ENSVURP00010004386	ENSVURG00010003503	Vombatus_ursinus
ENSPCIP00000040627	ENSPCIG00000029736	Phascolarctos_cinereus
ENSMEUP00000004994	ENSMEUG00000005465	Notamacropus_eugenii
ENSSHAP00000018626	ENSSHAG00000015812	Sarcophilus_harrisii
ENSMODP00000010490	ENSMODG00000008436	Monodelphis_domestica
ENSOANP00000001923	ENSOANG00000001206	Ornithorhynchus_anatinus
ENSXETP00000048953	ENSXETG00000018385	Xenopus_tropicalis
ENSLACP00000015480	ENSLACG00000013628	Latimeria_chalumnae
ENSCMIP00000026019	ENSCMIG00000011426	Callorhinchus_milii
ENSEBUP00000019421	ENSEBUG00000012070	Eptatretus_burgeri
ENSPMAP00000001771	ENSPMAG00000001602	Petromyzon_marinus
