ENSBIXP00000006523	ENSBIXG00000001204	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000034238	ENSBTAG00000024663	Bos_taurus
ENSBIXP00005014644	ENSBIXG00005018579	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000024619	ENSBMUG00000018506	Bos_mutus
ENSOARP00000020183	ENSOARG00000018789	Ovis_aries
ENSOARP00000003166	ENSOARG00000002976	Ovis_aries
ENSCHIP00000001761	ENSCHIG00000003679	Capra_hircus
ENSCHIP00000001897	ENSCHIG00000004089	Capra_hircus
ENSOARP00000013554	ENSOARG00000012650	Ovis_aries
ENSBIXP00005045880	ENSBIXG00005001486	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005020837	ENSBIXG00005023857	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSTTRP00000001321	ENSTTRG00000001403	Tursiops_truncatus
ENSSSCP00000061457	ENSSSCG00000021624	Sus_scrofa_strain_reference
ENSEASP00005029321	ENSEASG00005019930	Equus_asinus_asinus
ENSECAP00000046528	ENSECAG00000013156	Equus_caballus
ENSPVAP00000007906	ENSPVAG00000008371	Pteropus_vampyrus
ENSMLUP00000010506	ENSMLUG00000011523	Myotis_lucifugus
ENSUAMP00000005448	ENSUAMG00000004832	Ursus_americanus
ENSUMAP00000002443	ENSUMAG00000002086	Ursus_maritimus
ENSAMEP00000012793	ENSAMEG00000012147	Ailuropoda_melanoleuca
ENSNVIP00000018054	ENSNVIG00000014122	Neovison_vison
ENSMPUP00000010691	ENSMPUG00000010779	Mustela_putorius_furo
ENSCAFP00020022264	ENSCAFG00020017599	Canis_lupus_dingo
ENSCAFP00000061547	ENSCAFG00000030784	Canis_lupus_familiaris
ENSVVUP00000004365	ENSVVUG00000003437	Vulpes_vulpes
ENSPPRP00000015135	ENSPPRG00000007837	Panthera_pardus
ENSPTIP00000014122	ENSPTIG00000013628	Panthera_tigris_altaica
ENSFCAP00000021551	ENSFCAG00000031969	Felis_catus
ENSEEUP00000004149	ENSEEUG00000004563	Erinaceus_europaeus
ENSCANP00000033377	ENSCANG00000040354	Colobus_angolensis_palliatus
ENSPTEP00000026797	ENSPTEG00000026767	Piliocolobus_tephrosceles
ENSRROP00000007065	ENSRROG00000026911	Rhinopithecus_roxellana
ENSRBIP00000033922	ENSRBIG00000040690	Rhinopithecus_bieti
ENSCSAP00000010112	ENSCSAG00000013986	Chlorocebus_sabaeus
ENSMMUP00000052277	ENSMMUG00000013507	Macaca_mulatta
ENSMNEP00000044174	ENSMNEG00000044700	Macaca_nemestrina
ENSMFAP00000026629	ENSMFAG00000044742	Macaca_fascicularis
ENSMLEP00000037481	ENSMLEG00000042833	Mandrillus_leucophaeus
ENSCATP00000001841	ENSCATG00000008418	Cercocebus_atys
ENSTGEP00000025959	ENSTGEG00000020906	Theropithecus_gelada
ENSPANP00000032516	ENSPANG00000013150	Papio_anubis
ENSPTRP00000083360	ENSPTRG00000001833	Pan_troglodytes
ENSPPAP00000012036	ENSPPAG00000029203	Pan_paniscus
ENSGGOP00000023638	ENSGGOG00000012687	Gorilla_gorilla
ENSP00000375829	ENSG00000159166	Homo_sapiens
ENSPPYP00000000408	ENSPPYG00000000363	Pongo_abelii
ENSNLEP00000021965	ENSNLEG00000018080	Nomascus_leucogenys
ENSCCAP00000011649	ENSCCAG00000023575	Cebus_capucinus_imitator
ENSSBOP00000018804	ENSSBOG00000026021	Saimiri_boliviensis_boliviensis
ENSCJAP00000063222	ENSCJAG00000005479	Callithrix_jacchus
ENSANAP00000014651	ENSANAG00000025220	Aotus_nancymaae
ENSANAP00000013385	ENSANAG00000024595	Aotus_nancymaae
ENSTSYP00000032456	ENSTSYG00000009029	Carlito_syrichta
ENSPSMP00000028884	ENSPSMG00000020071	Prolemur_simus
ENSMICP00000031910	ENSMICG00000026613	Microcebus_murinus
ENSPCOP00000015343	ENSPCOG00000019403	Propithecus_coquereli
ENSOGAP00000016834	ENSOGAG00000029505	Otolemur_garnettii
ENSTBEP00000008095	ENSTBEG00000009344	Tupaia_belangeri
ENSCCNP00000015459	ENSCCNG00000015845	Castor_canadensis
ENSDORP00000005944	ENSDORG00000006348	Dipodomys_ordii
ENSMUSP00000044630	ENSMUSG00000041782	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0021124	MGP_SPRETEiJ_G0015451	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000019061	ENSMSIG00000016232	Mus_spicilegus
MGP_CAROLIEiJ_P0020072	MGP_CAROLIEiJ_G0014644	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0075363	MGP_PahariEiJ_G0027880	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000012801	ENSRNOG00000009144	Rattus_norvegicus
ENSMUGP00000008433	ENSMUGG00000007614	Meriones_unguiculatus
ENSCGRP00001025782	ENSCGRG00001023271	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014444	ENSCGRG00000010453	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015032054	ENSCGRG00015024195	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000004557	ENSMAUG00000005981	Mesocricetus_auratus
ENSMOCP00000012828	ENSMOCG00000012808	Microtus_ochrogaster
ENSPEMP00000006827	ENSPEMG00000008947	Peromyscus_maniculatus_bairdii
ENSNGAP00000026727	ENSNGAG00000024290	Nannospalax_galili
ENSJJAP00000005074	ENSJJAG00000010044	Jaculus_jaculus
ENSCLAP00000014763	ENSCLAG00000010186	Chinchilla_lanigera
ENSODEP00000015430	ENSODEG00000011384	Octodon_degus
ENSCPOP00000004767	ENSCPOG00000005299	Cavia_porcellus
ENSCAPP00000016418	ENSCAPG00000016314	Cavia_aperea
ENSHGLP00100026385	ENSHGLG00100019347	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000008321	ENSHGLG00000006023	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005593	ENSFDAG00000014565	Fukomys_damarensis
ENSSTOP00000017629	ENSSTOG00000019836	Ictidomys_tridecemlineatus
ENSMMMP00000013955	ENSMMMG00000012435	Marmota_marmota_marmota
ENSUPAP00010011302	ENSUPAG00010009149	Urocitellus_parryii
ENSSDAP00000013468	ENSSDAG00000012113	Spermophilus_dauricus
ENSOCUP00000006683	ENSOCUG00000007730	Oryctolagus_cuniculus
ENSOPRP00000010802	ENSOPRG00000011841	Ochotona_princeps
ENSLAFP00000010645	ENSLAFG00000012730	Loxodonta_africana	ENSLAFT00000012730
ENSPCAP00000003339	ENSPCAG00000003563	Procavia_capensis	ENSPCAT00000003561
ENSDNOP00000004402	ENSDNOG00000040160	Dasypus_novemcinctus	ENSDNOT00000045672
ENSVURP00010004761	ENSVURG00010003784	Vombatus_ursinus
ENSPCIP00000052409	ENSPCIG00000033473	Phascolarctos_cinereus
ENSMEUP00000014841	ENSMEUG00000016234	Notamacropus_eugenii
ENSSHAP00000003794	ENSSHAG00000003339	Sarcophilus_harrisii
ENSMODP00000053962	ENSMODG00000000386	Monodelphis_domestica
ENSOANP00000013172	ENSOANG00000008287	Ornithorhynchus_anatinus
ENSTGUP00000001368	ENSTGUG00000001329	Taeniopygia_guttata
ENSMGAP00000001362	ENSMGAG00000001842	Meleagris_gallopavo
ENSJHYP00000014998	ENSJHYG00000011580	Junco_hyemalis
ENSZALP00000018754	ENSZALG00000014979	Zonotrichia_albicollis
ENSFALP00000002628	ENSFALG00000002526	Ficedula_albicollis
ENSCCEP00000023697	ENSCCEG00000021154	Cyanistes_caeruleus
ENSLCOP00000007010	ENSLCOG00000005183	Lepidothrix_coronata
ENSMVIP00005015828	ENSMVIG00005011377	Manacus_vitellinus
ENSMUNP00000004971	ENSMUNG00000004129	Melopsittacus_undulatus
ENSCPUP00000026095	ENSCPUG00000017584	Calidris_pugnax
ENSABRP00000021131	ENSABRG00000017940	Anser_brachyrhynchus
ENSAPLP00000020977	ENSAPLG00000021537	Anas_platyrhynchos_platyrhynchos
ENSNMEP00000009156	ENSNMEG00000008884	Numida_meleagris
ENSDNVP00000026883	ENSDNVG00000018691	Dromaius_novaehollandiae
