ENSTGUP00000001547	ENSTGUG00000001502	Taeniopygia_guttata
ENSLSDP00000011626	ENSLSDG00000008543	Lonchura_striata_domestica
ENSSCAP00000017956	ENSSCAG00000013030	Serinus_canaria
ENSZALP00000000649	ENSZALG00000000801	Zonotrichia_albicollis
ENSJHYP00000006127	ENSJHYG00000004956	Junco_hyemalis
ENSFALP00000005033	ENSFALG00000004833	Ficedula_albicollis
ENSPMJP00000000150	ENSPMJG00000000161	Parus_major
ENSCCEP00000026816	ENSCCEG00000023475	Cyanistes_caeruleus
ENSMVIP00005015990	ENSMVIG00005011503	Manacus_vitellinus
ENSMUNP00000009105	ENSMUNG00000007170	Melopsittacus_undulatus	ENSMUNT00000010513
ENSCPGP00000011351	ENSCPGG00000008096	Calidris_pygmaea
ENSCPUP00000017881	ENSCPUG00000012310	Calidris_pugnax
ENSABRP00000014252	ENSABRG00000012637	Anser_brachyrhynchus
ENSAPLP00000014226	ENSAPLG00000014396	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005000918	ENSCJPG00005001014	Coturnix_japonica
ENSMGAP00000002331	ENSMGAG00000002703	Meleagris_gallopavo
ENSGALP00000015825	ENSGALG00000009732	Gallus_gallus
ENSNMEP00000000491	ENSNMEG00000000727	Numida_meleagris
ENSARWP00000012821	ENSARWG00000008866	Apteryx_rowi
ENSAOWP00000009999	ENSAOWG00000006869	Apteryx_owenii
ENSAHAP00000010123	ENSAHAG00000007339	Apteryx_haastii
ENSDNVP00000003792	ENSDNVG00000002683	Dromaius_novaehollandiae
ENSNPEP00000008630	ENSNPEG00000006488	Nothoprocta_perdicaria
ENSCPRP00005010679	ENSCPRG00005007637	Crocodylus_porosus
ENSGAGP00000020142	ENSGAGG00000014866	Gopherus_agassizii
ENSCABP00000009495	ENSCABG00000007143	Chelonoidis_abingdonii
ENSCPBP00000040194	ENSCPBG00000027647	Chrysemys_picta_bellii
ENSPSIP00000006895	ENSPSIG00000006360	Pelodiscus_sinensis
ENSPVIP00000029119	ENSPVIG00000021508	Pogona_vitticeps
ENSACAP00000013123	ENSACAG00000013347	Anolis_carolinensis
ENSNSUP00000007787	ENSNSUG00000006091	Notechis_scutatus
ENSSMRP00000020016	ENSSMRG00000015604	Salvator_merianae
ENSSPUP00000010660	ENSSPUG00000008196	Sphenodon_punctatus
ENSMICP00000018836	ENSMICG00000027527	Microcebus_murinus
ENSPCOP00000029025	ENSPCOG00000027193	Propithecus_coquereli
ENSPSMP00000001476	ENSPSMG00000001093	Prolemur_simus
ENSOGAP00000015899	ENSOGAG00000030608	Otolemur_garnettii
ENSPTRP00000042016	ENSPTRG00000024162	Pan_troglodytes
ENSPPAP00000000842	ENSPPAG00000003442	Pan_paniscus
ENSP00000355082	ENSG00000189184	Homo_sapiens
ENSGGOP00000014086	ENSGGOG00000014444	Gorilla_gorilla
ENSPPYP00000016830	ENSPPYG00000015065	Pongo_abelii
ENSNLEP00000016974	ENSNLEG00000013976	Nomascus_leucogenys
ENSMMUP00000010967	ENSMMUG00000008362	Macaca_mulatta
ENSMNEP00000044780	ENSMNEG00000044945	Macaca_nemestrina
ENSMFAP00000029511	ENSMFAG00000042004	Macaca_fascicularis
ENSPANP00000004587	ENSPANG00000001381	Papio_anubis
ENSTGEP00000012171	ENSTGEG00000009927	Theropithecus_gelada
