ENSMALP00000028052	ENSMALG00000019457	Monopterus_albus
ENSMAMP00000005440	ENSMAMG00000003688	Mastacembelus_armatus
ENSATEP00000021216	ENSATEG00000014738	Anabas_testudineus
ENSBSLP00000022290	ENSBSLG00000011323	Betta_splendens
ENSSMAP00000034658	ENSSMAG00000021194	Scophthalmus_maximus
ENSCSEP00000029044	ENSCSEG00000018603	Cynoglossus_semilaevis
ENSSDUP00000011065	ENSSDUG00000008086	Seriola_dumerili
ENSLCAP00010012273	ENSLCAG00010005814	Lates_calcarifer
ENSLCRP00005001953	ENSLCRG00005000982	Larimichthys_crocea
ENSTRUP00000054342	ENSTRUG00000021946	Takifugu_rubripes
ENSLCRP00005050442	ENSLCRG00005019016	Larimichthys_crocea
ENSCGOP00000024744	ENSCGOG00000011742	Cottoperca_gobio
ENSCGOP00000024717	ENSCGOG00000011725	Cottoperca_gobio
ENSLBEP00000002990	ENSLBEG00000002352	Labrus_bergylta
ENSAOCP00000022483	ENSAOCG00000008001	Amphiprion_ocellaris
ENSAPEP00000006433	ENSAPEG00000004599	Amphiprion_percula
ENSAPOP00000019812	ENSAPOG00000023310	Acanthochromis_polyacanthus
ENSSPAP00000004466	ENSSPAG00000003470	Stegastes_partitus
ENSPRNP00000001833	ENSPRNG00000001153	Parambassis_ranga
ENSMZEP00005022703	ENSMZEG00005016996	Maylandia_zebra
ENSACLP00000036377	ENSACLG00000024655	Astatotilapia_calliptera
ENSHBUP00000013754	ENSHBUG00000015554	Haplochromis_burtoni
ENSNBRP00000004660	ENSNBRG00000003684	Neolamprologus_brichardi
ENSXMAP00000006483	ENSXMAG00000006469	Xiphophorus_maculatus
ENSGAFP00000021259	ENSGAFG00000014331	Gambusia_affinis
ENSPFOP00000024950	ENSPFOG00000024439	Poecilia_formosa
ENSPLAP00000018987	ENSPLAG00000023897	Poecilia_latipinna
ENSPMEP00000033163	ENSPMEG00000021515	Poecilia_mexicana
ENSPREP00000012868	ENSPREG00000008742	Poecilia_reticulata
ENSCVAP00000005885	ENSCVAG00000007329	Cyprinodon_variegatus
ENSORLP00000009910	ENSORLG00000007901	Oryzias_latipes_ASM223467v1
ENSORLP00020014766	ENSORLG00020015768	Oryzias_latipes_ASM223471v1
ENSORLP00015010753	ENSORLG00015011569	Oryzias_latipes_ASM223469v1
ENSGWIP00000003888	ENSGWIG00000002093	Gouania_willdenowi
ENSHCOP00000021827	ENSHCOG00000008976	Hippocampus_comes
