ENSPMEP00000022239	ENSPMEG00000003012	Poecilia_mexicana
ENSLBEP00000033000	ENSLBEG00000024857	Labrus_bergylta
ENSMAMP00000020796	ENSMAMG00000013971	Mastacembelus_armatus
ENSHHUP00000048108	ENSHHUG00000029194	Hucho_hucho
ENSPREP00000014448	ENSPREG00000009785	Poecilia_reticulata
ENSLCAP00010047415	ENSLCAG00010022010	Lates_calcarifer
ENSATEP00000002861	ENSATEG00000002034	Anabas_testudineus
ENSPKIP00000025955	ENSPKIG00000008624	Paramormyrops_kingsleyae	ENSPKIT00000006703
ENSPNAP00000023281	ENSPNAG00000000496	Pygocentrus_nattereri
ENSMMOP00000021874	ENSMMOG00000016637	Mola_mola
ENSSFOP00015021175	ENSSFOG00015013633	Scleropages_formosus	ENSSFOT00015021410
ENSAOCP00000013153	ENSAOCG00000017723	Amphiprion_ocellaris
ENSOMEP00000012407	ENSOMEG00000013791	Oryzias_melastigma
ENSSDUP00000000624	ENSSDUG00000000544	Seriola_dumerili
ENSGAFP00000021992	ENSGAFG00000014839	Gambusia_affinis
ENSXCOP00000004749	ENSXCOG00000003740	Xiphophorus_couchianus
ENSBSLP00000029106	ENSBSLG00000014550	Betta_splendens
ENSTRUP00000056941	ENSTRUG00000024286	Takifugu_rubripes
ENSMZEP00005022796	ENSMZEG00005017070	Maylandia_zebra
ENSAPEP00000024422	ENSAPEG00000017351	Amphiprion_percula
ENSEEEP00000044325	ENSEEEG00000020942	Electrophorus_electricus	ENSEEET00000044829
ENSECRP00000001826	ENSECRG00000001263	Erpetoichthys_calabaricus
ENSGMOP00000018203	ENSGMOG00000016961	Gadus_morhua
ENSIPUP00000010695	ENSIPUG00000007288	Ictalurus_punctatus	ENSIPUT00000011149
ENSAMXP00005011371	ENSAMXG00005006268	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPFOP00000000855	ENSPFOG00000000913	Poecilia_formosa
ENSMALP00000032384	ENSMALG00000022305	Monopterus_albus
ENSSPAP00000021885	ENSSPAG00000016539	Stegastes_partitus
ENSELUP00000000366	ENSELUG00000001962	Esox_lucius
ENSHHUP00000076066	ENSHHUG00000044520	Hucho_hucho
ENSPLAP00000003428	ENSPLAG00000004894	Poecilia_latipinna
ENSLOCP00000016061	ENSLOCG00000013039	Lepisosteus_oculatus
ENSCGOP00000012889	ENSCGOG00000006323	Cottoperca_gobio
ENSNBRP00000029881	ENSNBRG00000022752	Neolamprologus_brichardi
ENSCSEP00000003380	ENSCSEG00000002216	Cynoglossus_semilaevis
ENSACLP00000035334	ENSACLG00000023933	Astatotilapia_calliptera
ENSORLP00015022392	ENSORLG00015001746	Oryzias_latipes_ASM223469v1
ENSHCOP00000006861	ENSHCOG00000008719	Hippocampus_comes
ENSGACP00000006539	ENSGACG00000004955	Gasterosteus_aculeatus
ENSXMAP00000033980	ENSXMAG00000021513	Xiphophorus_maculatus
ENSFHEP00000006197	ENSFHEG00000007282	Fundulus_heteroclitus
ENSCVAP00000015093	ENSCVAG00000017834	Cyprinodon_variegatus
ENSLCRP00005028168	ENSLCRG00005011175	Larimichthys_crocea
ENSPNYP00000031523	ENSPNYG00000023776	Pundamilia_nyererei
ENSPMGP00000001917	ENSPMGG00000001732	Periophthalmus_magnuspinnatus
ENSPRNP00000037572	ENSPRNG00000018718	Parambassis_ranga
ENSACIP00000014711	ENSACIG00000011426	Amphilophus_citrinellus
ENSLACP00000013077	ENSLACG00000011520	Latimeria_chalumnae
ENSORLP00000015963	ENSORLG00000012749	Oryzias_latipes_ASM223467v1
ENSXETP00000011976	ENSXETG00000015046	Xenopus_tropicalis
ENSAMXP00000029122	ENSAMXG00000037700	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSKMAP00000023743	ENSKMAG00000017614	Kryptolebias_marmoratus
ENSDARP00000154371	ENSDARG00000110608	Danio_rerio
ENSSLDP00000019613	ENSSLDG00000015388	Seriola_lalandi_dorsalis
ENSCHAP00000053754	ENSCHAG00000024413	Clupea_harengus
ENSHBUP00000020543	ENSHBUG00000022808	Haplochromis_burtoni
ENSORLP00020002517	ENSORLG00020003264	Oryzias_latipes_ASM223471v1
ENSDCDP00000016784	ENSDCDG00000013735	Denticeps_clupeoides
ENSGWIP00000012594	ENSGWIG00000007301	Gouania_willdenowi
ENSSMAP00000028426	ENSSMAG00000017398	Scophthalmus_maximus
