ENSHBUP00000008045	ENSHBUG00000009546	Haplochromis_burtoni
ENSANAP00000015573	ENSANAG00000025672	Aotus_nancymaae
ENSORLP00015020405	ENSORLG00015021548	Oryzias_latipes_ASM223469v1
ENSCGRP00001016205	ENSCGRG00001016615	Cricetulus_griseus_CHOK1GS_HDv1
ENSMODP00000023682	ENSMODG00000018979	Monodelphis_domestica
ENSLAFP00000008626	ENSLAFG00000010299	Loxodonta_africana
ENSCSAVP00000017022	ENSCSAVG00000010017	Ciona_savignyi
ENSNLEP00000000598	ENSNLEG00000000516	Nomascus_leucogenys
ENSHCOP00000018294	ENSHCOG00000002717	Hippocampus_comes
ENSPCOP00000016586	ENSPCOG00000020070	Propithecus_coquereli
ENSVURP00010006958	ENSVURG00010005393	Vombatus_ursinus
ENSCSEP00000006931	ENSCSEG00000004477	Cynoglossus_semilaevis
ENSTTRP00000006641	ENSTTRG00000007022	Tursiops_truncatus
ENSCGRP00015024249	ENSCGRG00015018460	Cricetulus_griseus_CriGri-PICR
ENSECAP00000004720	ENSECAG00000006660	Equus_caballus
ENSACLP00000006673	ENSACLG00000004498	Astatotilapia_calliptera
ENSMUSP00000045283	ENSMUSG00000040658	Mus_musculus_strain_reference_(CL57BL6)
ENSPMGP00000009453	ENSPMGG00000007825	Periophthalmus_magnuspinnatus
MGP_CAROLIEiJ_P0045014	MGP_CAROLIEiJ_G0021673	Mus_caroli_strain_CAROLI_EIJ
ENSLCAP00010013323	ENSLCAG00010006316	Lates_calcarifer
ENSPNAP00000006685	ENSPNAG00000012654	Pygocentrus_nattereri
ENSMMOP00000010228	ENSMMOG00000007895	Mola_mola
ENSJJAP00000022629	ENSJJAG00000022638	Jaculus_jaculus
ENSGAFP00000007426	ENSGAFG00000005046	Gambusia_affinis
ENSBTAP00000026530	ENSBTAG00000019913	Bos_taurus
ENSTRUP00000008008	ENSTRUG00000003415	Takifugu_rubripes
ENSSHAP00000015283	ENSSHAG00000013031	Sarcophilus_harrisii
ENSPPRP00000004839	ENSPPRG00000000794	Panthera_pardus
ENSLACP00000012638	ENSLACG00000011134	Latimeria_chalumnae
ENSORLP00020031172	ENSORLG00020016064	Oryzias_latipes_ASM223471v1
ENSDORP00000020107	ENSDORG00000026406	Dipodomys_ordii
ENSDARP00000103969	ENSDARG00000075730	Danio_rerio
ENSCCAP00000007343	ENSCCAG00000021417	Cebus_capucinus_imitator
ENSUPAP00010022988	ENSUPAG00010018235	Urocitellus_parryii
ENSHGLP00000027028	ENSHGLG00000019223	Heterocephalus_glaber_HetGla_female_1.0
ENSMUGP00000026428	ENSMUGG00000022013	Meriones_unguiculatus
ENSCAFP00020014768	ENSCAFG00020011915	Canis_lupus_dingo
ENSOCUP00000022180	ENSOCUG00000021203	Oryctolagus_cuniculus
ENSSDAP00000016222	ENSSDAG00000014671	Spermophilus_dauricus
ENSMALP00000013214	ENSMALG00000009361	Monopterus_albus
ENSCHAP00000017080	ENSCHAG00000009007	Clupea_harengus
ENSPPAP00000033381	ENSPPAG00000039553	Pan_paniscus
ENSPRNP00000012978	ENSPRNG00000007137	Parambassis_ranga
ENSGACP00000016216	ENSGACG00000012262	Gasterosteus_aculeatus
ENSAMEP00000013035	ENSAMEG00000012390	Ailuropoda_melanoleuca
ENSCSAP00000007855	ENSCSAG00000011657	Chlorocebus_sabaeus
ENSPVAP00000008253	ENSPVAG00000008743	Pteropus_vampyrus
ENSPKIP00000027780	ENSPKIG00000009695	Paramormyrops_kingsleyae
ENSSLDP00000000376	ENSSLDG00000000377	Seriola_lalandi_dorsalis
ENSXMAP00000030769	ENSXMAG00000025860	Xiphophorus_maculatus
ENSCMIP00000042630	ENSCMIG00000017727	Callorhinchus_milii
ENSCGRP00000018387	ENSCGRG00000013381	Cricetulus_griseus_CriGri_1.0
ENSSFOP00015030739	ENSSFOG00015019717	Scleropages_formosus
ENSCCNP00000016015	ENSCCNG00000016361	Castor_canadensis
ENSECRP00000030748	ENSECRG00000020864	Erpetoichthys_calabaricus
ENSP00000230431	ENSG00000112667	Homo_sapiens
ENSMEUP00000010008	ENSMEUG00000010974	Notamacropus_eugenii
ENSUMAP00000008004	ENSUMAG00000006141	Ursus_maritimus
ENSPPYP00000018608	ENSPPYG00000016635	Pongo_abelii
MGP_SPRETEiJ_P0046910	MGP_SPRETEiJ_G0022585	Mus_spretus_strain_SPRET/EiJ
ENSSDUP00000006148	ENSSDUG00000004542	Seriola_dumerili
ENSPANP00000036600	ENSPANG00000020870	Papio_anubis
ENSMICP00000046138	ENSMICG00000008364	Microcebus_murinus
ENSXCOP00000005209	ENSXCOG00000004079	Xiphophorus_couchianus
ENSCHIP00000013219	ENSCHIG00000014711	Capra_hircus
ENSLBEP00000029241	ENSLBEG00000022160	Labrus_bergylta
ENSCINP00000021658	ENSCING00000011292	Ciona_intestinalis
ENSODEP00000021346	ENSODEG00000015708	Octodon_degus
ENSBIXP00000006615	ENSBIXG00000012706	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNVIP00000013302	ENSNVIG00000010495	Neovison_vison	ENSNVIT00000015564
ENSMFAP00000037621	ENSMFAG00000038043	Macaca_fascicularis
ENSMOCP00000018794	ENSMOCG00000016980	Microtus_ochrogaster
ENSRBIP00000018661	ENSRBIG00000033326	Rhinopithecus_bieti
ENSBIXP00005006233	ENSBIXG00005011770	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSNGAP00000024956	ENSNGAG00000023055	Nannospalax_galili
MGP_PahariEiJ_P0044535	MGP_PahariEiJ_G0020664	Mus_pahari_strain_PAHARI_EIJ
ENSSPAP00000026734	ENSSPAG00000020160	Stegastes_partitus
ENSMLEP00000034969	ENSMLEG00000041639	Mandrillus_leucophaeus
ENSPNYP00000002670	ENSPNYG00000002105	Pundamilia_nyererei
ENSACIP00000004976	ENSACIG00000003905	Amphilophus_citrinellus
ENSPCAP00000009000	ENSPCAG00000009691	Procavia_capensis
ENSRROP00000003193	ENSRROG00000012689	Rhinopithecus_roxellana
ENSMAUP00000003379	ENSMAUG00000003688	Mesocricetus_auratus
ENSTSYP00000016487	ENSTSYG00000037043	Carlito_syrichta
ENSPCIP00000041312	ENSPCIG00000030205	Phascolarctos_cinereus
ENSGGOP00000011069	ENSGGOG00000011357	Gorilla_gorilla
ENSIPUP00000018804	ENSIPUG00000012772	Ictalurus_punctatus
ENSGWIP00000040875	ENSGWIG00000020605	Gouania_willdenowi
ENSTBEP00000009837	ENSTBEG00000011391	Tupaia_belangeri
ENSPTRP00000050113	ENSPTRG00000029662	Pan_troglodytes
ENSPREP00000020406	ENSPREG00000013811	Poecilia_reticulata
ENSCAPP00000012018	ENSCAPG00000012966	Cavia_aperea
ENSMAMP00000033407	ENSMAMG00000022460	Mastacembelus_armatus
ENSPREP00000020342	ENSPREG00000013768	Poecilia_reticulata
ENSATEP00000032685	ENSATEG00000022504	Anabas_testudineus
ENSFHEP00000026589	ENSFHEG00000009514	Fundulus_heteroclitus
ENSOMEP00000019961	ENSOMEG00000021767	Oryzias_melastigma
ENSMNEP00000005775	ENSMNEG00000026166	Macaca_nemestrina
ENSDNOP00000004753	ENSDNOG00000006139	Dasypus_novemcinctus
ENSOARP00000006696	ENSOARG00000006254	Ovis_aries
ENSPMAP00000006091	ENSPMAG00000005532	Petromyzon_marinus
ENSBIXP00005001669	ENSBIXG00005008144	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSORLP00000004006	ENSORLG00000003216	Oryzias_latipes_ASM223467v1
ENSBIXP00005028480	ENSBIXG00005008153	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPTEP00000015160	ENSPTEG00000016866	Piliocolobus_tephrosceles
ENSPFOP00000005743	ENSPFOG00000005821	Poecilia_formosa
ENSOGAP00000016768	ENSOGAG00000027385	Otolemur_garnettii
ENSIPUP00000018817	ENSIPUG00000012781	Ictalurus_punctatus
ENSPSMP00000025156	ENSPSMG00000017681	Prolemur_simus
ENSAMXP00000034645	ENSAMXG00000015630	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSMAP00000011572	ENSSMAG00000007129	Scophthalmus_maximus
ENSBMUP00000016497	ENSBMUG00000012524	Bos_mutus
ENSUAMP00000006909	ENSUAMG00000006049	Ursus_americanus
ENSHHUP00000059097	ENSHHUG00000035121	Hucho_hucho
ENSMSIP00000013611	ENSMSIG00000011778	Mus_spicilegus
ENSCANP00000026939	ENSCANG00000036880	Colobus_angolensis_palliatus
ENSELUP00000017175	ENSELUG00000016938	Esox_lucius
ENSBBBP00000020860	ENSBBBG00000014554	Bison_bison_bison
ENSOPRP00000002404	ENSOPRG00000002618	Ochotona_princeps
ENSPEMP00000018731	ENSPEMG00000017242	Peromyscus_maniculatus_bairdii
ENSAPOP00000031494	ENSAPOG00000018781	Acanthochromis_polyacanthus
ENSBSLP00000044430	ENSBSLG00000021180	Betta_splendens
ENSCAFP00000002682	ENSCAFG00000001837	Canis_lupus_familiaris
ENSTNIP00000016373	ENSTNIG00000013382	Tetraodon_nigroviridis
ENSPMEP00000030987	ENSPMEG00000017812	Poecilia_mexicana
ENSONIP00000008982	ENSONIG00000007120	Oreochromis_niloticus
ENSMMMP00000028149	ENSMMMG00000024546	Marmota_marmota_marmota
ENSCLAP00000016456	ENSCLAG00000011315	Chinchilla_lanigera
ENSSBOP00000038740	ENSSBOG00000035435	Saimiri_boliviensis_boliviensis
ENSMZEP00005002908	ENSMZEG00005002254	Maylandia_zebra
ENSSSCP00000001807	ENSSSCG00000026568	Sus_scrofa_strain_reference
ENSAMXP00005013973	ENSAMXG00005007472	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMMUP00000018387	ENSMMUG00000013990	Macaca_mulatta
ENSFCAP00000009015	ENSFCAG00000009722	Felis_catus
ENSCPOP00000021115	ENSCPOG00000025216	Cavia_porcellus
ENSCVAP00000007539	ENSCVAG00000009220	Cyprinodon_variegatus
ENSBBBP00000010587	ENSBBBG00000018693	Bison_bison_bison
ENSHGLP00100006898	ENSHGLG00100005171	Heterocephalus_glaber_HetGla_1.0
ENSBIXP00000038044	ENSBIXG00000021763	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCATP00000022399	ENSCATG00000034825	Cercocebus_atys
ENSEEEP00000026487	ENSEEEG00000012816	Electrophorus_electricus
ENSPLAP00000014521	ENSPLAG00000018237	Poecilia_latipinna
ENSAOCP00000008340	ENSAOCG00000012338	Amphiprion_ocellaris
ENSTGEP00000037268	ENSTGEG00000029643	Theropithecus_gelada
ENSEEUP00000005377	ENSEEUG00000005917	Erinaceus_europaeus
ENSEBUP00000001077	ENSEBUG00000001024	Eptatretus_burgeri
ENSPCIP00000051360	ENSPCIG00000030687	Phascolarctos_cinereus
ENSEASP00005004269	ENSEASG00005003237	Equus_asinus_asinus
ENSAPEP00000024129	ENSAPEG00000017152	Amphiprion_percula
ENSPTIP00000019950	ENSPTIG00000017589	Panthera_tigris_altaica
ENSCJAP00000009751	ENSCJAG00000005337	Callithrix_jacchus
ENSRNOP00000024815	ENSRNOG00000018397	Rattus_norvegicus
ENSKMAP00000007750	ENSKMAG00000005810	Kryptolebias_marmoratus
ENSSTOP00000023227	ENSSTOG00000026925	Ictidomys_tridecemlineatus
ENSLOCP00000020691	ENSLOCG00000016740	Lepisosteus_oculatus
ENSDCDP00000017323	ENSDCDG00000014098	Denticeps_clupeoides
