ENSCMIP00000029453	ENSCMIG00000012738	Callorhinchus_milii
ENSLACP00000004640	ENSLACG00000004130	Latimeria_chalumnae
ENSCPOP00000031089	ENSCPOG00000037504	Cavia_porcellus
ENSCAPP00000000488	ENSCAPG00000000391	Cavia_aperea
ENSCLAP00000023492	ENSCLAG00000016113	Chinchilla_lanigera
ENSHGLP00000013586	ENSHGLG00000009715	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011694	ENSHGLG00100008677	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020942	ENSFDAG00000008074	Fukomys_damarensis
ENSODEP00000017775	ENSODEG00000013110	Octodon_degus
ENSUPAP00010013383	ENSUPAG00010010813	Urocitellus_parryii
ENSSTOP00000011115	ENSSTOG00000012407	Ictidomys_tridecemlineatus
ENSMMMP00000026519	ENSMMMG00000023226	Marmota_marmota_marmota
ENSSDAP00000006209	ENSSDAG00000005686	Spermophilus_dauricus
ENSMSIP00000033847	ENSMSIG00000028255	Mus_spicilegus
MGP_SPRETEiJ_P0085362	MGP_SPRETEiJ_G0031533	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000033154	ENSMUSG00000030867	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0081968	MGP_CAROLIEiJ_G0030419	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0018756	MGP_PahariEiJ_G0013629	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000025629	ENSRNOG00000018815	Rattus_norvegicus
ENSMUGP00000011613	ENSMUGG00000010169	Meriones_unguiculatus
ENSPEMP00000032527	ENSPEMG00000029316	Peromyscus_maniculatus_bairdii
ENSPEMP00000034043	ENSPEMG00000027481	Peromyscus_maniculatus_bairdii
ENSPEMP00000020076	ENSPEMG00000018160	Peromyscus_maniculatus_bairdii
ENSCGRP00015019504	ENSCGRG00015014964	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001023714	ENSCGRG00001021855	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000001554	ENSCGRG00000001185	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000013005	ENSMAUG00000013169	Mesocricetus_auratus
ENSMOCP00000023995	ENSMOCG00000020552	Microtus_ochrogaster
ENSNGAP00000024929	ENSNGAG00000023041	Nannospalax_galili
ENSJJAP00000018662	ENSJJAG00000019870	Jaculus_jaculus
ENSCCNP00000022532	ENSCCNG00000022161	Castor_canadensis
ENSDORP00000001165	ENSDORG00000001245	Dipodomys_ordii
