ENSEEEP00000008446	ENSEEEG00000004409	Electrophorus_electricus
ENSIPUP00000011920	ENSIPUG00000008100	Ictalurus_punctatus
ENSPNAP00000008240	ENSPNAG00000002963	Pygocentrus_nattereri
ENSAMXP00000054227	ENSAMXG00000035102	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDARP00000096377	ENSDARG00000022177	Danio_rerio
ENSCHAP00000005885	ENSCHAG00000003688	Clupea_harengus
ENSDCDP00000047625	ENSDCDG00000029663	Denticeps_clupeoides
ENSELUP00000028845	ENSELUG00000005585	Esox_lucius
ENSHHUP00000036061	ENSHHUG00000022662	Hucho_hucho
ENSSMAP00000034723	ENSSMAG00000021230	Scophthalmus_maximus
ENSCSEP00000024673	ENSCSEG00000015765	Cynoglossus_semilaevis
ENSSLDP00000014470	ENSSLDG00000011566	Seriola_lalandi_dorsalis
ENSLCAP00010020629	ENSLCAG00010009752	Lates_calcarifer
ENSMALP00000020285	ENSMALG00000014185	Monopterus_albus
ENSMAMP00000003991	ENSMAMG00000002727	Mastacembelus_armatus
ENSATEP00000020012	ENSATEG00000013973	Anabas_testudineus
ENSBSLP00000022510	ENSBSLG00000011294	Betta_splendens
ENSAOCP00000025602	ENSAOCG00000013277	Amphiprion_ocellaris
ENSAPEP00000004782	ENSAPEG00000003447	Amphiprion_percula
ENSAPOP00000028798	ENSAPOG00000014282	Acanthochromis_polyacanthus
ENSSPAP00000003034	ENSSPAG00000002321	Stegastes_partitus
ENSPRNP00000052514	ENSPRNG00000024820	Parambassis_ranga
ENSGWIP00000009505	ENSGWIG00000005662	Gouania_willdenowi
ENSPNYP00000026249	ENSPNYG00000019810	Pundamilia_nyererei
ENSHBUP00000005640	ENSHBUG00000007049	Haplochromis_burtoni
ENSNBRP00000002636	ENSNBRG00000002029	Neolamprologus_brichardi
ENSONIP00000015784	ENSONIG00000012538	Oreochromis_niloticus
ENSACIP00000012544	ENSACIG00000009666	Amphilophus_citrinellus
ENSPFOP00000023823	ENSPFOG00000024216	Poecilia_formosa
ENSPLAP00000002765	ENSPLAG00000004104	Poecilia_latipinna
ENSPMEP00000031683	ENSPMEG00000018965	Poecilia_mexicana
ENSPREP00000011389	ENSPREG00000007774	Poecilia_reticulata
ENSXMAP00000035596	ENSXMAG00000006040	Xiphophorus_maculatus
ENSXCOP00000004587	ENSXCOG00000003621	Xiphophorus_couchianus
ENSGAFP00000020490	ENSGAFG00000013552	Gambusia_affinis
ENSCVAP00000026899	ENSCVAG00000012835	Cyprinodon_variegatus
ENSFHEP00000032056	ENSFHEG00000018289	Fundulus_heteroclitus
ENSKMAP00000010324	ENSKMAG00000007764	Kryptolebias_marmoratus
ENSORLP00000040439	ENSORLG00000006897	Oryzias_latipes_ASM223467v1
ENSORLP00020032825	ENSORLG00020000553	Oryzias_latipes_ASM223471v1
ENSORLP00015013314	ENSORLG00015014207	Oryzias_latipes_ASM223469v1
ENSOMEP00000018589	ENSOMEG00000020321	Oryzias_melastigma
ENSCGOP00000036125	ENSCGOG00000016696	Cottoperca_gobio
ENSGACP00000011705	ENSGACG00000008863	Gasterosteus_aculeatus
ENSTRUP00000025580	ENSTRUG00000010162	Takifugu_rubripes
ENSTNIP00000012977	ENSTNIG00000010081	Tetraodon_nigroviridis
ENSMMOP00000010862	ENSMMOG00000008374	Mola_mola
ENSLCRP00005063510	ENSLCRG00005023291	Larimichthys_crocea
ENSLBEP00000029387	ENSLBEG00000022261	Labrus_bergylta
ENSHCOP00000022349	ENSHCOG00000009983	Hippocampus_comes
ENSPMGP00000013319	ENSPMGG00000010951	Periophthalmus_magnuspinnatus
ENSGMOP00000001106	ENSGMOG00000001063	Gadus_morhua
ENSSFOP00015006145	ENSSFOG00015003999	Scleropages_formosus
ENSPKIP00000019025	ENSPKIG00000004361	Paramormyrops_kingsleyae
ENSLOCP00000009360	ENSLOCG00000007710	Lepisosteus_oculatus
ENSECRP00000018934	ENSECRG00000012642	Erpetoichthys_calabaricus
ENSLCOP00000018687	ENSLCOG00000013220	Lepidothrix_coronata
ENSMVIP00005022925	ENSMVIG00005016096	Manacus_vitellinus
ENSJHYP00000022044	ENSJHYG00000016635	Junco_hyemalis
