ENSLCOP00000019151	ENSLCOG00000013548	Lepidothrix_coronata
ENSMVIP00005017009	ENSMVIG00005012127	Manacus_vitellinus
ENSPMJP00000012703	ENSPMJG00000009743	Parus_major
ENSCCEP00000008786	ENSCCEG00000008934	Cyanistes_caeruleus
ENSFALP00000010733	ENSFALG00000010291	Ficedula_albicollis
ENSTGUP00000009067	ENSTGUG00000008763	Taeniopygia_guttata
ENSLSDP00000015648	ENSLSDG00000011186	Lonchura_striata_domestica
ENSJHYP00000017275	ENSJHYG00000013128	Junco_hyemalis
ENSZALP00000006380	ENSZALG00000005735	Zonotrichia_albicollis
ENSSCAP00000011128	ENSSCAG00000008214	Serinus_canaria
ENSMUNP00000011037	ENSMUNG00000008489	Melopsittacus_undulatus
ENSCPUP00000000629	ENSCPUG00000000022	Calidris_pugnax
ENSCPGP00000019750	ENSCPGG00000013706	Calidris_pygmaea
ENSMGAP00000009639	ENSMGAG00000009321	Meleagris_gallopavo
ENSMGAP00000009642	ENSMGAG00000017430	Meleagris_gallopavo
ENSGALP00000048471	ENSGALG00000038688	Gallus_gallus
ENSCJPP00005026544	ENSCJPG00005020649	Coturnix_japonica
ENSNMEP00000027668	ENSNMEG00000023148	Numida_meleagris
ENSABRP00000011084	ENSABRG00000009967	Anser_brachyrhynchus
ENSAPLP00000018684	ENSAPLG00000006978	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000001212	ENSAOWG00000000839	Apteryx_owenii	ENSAOWT00000001368
ENSAHAP00000003841	ENSAHAG00000002924	Apteryx_haastii	ENSAHAT00000004317
ENSARWP00000005552	ENSARWG00000003953	Apteryx_rowi	ENSARWT00000006365
ENSDNVP00000016734	ENSDNVG00000011700	Dromaius_novaehollandiae
ENSNPEP00000010723	ENSNPEG00000008044	Nothoprocta_perdicaria
ENSCPRP00005025525	ENSCPRG00005017685	Crocodylus_porosus
ENSCABP00000018310	ENSCABG00000013567	Chelonoidis_abingdonii
ENSGAGP00000016907	ENSGAGG00000012577	Gopherus_agassizii
ENSCPBP00000027726	ENSCPBG00000019583	Chrysemys_picta_bellii
ENSPSIP00000016811	ENSPSIG00000014855	Pelodiscus_sinensis
ENSACAP00000009703	ENSACAG00000009834	Anolis_carolinensis
ENSNSUP00000003411	ENSNSUG00000002636	Notechis_scutatus
ENSPVIP00000005343	ENSPVIG00000004334	Pogona_vitticeps
ENSSMRP00000028934	ENSSMRG00000022275	Salvator_merianae
ENSSPUP00000014497	ENSSPUG00000011161	Sphenodon_punctatus
ENSOANP00000000278	ENSOANG00000000145	Ornithorhynchus_anatinus
ENSOANP00000032260	ENSOANG00000032295	Ornithorhynchus_anatinus
ENSOANP00000000279	ENSOANG00000000146	Ornithorhynchus_anatinus
ENSSHAP00000020653	ENSSHAG00000017515	Sarcophilus_harrisii
ENSMODP00000015905	ENSMODG00000012713	Monodelphis_domestica
ENSPCIP00000032417	ENSPCIG00000024064	Phascolarctos_cinereus
ENSVURP00010012170	ENSVURG00010009093	Vombatus_ursinus
ENSMEUP00000013065	ENSMEUG00000014297	Notamacropus_eugenii
ENSAMEP00000015273	ENSAMEG00000014487	Ailuropoda_melanoleuca
ENSUMAP00000034841	ENSUMAG00000025080	Ursus_maritimus
ENSCAFP00000049730	ENSCAFG00000010709	Canis_lupus_familiaris
ENSCAFP00020025329	ENSCAFG00020019920	Canis_lupus_dingo
ENSVVUP00000019462	ENSVVUG00000014291	Vulpes_vulpes
ENSMPUP00000010776	ENSMPUG00000010864	Mustela_putorius_furo
ENSNVIP00000008733	ENSNVIG00000006898	Neovison_vison
ENSPPRP00000004033	ENSPPRG00000000286	Panthera_pardus
ENSPTIP00000017345	ENSPTIG00000015799	Panthera_tigris_altaica
ENSFCAP00000014176	ENSFCAG00000015286	Felis_catus
ENSECAP00000000575	ENSECAG00000000579	Equus_caballus
ENSEASP00005025908	ENSEASG00005017668	Equus_asinus_asinus
ENSOARP00000010481	ENSOARG00000009766	Ovis_aries
ENSCHIP00000016789	ENSCHIG00000016863	Capra_hircus
ENSBIXP00005021091	ENSBIXG00005024103	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000032297	ENSBIXG00000014829	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000073228	ENSBTAG00000019823	Bos_taurus
ENSBMUP00000001487	ENSBMUG00000001197	Bos_mutus
ENSBBBP00000028311	ENSBBBG00000025028	Bison_bison_bison
ENSTTRP00000002239	ENSTTRG00000002390	Tursiops_truncatus
ENSSSCP00000039975	ENSSSCG00000038452	Sus_scrofa_strain_reference
ENSVPAP00000004575	ENSVPAG00000004938	Vicugna_pacos
ENSP00000268070	ENSG00000140470	Homo_sapiens
ENSGGOP00000007555	ENSGGOG00000007711	Gorilla_gorilla
ENSPTRP00000012811	ENSPTRG00000007500	Pan_troglodytes
ENSPPAP00000013925	ENSPPAG00000030123	Pan_paniscus
ENSPPYP00000007737	ENSPPYG00000006819	Pongo_abelii
ENSNLEP00000001126	ENSNLEG00000000963	Nomascus_leucogenys
ENSCATP00000007386	ENSCATG00000022071	Cercocebus_atys
ENSMLEP00000027006	ENSMLEG00000037702	Mandrillus_leucophaeus
ENSTGEP00000014685	ENSTGEG00000011924	Theropithecus_gelada
ENSPANP00000032842	ENSPANG00000024123	Papio_anubis
ENSMFAP00000010133	ENSMFAG00000005645	Macaca_fascicularis
ENSMNEP00000038574	ENSMNEG00000042254	Macaca_nemestrina
ENSRROP00000010601	ENSRROG00000029698	Rhinopithecus_roxellana
ENSMMUP00000068582	ENSMMUG00000021160	Macaca_mulatta
ENSCSAP00000012928	ENSCSAG00000016882	Chlorocebus_sabaeus
ENSCANP00000019194	ENSCANG00000033025	Colobus_angolensis_palliatus
ENSRBIP00000007271	ENSRBIG00000027514	Rhinopithecus_bieti
ENSPTEP00000040683	ENSPTEG00000037444	Piliocolobus_tephrosceles
ENSCCAP00000040396	ENSCCAG00000037999	Cebus_capucinus_imitator
ENSSBOP00000028500	ENSSBOG00000030629	Saimiri_boliviensis_boliviensis
ENSANAP00000003683	ENSANAG00000019818	Aotus_nancymaae
ENSCJAP00000031438	ENSCJAG00000017094	Callithrix_jacchus
ENSTSYP00000011875	ENSTSYG00000012933	Carlito_syrichta
ENSPSMP00000011055	ENSPSMG00000007996	Prolemur_simus
ENSMICP00000013446	ENSMICG00000014739	Microcebus_murinus
ENSOGAP00000007200	ENSOGAG00000008047	Otolemur_garnettii
ENSCCNP00000008369	ENSCCNG00000008806	Castor_canadensis
ENSDORP00000019008	ENSDORG00000001554	Dipodomys_ordii
MGP_SPRETEiJ_P0083394	MGP_SPRETEiJ_G0030949	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000026990	ENSMSIG00000022658	Mus_spicilegus
ENSMUSP00000095984	ENSMUSG00000058145	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0080043	MGP_CAROLIEiJ_G0029846	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0016903	MGP_PahariEiJ_G0013071	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000052730	ENSRNOG00000037080	Rattus_norvegicus
ENSMUGP00000003833	ENSMUGG00000003501	Meriones_unguiculatus
ENSCGRP00001014602	ENSCGRG00001015416	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000010747	ENSCGRG00000007861	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015027810	ENSCGRG00015020983	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000019152	ENSMAUG00000017506	Mesocricetus_auratus
ENSPEMP00000009310	ENSPEMG00000010644	Peromyscus_maniculatus_bairdii
ENSMOCP00000023883	ENSMOCG00000020471	Microtus_ochrogaster
ENSNGAP00000012193	ENSNGAG00000014108	Nannospalax_galili
ENSJJAP00000024203	ENSJJAG00000023730	Jaculus_jaculus
ENSUPAP00010012578	ENSUPAG00010010165	Urocitellus_parryii
ENSSDAP00000016817	ENSSDAG00000015200	Spermophilus_dauricus
ENSSTOP00000004058	ENSSTOG00000004497	Ictidomys_tridecemlineatus
ENSMMMP00000024049	ENSMMMG00000021021	Marmota_marmota_marmota
ENSCLAP00000016849	ENSCLAG00000011560	Chinchilla_lanigera
ENSODEP00000019097	ENSODEG00000014089	Octodon_degus
ENSCAPP00000013761	ENSCAPG00000014301	Cavia_aperea
ENSCPOP00000022092	ENSCPOG00000009337	Cavia_porcellus
ENSHGLP00000020925	ENSHGLG00000014955	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020251	ENSHGLG00100014939	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017586	ENSFDAG00000006133	Fukomys_damarensis
ENSOCUP00000013086	ENSOCUG00000015227	Oryctolagus_cuniculus
ENSOPRP00000002498	ENSOPRG00000002695	Ochotona_princeps
ENSEEUP00000006762	ENSEEUG00000007381	Erinaceus_europaeus
ENSMLUP00000002659	ENSMLUG00000002925	Myotis_lucifugus
ENSPCOP00000022276	ENSPCOG00000023224	Propithecus_coquereli
ENSPVAP00000004239	ENSPVAG00000004472	Pteropus_vampyrus
ENSDNOP00000007474	ENSDNOG00000009630	Dasypus_novemcinctus
ENSCHOP00000006389	ENSCHOG00000007191	Choloepus_hoffmanni
ENSLAFP00000012614	ENSLAFG00000015058	Loxodonta_africana
ENSPCAP00000000744	ENSPCAG00000000744	Procavia_capensis
ENSETEP00000002936	ENSETEG00000003575	Echinops_telfairi
ENSXETP00000001624	ENSXETG00000006244	Xenopus_tropicalis
ENSLACP00000019600	ENSLACG00000017235	Latimeria_chalumnae
ENSDCDP00000049711	ENSDCDG00000030481	Denticeps_clupeoides
ENSDCDP00000049752	ENSDCDG00000030484	Denticeps_clupeoides
ENSCHAP00000024755	ENSCHAG00000011700	Clupea_harengus
ENSAMXP00005039810	ENSAMXG00005018715	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000014551	ENSAMXG00000014144	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000006621	ENSPNAG00000012650	Pygocentrus_nattereri
ENSEEEP00000029811	ENSEEEG00000014279	Electrophorus_electricus
ENSIPUP00000034482	ENSIPUG00000023156	Ictalurus_punctatus
ENSDARP00000100254	ENSDARG00000075555	Danio_rerio
ENSPMGP00000016229	ENSPMGG00000013321	Periophthalmus_magnuspinnatus
ENSHCOP00000005272	ENSHCOG00000006941	Hippocampus_comes
ENSCGOP00000034995	ENSCGOG00000016227	Cottoperca_gobio
ENSCSEP00000010421	ENSCSEG00000006669	Cynoglossus_semilaevis
ENSXCOP00000023788	ENSXCOG00000017766	Xiphophorus_couchianus
ENSXMAP00000001204	ENSXMAG00000001177	Xiphophorus_maculatus
ENSGAFP00000024943	ENSGAFG00000016846	Gambusia_affinis
ENSPLAP00000024092	ENSPLAG00000010055	Poecilia_latipinna
ENSPFOP00000010746	ENSPFOG00000010391	Poecilia_formosa
ENSPMEP00000023946	ENSPMEG00000005916	Poecilia_mexicana
ENSPREP00000003574	ENSPREG00000002523	Poecilia_reticulata
ENSFHEP00000032545	ENSFHEG00000019145	Fundulus_heteroclitus
ENSCVAP00000030476	ENSCVAG00000019188	Cyprinodon_variegatus
ENSKMAP00000007058	ENSKMAG00000005334	Kryptolebias_marmoratus
ENSOMEP00000026649	ENSOMEG00000008637	Oryzias_melastigma
ENSORLP00015028354	ENSORLG00015010931	Oryzias_latipes_ASM223469v1
ENSMALP00000021863	ENSMALG00000015272	Monopterus_albus
ENSMMOP00000020268	ENSMMOG00000015396	Mola_mola
ENSGACP00000016575	ENSGACG00000012531	Gasterosteus_aculeatus
ENSAOCP00000009291	ENSAOCG00000013472	Amphiprion_ocellaris
ENSAPEP00000000384	ENSAPEG00000000279	Amphiprion_percula
ENSAPOP00000018982	ENSAPOG00000022417	Acanthochromis_polyacanthus
