ENSDNOP00000023809	ENSDNOG00000006327	Dasypus_novemcinctus	ENSDNOT00000006325
ENSCHOP00000008411	ENSCHOG00000009511	Choloepus_hoffmanni	ENSCHOT00000009530
ENSLAFP00000022303	ENSLAFG00000000826	Loxodonta_africana	ENSLAFT00000000826
ENSCGRP00001015930	ENSCGRG00001016412	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000026813	ENSCGRG00000019906	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015007374	ENSCGRG00015005749	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000029312	ENSPEMG00000026242	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0069659	MGP_SPRETEiJ_G0028026	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000044932	ENSMUSG00000038044	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000018039	ENSMSIG00000015391	Mus_spicilegus
MGP_CAROLIEiJ_P0067032	MGP_CAROLIEiJ_G0027030	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0048480	MGP_PahariEiJ_G0021803	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000067222	ENSRNOG00000050369	Rattus_norvegicus
ENSRNOP00000066908	ENSRNOG00000047114	Rattus_norvegicus
ENSMUGP00000012611	ENSMUGG00000010964	Meriones_unguiculatus
ENSNGAP00000026691	ENSNGAG00000024263	Nannospalax_galili
ENSCCNP00000001926	ENSCCNG00000002126	Castor_canadensis
ENSCPOP00000019865	ENSCPOG00000020546	Cavia_porcellus
ENSCAPP00000016711	ENSCAPG00000016548	Cavia_aperea
ENSCLAP00000003135	ENSCLAG00000002244	Chinchilla_lanigera
ENSFDAP00000021481	ENSFDAG00000007675	Fukomys_damarensis
ENSMMMP00000005357	ENSMMMG00000004866	Marmota_marmota_marmota
ENSSTOP00000019735	ENSSTOG00000025875	Ictidomys_tridecemlineatus
ENSUPAP00010014833	ENSUPAG00010011886	Urocitellus_parryii
ENSSDAP00000022015	ENSSDAG00000020022	Spermophilus_dauricus
ENSOCUP00000024240	ENSOCUG00000000742	Oryctolagus_cuniculus
ENSOPRP00000000940	ENSOPRG00000001029	Ochotona_princeps
ENSPSMP00000014097	ENSPSMG00000010105	Prolemur_simus
ENSOGAP00000016903	ENSOGAG00000028124	Otolemur_garnettii
ENSPTRP00000049878	ENSPTRG00000029530	Pan_troglodytes
ENSPTRP00000092933	ENSPTRG00000051573	Pan_troglodytes
ENSPPAP00000005578	ENSPPAG00000023013	Pan_paniscus
ENSP00000353048	ENSG00000198445	Homo_sapiens
ENSPTRP00000093950	ENSPTRG00000044901	Pan_troglodytes
ENSPPYP00000020411	ENSPPYG00000018204	Pongo_abelii
ENSMMUP00000075400	ENSMMUG00000062061	Macaca_mulatta
ENSCSAP00000019025	ENSCSAG00000019526	Chlorocebus_sabaeus
ENSTGEP00000007304	ENSTGEG00000005985	Theropithecus_gelada
ENSPTEP00000001115	ENSPTEG00000001216	Piliocolobus_tephrosceles
ENSANAP00000000398	ENSANAG00000003264	Aotus_nancymaae
ENSUAMP00000035489	ENSUAMG00000026949	Ursus_americanus
ENSAMEP00000020581	ENSAMEG00000019534	Ailuropoda_melanoleuca
ENSMPUP00000019841	ENSMPUG00000019972	Mustela_putorius_furo
ENSNVIP00000000842	ENSNVIG00000000744	Neovison_vison
ENSCAFP00000007378	ENSCAFG00000004961	Canis_lupus_familiaris
ENSCAFP00020006642	ENSCAFG00020005377	Canis_lupus_dingo
ENSVVUP00000009850	ENSVVUG00000007289	Vulpes_vulpes
ENSFCAP00000033250	ENSFCAG00000037662	Felis_catus
ENSPPRP00000026220	ENSPPRG00000016812	Panthera_pardus
ENSBIXP00005034494	ENSBIXG00005007318	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000047635	ENSBTAG00000014871	Bos_taurus
ENSCHIP00000006510	ENSCHIG00000010339	Capra_hircus
ENSOARP00000006217	ENSOARG00000005797	Ovis_aries
ENSSSCP00000017408	ENSSSCG00000016428	Sus_scrofa_strain_reference
ENSMLUP00000019168	ENSMLUG00000000062	Myotis_lucifugus
ENSEASP00005002194	ENSEASG00005001720	Equus_asinus_asinus
ENSECAP00000039162	ENSECAG00000029961	Equus_caballus
ENSSARP00000011718	ENSSARG00000012976	Sorex_araneus
ENSPCIP00000015971	ENSPCIG00000012384	Phascolarctos_cinereus
ENSVURP00010010733	ENSVURG00010008290	Vombatus_ursinus
ENSMEUP00000009368	ENSMEUG00000010278	Notamacropus_eugenii
ENSMODP00000026981	ENSMODG00000022587	Monodelphis_domestica
ENSSHAP00000015412	ENSSHAG00000013137	Sarcophilus_harrisii
ENSCABP00000013923	ENSCABG00000010387	Chelonoidis_abingdonii
ENSCPBP00000017289	ENSCPBG00000012677	Chrysemys_picta_bellii
ENSPSIP00000016216	ENSPSIG00000014466	Pelodiscus_sinensis
ENSCPRP00005004088	ENSCPRG00005003003	Crocodylus_porosus
ENSPVIP00000017424	ENSPVIG00000013398	Pogona_vitticeps
ENSACAP00000009738	ENSACAG00000009947	Anolis_carolinensis
ENSNSUP00000002075	ENSNSUG00000001762	Notechis_scutatus
ENSSMRP00000003902	ENSSMRG00000003258	Salvator_merianae
