ENSCHIP00000024145	ENSCHIG00000021448	Capra_hircus
ENSTBEP00000005487	ENSTBEG00000006371	Tupaia_belangeri
ENSPSMP00000008041	ENSPSMG00000005939	Prolemur_simus
ENSANAP00000023316	ENSANAG00000029409	Aotus_nancymaae
ENSFCAP00000041233	ENSFCAG00000029487	Felis_catus
ENSSHAP00000009599	ENSSHAG00000008305	Sarcophilus_harrisii
ENSDNOP00000022120	ENSDNOG00000044124	Dasypus_novemcinctus
ENSOANP00000006411	ENSOANG00000004043	Ornithorhynchus_anatinus
ENSBIXP00005031426	ENSBIXG00005011774	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSDNOP00000024841	ENSDNOG00000035105	Dasypus_novemcinctus
ENSVURP00010019687	ENSVURG00010015026	Vombatus_ursinus
ENSECAP00000010387	ENSECAG00000012190	Equus_caballus
ENSSDAP00000004369	ENSSDAG00000003681	Spermophilus_dauricus
ENSCAFP00020001906	ENSCAFG00020001647	Canis_lupus_dingo
ENSBMUP00000035885	ENSBMUG00000026656	Bos_mutus
ENSPTRP00000037055	ENSPTRG00000021630	Pan_troglodytes	ENSPTRT00000040102
ENSHGLP00000000424	ENSHGLG00000000397	Heterocephalus_glaber_HetGla_female_1.0
ENSMNEP00000042171	ENSMNEG00000043860	Macaca_nemestrina
ENSMICP00000044179	ENSMICG00000005658	Microcebus_murinus
ENSMODP00000000036	ENSMODG00000000036	Monodelphis_domestica
ENSMPUP00000001102	ENSMPUG00000001111	Mustela_putorius_furo
ENSRROP00000031406	ENSRROG00000039400	Rhinopithecus_roxellana
ENSNVIP00000019045	ENSNVIG00000014924	Neovison_vison
ENSOANP00000006408	ENSOANG00000004042	Ornithorhynchus_anatinus
ENSBTAP00000061003	ENSBTAG00000047161	Bos_taurus
ENSPCIP00000004174	ENSPCIG00000003397	Phascolarctos_cinereus
ENSCHOP00000004681	ENSCHOG00000005283	Choloepus_hoffmanni
ENSPPRP00000029658	ENSPPRG00000022385	Panthera_pardus
ENSPANP00000001785	ENSPANG00000005367	Papio_anubis
ENSUPAP00010014627	ENSUPAG00010011722	Urocitellus_parryii
ENSPTIP00000002286	ENSPTIG00000005340	Panthera_tigris_altaica
ENSCCAP00000013098	ENSCCAG00000024361	Cebus_capucinus_imitator
ENSSBOP00000004682	ENSSBOG00000018987	Saimiri_boliviensis_boliviensis
ENSPPAP00000030849	ENSPPAG00000038371	Pan_paniscus	ENSPPAT00000053713
ENSNLEP00000036640	ENSNLEG00000030550	Nomascus_leucogenys	ENSNLET00000040756
ENSPCOP00000017012	ENSPCOG00000020300	Propithecus_coquereli
ENSMMUP00000056170	ENSMMUG00000043795	Macaca_mulatta
ENSMEUP00000003960	ENSMEUG00000004353	Notamacropus_eugenii
ENSRBIP00000022663	ENSRBIG00000035279	Rhinopithecus_bieti
ENSCATP00000023633	ENSCATG00000035369	Cercocebus_atys
ENSHGLP00100006277	ENSHGLG00100004718	Heterocephalus_glaber_HetGla_1.0
ENSBBBP00000006663	ENSBBBG00000003630	Bison_bison_bison
ENSMEUP00000000395	ENSMEUG00000000427	Notamacropus_eugenii
ENSBIXP00000026708	ENSBIXG00000029590	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOARP00000009294	ENSOARG00000008660	Ovis_aries
ENSUAMP00000034026	ENSUAMG00000025923	Ursus_americanus
ENSMFAP00000007073	ENSMFAG00000033934	Macaca_fascicularis
ENSMLUP00000019625	ENSMLUG00000026044	Myotis_lucifugus
ENSCANP00000022011	ENSCANG00000034446	Colobus_angolensis_palliatus
ENSCGRP00015033900	ENSCGRG00015025115	Cricetulus_griseus_CriGri-PICR
ENSMMMP00000028292	ENSMMMG00000024653	Marmota_marmota_marmota
ENSPPYP00000022476	ENSPPYG00000020095	Pongo_abelii	ENSPPYT00000023433
ENSPTEP00000002317	ENSPTEG00000002727	Piliocolobus_tephrosceles
ENSPEMP00000029660	ENSPEMG00000028468	Peromyscus_maniculatus_bairdii
ENSCSAP00000011646	ENSCSAG00000015609	Chlorocebus_sabaeus
ENSCAFP00000058533	ENSCAFG00000024515	Canis_lupus_familiaris
ENSCCNP00000010985	ENSCCNG00000011381	Castor_canadensis
ENSVURP00010019698	ENSVURG00010015037	Vombatus_ursinus
ENSMLEP00000002709	ENSMLEG00000011210	Mandrillus_leucophaeus
ENSLAFP00000002438	ENSLAFG00000002925	Loxodonta_africana
ENSP00000370522	ENSG00000205667	Homo_sapiens	ENST00000381130
ENSPCIP00000004178	ENSPCIG00000003430	Phascolarctos_cinereus
ENSMODP00000040644	ENSMODG00000000044	Monodelphis_domestica
ENSOGAP00000005585	ENSOGAG00000006252	Otolemur_garnettii
ENSAMEP00000005751	ENSAMEG00000005400	Ailuropoda_melanoleuca
ENSVVUP00000010547	ENSVVUG00000007784	Vulpes_vulpes
ENSTGEP00000015616	ENSTGEG00000012603	Theropithecus_gelada
ENSPVAP00000015595	ENSPVAG00000016527	Pteropus_vampyrus
ENSLAFP00000017325	ENSLAFG00000023063	Loxodonta_africana
ENSUMAP00000026249	ENSUMAG00000019112	Ursus_maritimus
ENSGGOP00000012732	ENSGGOG00000013050	Gorilla_gorilla	ENSGGOT00000013099
ENSCJAP00000029099	ENSCJAG00000015803	Callithrix_jacchus
ENSEASP00005027507	ENSEASG00005018718	Equus_asinus_asinus
ENSMICP00000008863	ENSMICG00000009734	Microcebus_murinus
ENSTSYP00000003161	ENSTSYG00000003459	Carlito_syrichta
