ENSDCDP00000035603	ENSDCDG00000023876	Denticeps_clupeoides	ENSDCDT00000045463
ENSCHAP00000040023	ENSCHAG00000018619	Clupea_harengus	ENSCHAT00000043322
ENSEEEP00000037459	ENSEEEG00000017811	Electrophorus_electricus
ENSIPUP00000035330	ENSIPUG00000023686	Ictalurus_punctatus
ENSAMXP00000046156	ENSAMXG00000020289	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000036065
ENSAMXP00005026278	ENSAMXG00005013260	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000027797	ENSPNAG00000013331	Pygocentrus_nattereri
ENSDARP00000121321	ENSDARG00000005092	Danio_rerio
ENSMALP00000000430	ENSMALG00000000388	Monopterus_albus
ENSMAMP00000012714	ENSMAMG00000008627	Mastacembelus_armatus
ENSATEP00000009860	ENSATEG00000006943	Anabas_testudineus
ENSBSLP00000054110	ENSBSLG00000025378	Betta_splendens
ENSSLDP00000018731	ENSSLDG00000014726	Seriola_lalandi_dorsalis
ENSSDUP00000014422	ENSSDUG00000010528	Seriola_dumerili
ENSLCAP00010057315	ENSLCAG00010026743	Lates_calcarifer
ENSSMAP00000019273	ENSSMAG00000011818	Scophthalmus_maximus
ENSCSEP00000013382	ENSCSEG00000008635	Cynoglossus_semilaevis
ENSPMGP00000008571	ENSPMGG00000007092	Periophthalmus_magnuspinnatus
ENSCGOP00000000767	ENSCGOG00000000486	Cottoperca_gobio
ENSGACP00000019627	ENSGACG00000014864	Gasterosteus_aculeatus
ENSLCRP00005058387	ENSLCRG00005021671	Larimichthys_crocea
ENSLBEP00000000145	ENSLBEG00000000128	Labrus_bergylta
ENSTNIP00000014853	ENSTNIG00000011895	Tetraodon_nigroviridis
ENSTRUP00000021597	ENSTRUG00000008611	Takifugu_rubripes
ENSMMOP00000020615	ENSMMOG00000015693	Mola_mola
ENSAOCP00000031256	ENSAOCG00000022798	Amphiprion_ocellaris
ENSAPEP00000000918	ENSAPEG00000000700	Amphiprion_percula
ENSAPOP00000013836	ENSAPOG00000016644	Acanthochromis_polyacanthus
ENSSPAP00000015467	ENSSPAG00000011663	Stegastes_partitus
ENSPRNP00000039925	ENSPRNG00000019644	Parambassis_ranga
ENSPREP00000005521	ENSPREG00000003844	Poecilia_reticulata
ENSPLAP00000027720	ENSPLAG00000016548	Poecilia_latipinna
ENSPMEP00000002476	ENSPMEG00000003531	Poecilia_mexicana
ENSPFOP00000029794	ENSPFOG00000000864	Poecilia_formosa
ENSXMAP00000011956	ENSXMAG00000011928	Xiphophorus_maculatus
ENSGAFP00000000401	ENSGAFG00000000323	Gambusia_affinis
ENSCVAP00000032889	ENSCVAG00000023276	Cyprinodon_variegatus
ENSFHEP00000000773	ENSFHEG00000001510	Fundulus_heteroclitus
ENSKMAP00000002122	ENSKMAG00000001614	Kryptolebias_marmoratus
ENSORLP00000018806	ENSORLG00000015006	Oryzias_latipes_ASM223467v1
ENSORLP00020032237	ENSORLG00020017681	Oryzias_latipes_ASM223471v1
ENSORLP00015031352	ENSORLG00015015571	Oryzias_latipes_ASM223469v1
ENSOMEP00000017974	ENSOMEG00000019651	Oryzias_melastigma
ENSGWIP00000043901	ENSGWIG00000021887	Gouania_willdenowi
ENSHBUP00000017278	ENSHBUG00000019298	Haplochromis_burtoni
ENSACLP00000031167	ENSACLG00000021129	Astatotilapia_calliptera
ENSMZEP00005005827	ENSMZEG00005004500	Maylandia_zebra
ENSPNYP00000009688	ENSPNYG00000007321	Pundamilia_nyererei
ENSONIP00000003905	ENSONIG00000003116	Oreochromis_niloticus
ENSNBRP00000006710	ENSNBRG00000005241	Neolamprologus_brichardi
ENSACIP00000010033	ENSACIG00000007852	Amphilophus_citrinellus
ENSHCOP00000019977	ENSHCOG00000005696	Hippocampus_comes
ENSGMOP00000019901	ENSGMOG00000018484	Gadus_morhua
ENSELUP00000038241	ENSELUG00000018075	Esox_lucius
ENSPKIP00000002864	ENSPKIG00000020582	Paramormyrops_kingsleyae
ENSSFOP00015017726	ENSSFOG00015011398	Scleropages_formosus
