ENSPSMP00000027794	ENSPSMG00000019382	Prolemur_simus
ENSPVAP00000014015	ENSPVAG00000014870	Pteropus_vampyrus
ENSGAGP00000027283	ENSGAGG00000019837	Gopherus_agassizii	ENSGAGT00000030991
ENSLOCP00000020376	ENSLOCG00000016497	Lepisosteus_oculatus
ENSPMEP00000006544	ENSPMEG00000008064	Poecilia_mexicana
ENSATEP00000001900	ENSATEG00000001360	Anabas_testudineus
ENSCGRP00000005912	ENSCGRG00000004336	Cricetulus_griseus_CriGri_1.0
ENSXCOP00000000755	ENSXCOG00000000638	Xiphophorus_couchianus
ENSSPAP00000015578	ENSSPAG00000011752	Stegastes_partitus
ENSGGOP00000008064	ENSGGOG00000008246	Gorilla_gorilla
ENSORLP00020006587	ENSORLG00020007452	Oryzias_latipes_ASM223471v1
ENSACLP00000004547	ENSACLG00000003024	Astatotilapia_calliptera
ENSLACP00000002612	ENSLACG00000002337	Latimeria_chalumnae
ENSAMXP00005004323	ENSAMXG00005002627	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSABRP00000002803	ENSABRG00000002682	Anser_brachyrhynchus
ENSPREP00000003073	ENSPREG00000002230	Poecilia_reticulata
ENSCMIP00000021863	ENSCMIG00000009920	Callorhinchus_milii
ENSMOCP00000020146	ENSMOCG00000017906	Microtus_ochrogaster
ENSNSUP00000002270	ENSNSUG00000001915	Notechis_scutatus
ENSUAMP00000029069	ENSUAMG00000022375	Ursus_americanus
ENSPFOP00000000423	ENSPFOG00000000466	Poecilia_formosa
ENSORLP00000026230	ENSORLG00000023777	Oryzias_latipes_ASM223467v1
ENSORLP00015002222	ENSORLG00015002869	Oryzias_latipes_ASM223469v1
ENSPLAP00000011618	ENSPLAG00000014745	Poecilia_latipinna
ENSPPAP00000001715	ENSPPAG00000007846	Pan_paniscus
ENSPMEP00000033073	ENSPMEG00000021377	Poecilia_mexicana
ENSDORP00000002401	ENSDORG00000002553	Dipodomys_ordii
ENSSFOP00015022156	ENSSFOG00015014263	Scleropages_formosus
ENSPPAP00000023308	ENSPPAG00000034811	Pan_paniscus
ENSCVAP00000030554	ENSCVAG00000019165	Cyprinodon_variegatus
ENSETEP00000000834	ENSETEG00000001030	Echinops_telfairi
ENSTRUP00000049670	ENSTRUG00000021997	Takifugu_rubripes
ENSSLDP00000024988	ENSSLDG00000019430	Seriola_lalandi_dorsalis
ENSACIP00000029225	ENSACIG00000022630	Amphilophus_citrinellus
ENSORLP00015002137	ENSORLG00015000908	Oryzias_latipes_ASM223469v1
ENSDARP00000113889	ENSDARG00000093008	Danio_rerio
ENSELUP00000027846	ENSELUG00000004225	Esox_lucius
ENSEEEP00000021352	ENSEEEG00000010404	Electrophorus_electricus
ENSFHEP00000028113	ENSFHEG00000012003	Fundulus_heteroclitus
ENSEBUP00000024239	ENSEBUG00000014934	Eptatretus_burgeri	ENSEBUT00000024815
ENSCANP00000006151	ENSCANG00000020571	Colobus_angolensis_palliatus
ENSMLUP00000004979	ENSMLUG00000005455	Myotis_lucifugus
ENSAPOP00000032784	ENSAPOG00000000598	Acanthochromis_polyacanthus
ENSMZEP00005032405	ENSMZEG00005024142	Maylandia_zebra
ENSECAP00000036662	ENSECAG00000011109	Equus_caballus
ENSSMAP00000004017	ENSSMAG00000002485	Scophthalmus_maximus
ENSRROP00000039142	ENSRROG00000042902	Rhinopithecus_roxellana
ENSPCOP00000006934	ENSPCOG00000014671	Propithecus_coquereli
ENSMUSP00000109229	ENSMUSG00000056492	Mus_musculus_strain_reference_(CL57BL6)
ENSUMAP00000006495	ENSUMAG00000005086	Ursus_maritimus
ENSCAFP00000066637	ENSCAFG00000002054	Canis_lupus_familiaris
ENSPRNP00000043770	ENSPRNG00000021355	Parambassis_ranga
ENSCHAP00000006743	ENSCHAG00000004193	Clupea_harengus
ENSCHAP00000006666	ENSCHAG00000004128	Clupea_harengus
ENSGMOP00000017332	ENSGMOG00000016153	Gadus_morhua
ENSBSLP00000012981	ENSBSLG00000006793	Betta_splendens
ENSMALP00000025145	ENSMALG00000017501	Monopterus_albus
ENSLCAP00010013453	ENSLCAG00010006393	Lates_calcarifer
ENSRNOP00000071238	ENSRNOG00000011154	Rattus_norvegicus
ENSPNAP00000024446	ENSPNAG00000009012	Pygocentrus_nattereri
ENSPSIP00000020177	ENSPSIG00000017878	Pelodiscus_sinensis
ENSNBRP00000008959	ENSNBRG00000007011	Neolamprologus_brichardi
ENSGMOP00000003052	ENSGMOG00000002903	Gadus_morhua
ENSMVIP00005001828	ENSMVIG00005001437	Manacus_vitellinus
ENSAMXP00005004369	ENSAMXG00005002662	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPMGP00000000405	ENSPMGG00000000410	Periophthalmus_magnuspinnatus
ENSAPEP00000019130	ENSAPEG00000013647	Amphiprion_percula
ENSAPEP00000019138	ENSAPEG00000013665	Amphiprion_percula
ENSLBEP00000036496	ENSLBEG00000027310	Labrus_bergylta
ENSBIXP00005043924	ENSBIXG00005027719	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMMOP00000019998	ENSMMOG00000015192	Mola_mola
ENSPKIP00000031818	ENSPKIG00000012147	Paramormyrops_kingsleyae
ENSACIP00000030136	ENSACIG00000023322	Amphilophus_citrinellus
ENSMAMP00000008594	ENSMAMG00000005823	Mastacembelus_armatus
ENSPTEP00000009333	ENSPTEG00000010566	Piliocolobus_tephrosceles
ENSPKIP00000040421	ENSPKIG00000017394	Paramormyrops_kingsleyae
ENSJHYP00000023625	ENSJHYG00000017773	Junco_hyemalis
ENSBSLP00000014864	ENSBSLG00000007770	Betta_splendens
ENSLAFP00000007805	ENSLAFG00000009311	Loxodonta_africana
ENSJJAP00000011021	ENSJJAG00000014446	Jaculus_jaculus
ENSCLAP00000015606	ENSCLAG00000010731	Chinchilla_lanigera
ENSIPUP00000014800	ENSIPUG00000010013	Ictalurus_punctatus
ENSATEP00000021191	ENSATEG00000014721	Anabas_testudineus
ENSATEP00000021330	ENSATEG00000014805	Anabas_testudineus
ENSATEP00000022094	ENSATEG00000015331	Anabas_testudineus
ENSORLP00020006672	ENSORLG00020007543	Oryzias_latipes_ASM223471v1
ENSHCOP00000006060	ENSHCOG00000007789	Hippocampus_comes
ENSMAMP00000008484	ENSMAMG00000005731	Mastacembelus_armatus
ENSHBUP00000004641	ENSHBUG00000005984	Haplochromis_burtoni
ENSCGOP00000016067	ENSCGOG00000007737	Cottoperca_gobio
ENSACAP00000013145	ENSACAG00000013326	Anolis_carolinensis
ENSGGOP00000041818	ENSGGOG00000040688	Gorilla_gorilla
ENSACIP00000005689	ENSACIG00000004485	Amphilophus_citrinellus
ENSKMAP00000025877	ENSKMAG00000019176	Kryptolebias_marmoratus
ENSLBEP00000000744	ENSLBEG00000000618	Labrus_bergylta
ENSAOCP00000002378	ENSAOCG00000005479	Amphiprion_ocellaris
ENSCHAP00000007146	ENSCHAG00000004335	Clupea_harengus
ENSPREP00000029456	ENSPREG00000019937	Poecilia_reticulata
ENSORLP00020006827	ENSORLG00020007699	Oryzias_latipes_ASM223471v1
ENSPCIP00000037588	ENSPCIG00000027680	Phascolarctos_cinereus
ENSPRNP00000022437	ENSPRNG00000011497	Parambassis_ranga
ENSGMOP00000003888	ENSGMOG00000003583	Gadus_morhua
ENSCHAP00000006810	ENSCHAG00000004233	Clupea_harengus
ENSAPEP00000006511	ENSAPEG00000004683	Amphiprion_percula
ENSLACP00000008518	ENSLACG00000007537	Latimeria_chalumnae
ENSLBEP00000027071	ENSLBEG00000020567	Labrus_bergylta
ENSATEP00000022059	ENSATEG00000015282	Anabas_testudineus
MGP_SPRETEiJ_P0046721	MGP_SPRETEiJ_G0022540	Mus_spretus_strain_SPRET/EiJ
ENSMUGP00000008966	ENSMUGG00000008002	Meriones_unguiculatus
ENSMZEP00005016937	ENSMZEG00005012714	Maylandia_zebra
ENSSARP00000005660	ENSSARG00000006207	Sorex_araneus
ENSPREP00000029395	ENSPREG00000019900	Poecilia_reticulata
ENSSPAP00000015564	ENSSPAG00000011736	Stegastes_partitus
ENSCVAP00000023586	ENSCVAG00000007033	Cyprinodon_variegatus
ENSSDAP00000005205	ENSSDAG00000004773	Spermophilus_dauricus
ENSAMXP00000049468	ENSAMXG00000039738	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSONIP00000008706	ENSONIG00000006901	Oreochromis_niloticus
ENSXCOP00000013016	ENSXCOG00000009855	Xiphophorus_couchianus
ENSHHUP00000074100	ENSHHUG00000043474	Hucho_hucho
ENSATEP00000021091	ENSATEG00000014631	Anabas_testudineus
ENSNGAP00000026865	ENSNGAG00000024377	Nannospalax_galili
ENSPRNP00000043630	ENSPRNG00000021277	Parambassis_ranga
ENSCGOP00000015895	ENSCGOG00000007654	Cottoperca_gobio
ENSPMEP00000018413	ENSPMEG00000021348	Poecilia_mexicana
ENSONIP00000000286	ENSONIG00000000224	Oreochromis_niloticus
ENSMAUP00000001176	ENSMAUG00000000876	Mesocricetus_auratus
ENSMNEP00000044845	ENSMNEG00000044976	Macaca_nemestrina
ENSHBUP00000010630	ENSHBUG00000012183	Haplochromis_burtoni
ENSATEP00000021970	ENSATEG00000015239	Anabas_testudineus
ENSORLP00020006525	ENSORLG00020007374	Oryzias_latipes_ASM223471v1
