ENSZALP00000001086	ENSZALG00000001320	Zonotrichia_albicollis
ENSJHYP00000016262	ENSJHYG00000012444	Junco_hyemalis
ENSSCAP00000023431	ENSSCAG00000016798	Serinus_canaria
ENSTGUP00000007670	ENSTGUG00000007439	Taeniopygia_guttata
ENSLSDP00000012068	ENSLSDG00000008834	Lonchura_striata_domestica
ENSFALP00000012579	ENSFALG00000012033	Ficedula_albicollis
ENSPMJP00000015120	ENSPMJG00000011461	Parus_major
ENSCCEP00000000994	ENSCCEG00000001253	Cyanistes_caeruleus
ENSMVIP00005006650	ENSMVIG00005005002	Manacus_vitellinus
ENSLCOP00000019580	ENSLCOG00000013866	Lepidothrix_coronata
ENSCPGP00000001844	ENSCPGG00000001388	Calidris_pygmaea
ENSCPUP00000019937	ENSCPUG00000013654	Calidris_pugnax
ENSMUNP00000015289	ENSMUNG00000011823	Melopsittacus_undulatus
ENSCJPP00005017508	ENSCJPG00005014280	Coturnix_japonica
ENSMGAP00000002042	ENSMGAG00000002440	Meleagris_gallopavo
ENSGALP00000048060	ENSGALG00000005842	Gallus_gallus
ENSNMEP00000017900	ENSNMEG00000015597	Numida_meleagris
ENSMGAP00000019517	ENSMGAG00000016828	Meleagris_gallopavo
ENSAPLP00000020211	ENSAPLG00000012224	Anas_platyrhynchos_platyrhynchos
ENSABRP00000022535	ENSABRG00000019068	Anser_brachyrhynchus
ENSAOWP00000024369	ENSAOWG00000016436	Apteryx_owenii
ENSAHAP00000025197	ENSAHAG00000017575	Apteryx_haastii
ENSARWP00000017891	ENSARWG00000012304	Apteryx_rowi
ENSDNVP00000024946	ENSDNVG00000017342	Dromaius_novaehollandiae
ENSNPEP00000001524	ENSNPEG00000001101	Nothoprocta_perdicaria
ENSCPRP00005007704	ENSCPRG00005005445	Crocodylus_porosus
ENSGAGP00000027870	ENSGAGG00000020249	Gopherus_agassizii
ENSCABP00000029061	ENSCABG00000021337	Chelonoidis_abingdonii
ENSCPBP00000023430	ENSCPBG00000016737	Chrysemys_picta_bellii
ENSPVIP00000027863	ENSPVIG00000020688	Pogona_vitticeps
ENSACAP00000015029	ENSACAG00000015258	Anolis_carolinensis
ENSNSUP00000016558	ENSNSUG00000012215	Notechis_scutatus
ENSSMRP00000004826	ENSSMRG00000003965	Salvator_merianae
ENSSPUP00000000828	ENSSPUG00000000612	Sphenodon_punctatus
