ENSPMAP00000000811	ENSPMAG00000000740	Petromyzon_marinus	ENSPMAT00000000813
ENSEBUP00000008440	ENSEBUG00000005443	Eptatretus_burgeri	ENSEBUT00000008943
ENSHCOP00000008328	ENSHCOG00000010601	Hippocampus_comes
ENSCSEP00000001538	ENSCSEG00000001034	Cynoglossus_semilaevis	ENSCSET00000001568
ENSORLP00020010577	ENSORLG00020000936	Oryzias_latipes_ASM223471v1
ENSORLP00015010381	ENSORLG00015011238	Oryzias_latipes_ASM223469v1
ENSORLP00000012927	ENSORLG00000010314	Oryzias_latipes_ASM223467v1
ENSFHEP00000014978	ENSFHEG00000016846	Fundulus_heteroclitus
ENSHHUP00000071002	ENSHHUG00000041739	Hucho_hucho
ENSAPEP00000023114	ENSAPEG00000016371	Amphiprion_percula
ENSAOCP00000024295	ENSAOCG00000011047	Amphiprion_ocellaris
ENSAPOP00000027174	ENSAPOG00000011604	Acanthochromis_polyacanthus
ENSSPAP00000001894	ENSSPAG00000001445	Stegastes_partitus
ENSPRNP00000028056	ENSPRNG00000014017	Parambassis_ranga
ENSACLP00000040948	ENSACLG00000027568	Astatotilapia_calliptera
ENSPNYP00000008575	ENSPNYG00000006502	Pundamilia_nyererei
ENSHBUP00000013355	ENSHBUG00000015187	Haplochromis_burtoni
ENSMZEP00005029566	ENSMZEG00005022048	Maylandia_zebra
ENSNBRP00000022182	ENSNBRG00000016979	Neolamprologus_brichardi
ENSONIP00000007454	ENSONIG00000005921	Oreochromis_niloticus
ENSACIP00000023751	ENSACIG00000018414	Amphilophus_citrinellus
ENSXMAP00000002570	ENSXMAG00000002552	Xiphophorus_maculatus	ENSXMAT00000002575
ENSXCOP00000015125	ENSXCOG00000011454	Xiphophorus_couchianus	ENSXCOT00000015314
ENSGAFP00000005224	ENSGAFG00000003498	Gambusia_affinis	ENSGAFT00000005284
ENSPFOP00000015146	ENSPFOG00000014991	Poecilia_formosa	ENSPFOT00000015168
ENSPMEP00000011975	ENSPMEG00000014219	Poecilia_mexicana	ENSPMET00000031617
ENSPLAP00000004717	ENSPLAG00000006511	Poecilia_latipinna	ENSPLAT00000009178
ENSPREP00000013543	ENSPREG00000009187	Poecilia_reticulata	ENSPRET00000013683
ENSCVAP00000021035	ENSCVAG00000002811	Cyprinodon_variegatus	ENSCVAT00000012833
ENSKMAP00000016547	ENSKMAG00000012309	Kryptolebias_marmoratus	ENSKMAT00000016780
