ENSCHAP00000053145	ENSCHAG00000024088	Clupea_harengus	ENSCHAT00000057325
ENSPCIP00000017228	ENSPCIG00000013216	Phascolarctos_cinereus
ENSTNIP00000019532	ENSTNIG00000016434	Tetraodon_nigroviridis
ENSACLP00000017651	ENSACLG00000012067	Astatotilapia_calliptera
ENSATEP00000028472	ENSATEG00000019638	Anabas_testudineus
ENSLCOP00000010577	ENSLCOG00000007655	Lepidothrix_coronata
ENSMSIP00000014867	ENSMSIG00000012586	Mus_spicilegus
ENSGAFP00000002560	ENSGAFG00000001764	Gambusia_affinis
ENSABRP00000009119	ENSABRG00000008158	Anser_brachyrhynchus
ENSPKIP00000035338	ENSPKIG00000014339	Paramormyrops_kingsleyae
ENSAMXP00005004723	ENSAMXG00005002189	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPCOP00000017190	ENSPCOG00000020396	Propithecus_coquereli
ENSSDAP00000013174	ENSSDAG00000011741	Spermophilus_dauricus
ENSOARP00000015952	ENSOARG00000014867	Ovis_aries
ENSCGRP00015018044	ENSCGRG00015013725	Cricetulus_griseus_CriGri-PICR
ENSPCAP00000004410	ENSPCAG00000004639	Procavia_capensis
ENSSBOP00000037679	ENSSBOG00000034934	Saimiri_boliviensis_boliviensis
ENSPMAP00000002186	ENSPMAG00000001973	Petromyzon_marinus
ENSPPAP00000021560	ENSPPAG00000033989	Pan_paniscus
ENSBSLP00000014240	ENSBSLG00000007047	Betta_splendens
ENSHBUP00000021915	ENSHBUG00000001900	Haplochromis_burtoni
ENSPMEP00000013475	ENSPMEG00000015801	Poecilia_mexicana
ENSAHAP00000004245	ENSAHAG00000003306	Apteryx_haastii
ENSTNIP00000008364	ENSTNIG00000005657	Tetraodon_nigroviridis
ENSPRNP00000013102	ENSPRNG00000005284	Parambassis_ranga
ENSBMUP00000003620	ENSBMUG00000002868	Bos_mutus
ENSHGLP00100016797	ENSHGLG00100012395	Heterocephalus_glaber_HetGla_1.0
ENSACAP00000010450	ENSACAG00000010533	Anolis_carolinensis
ENSLBEP00000018675	ENSLBEG00000014307	Labrus_bergylta
ENSMUGP00000012863	ENSMUGG00000011152	Meriones_unguiculatus
ENSSHAP00000018866	ENSSHAG00000016015	Sarcophilus_harrisii
ENSCABP00000026212	ENSCABG00000019035	Chelonoidis_abingdonii
ENSOMEP00000032995	ENSOMEG00000018740	Oryzias_melastigma
ENSONIP00000018167	ENSONIG00000014449	Oreochromis_niloticus
ENSTRUP00000035905	ENSTRUG00000014036	Takifugu_rubripes
ENSLCAP00010008576	ENSLCAG00010003952	Lates_calcarifer
ENSLAFP00000013251	ENSLAFG00000015797	Loxodonta_africana
ENSECRP00000009975	ENSECRG00000006670	Erpetoichthys_calabaricus
ENSPLAP00000010805	ENSPLAG00000013819	Poecilia_latipinna
ENSTBEP00000006073	ENSTBEG00000007001	Tupaia_belangeri
ENSHGLP00000006036	ENSHGLG00000004412	Heterocephalus_glaber_HetGla_female_1.0
ENSPFOP00000000700	ENSPFOG00000000563	Poecilia_formosa
ENSHHUP00000013837	ENSHHUG00000008240	Hucho_hucho
ENSHBUP00000000679	ENSHBUG00000001875	Haplochromis_burtoni
ENSP00000265081	ENSG00000113318	Homo_sapiens
ENSMMMP00000008697	ENSMMMG00000007726	Marmota_marmota_marmota
ENSCGRP00001010292	ENSCGRG00001012207	Cricetulus_griseus_CHOK1GS_HDv1
ENSPREP00000018450	ENSPREG00000012499	Poecilia_reticulata
ENSGGOP00000008525	ENSGGOG00000008712	Gorilla_gorilla
ENSOANP00000002565	ENSOANG00000001605	Ornithorhynchus_anatinus
MGP_PahariEiJ_P0026750	MGP_PahariEiJ_G0015846	Mus_pahari_strain_PAHARI_EIJ
ENSGAGP00000008803	ENSGAGG00000006964	Gopherus_agassizii
ENSPPYP00000017440	ENSPPYG00000015601	Pongo_abelii
ENSMICP00000014774	ENSMICG00000016187	Microcebus_murinus
ENSSCAP00000012559	ENSSCAG00000009385	Serinus_canaria
ENSCPUP00000019417	ENSCPUG00000013370	Calidris_pugnax
ENSARWP00000008285	ENSARWG00000005808	Apteryx_rowi
ENSMVIP00005027093	ENSMVIG00005018880	Manacus_vitellinus
ENSCJAP00000036318	ENSCJAG00000019548	Callithrix_jacchus
ENSAMEP00000016641	ENSAMEG00000015754	Ailuropoda_melanoleuca
ENSSSCP00000040629	ENSSSCG00000014126	Sus_scrofa_strain_reference
ENSMODP00000025349	ENSMODG00000020264	Monodelphis_domestica
ENSKMAP00000003197	ENSKMAG00000002204	Kryptolebias_marmoratus
MGP_SPRETEiJ_P0036759	MGP_SPRETEiJ_G0019651	Mus_spretus_strain_SPRET/EiJ
ENSIPUP00000027738	ENSIPUG00000018762	Ictalurus_punctatus
ENSXMAP00000034984	ENSXMAG00000012701	Xiphophorus_maculatus
ENSLOCP00000006306	ENSLOCG00000005233	Lepisosteus_oculatus
ENSGALP00000025089	ENSGALG00000015589	Gallus_gallus
ENSTSYP00000005403	ENSTSYG00000005906	Carlito_syrichta
ENSOANP00000032898	ENSOANG00000030259	Ornithorhynchus_anatinus
ENSVPAP00000008760	ENSVPAG00000009414	Vicugna_pacos
ENSNSUP00000005796	ENSNSUG00000004670	Notechis_scutatus
ENSDNOP00000004611	ENSDNOG00000005942	Dasypus_novemcinctus
ENSCJPP00005000641	ENSCJPG00005000723	Coturnix_japonica
ENSFCAP00000005279	ENSFCAG00000005686	Felis_catus
ENSAOWP00000012010	ENSAOWG00000008235	Apteryx_owenii
ENSPTEP00000039145	ENSPTEG00000036267	Piliocolobus_tephrosceles
ENSPVAP00000008406	ENSPVAG00000008907	Pteropus_vampyrus
ENSMALP00000027855	ENSMALG00000019317	Monopterus_albus
ENSMMMP00000008371	ENSMMMG00000007490	Marmota_marmota_marmota
ENSMGAP00000008521	ENSMGAG00000008310	Meleagris_gallopavo
ENSELUP00000025306	ENSELUG00000024211	Esox_lucius
ENSEASP00005003572	ENSEASG00005002611	Equus_asinus_asinus
ENSMEUP00000003996	ENSMEUG00000004375	Notamacropus_eugenii
ENSSTOP00000017843	ENSSTOG00000025220	Ictidomys_tridecemlineatus
ENSCAPP00000016576	ENSCAPG00000016437	Cavia_aperea
ENSMMUP00000045732	ENSMMUG00000018284	Macaca_mulatta
ENSSMAP00000008923	ENSSMAG00000005517	Scophthalmus_maximus
ENSFALP00000013378	ENSFALG00000012814	Ficedula_albicollis
ENSAPEP00000025839	ENSAPEG00000018385	Amphiprion_percula
ENSPPRP00000026912	ENSPPRG00000018081	Panthera_pardus
ENSAPOP00000001566	ENSAPOG00000002868	Acanthochromis_polyacanthus
ENSGAGP00000011862	ENSGAGG00000009137	Gopherus_agassizii
ENSRNOP00000018449	ENSRNOG00000013673	Rattus_norvegicus
ENSPEMP00000000295	ENSPEMG00000000200	Peromyscus_maniculatus_bairdii
ENSNGAP00000012467	ENSNGAG00000014298	Nannospalax_galili
ENSMMOP00000017014	ENSMMOG00000012964	Mola_mola
ENSCVAP00000003028	ENSCVAG00000004211	Cyprinodon_variegatus
ENSJJAP00000021656	ENSJJAG00000021941	Jaculus_jaculus
ENSCANP00000036607	ENSCANG00000041965	Colobus_angolensis_palliatus
ENSMOCP00000020990	ENSMOCG00000018492	Microtus_ochrogaster
ENSNVIP00000002015	ENSNVIG00000000962	Neovison_vison
ENSHGLP00100002109	ENSHGLG00100001646	Heterocephalus_glaber_HetGla_1.0
ENSSFOP00015015020	ENSSFOG00015009599	Scleropages_formosus
ENSNPEP00000021433	ENSNPEG00000015896	Nothoprocta_perdicaria
ENSLACP00000003956	ENSLACG00000003521	Latimeria_chalumnae
ENSORLP00015013340	ENSORLG00015014224	Oryzias_latipes_ASM223469v1
ENSOCUP00000014543	ENSOCUG00000016921	Oryctolagus_cuniculus
ENSFHEP00000019572	ENSFHEG00000021546	Fundulus_heteroclitus
YCR092C_mRNA	YCR092C	Saccharomyces_cerevisiae_strain_S288C
ENSCHIP00000032746	ENSCHIG00000026585	Capra_hircus
ENSMUSP00000140002	ENSMUSG00000014850	Mus_musculus_strain_reference_(CL57BL6)
ENSAPLP00000006745	ENSAPLG00000007056	Anas_platyrhynchos_platyrhynchos
ENSEEEP00000028558	ENSEEEG00000013708	Electrophorus_electricus
ENSXMAP00000038619	ENSXMAG00000016720	Xiphophorus_maculatus
ENSTGUP00000007308	ENSTGUG00000007102	Taeniopygia_guttata
