ENSLACP00000022698	ENSLACG00000022314	Latimeria_chalumnae	ENSLACT00000025814
ENSXETP00000013750	ENSXETG00000000934	Xenopus_tropicalis	ENSXETT00000001079
ENSECRP00000011685	ENSECRG00000007785	Erpetoichthys_calabaricus
ENSAHAP00000011740	ENSAHAG00000008510	Apteryx_haastii
ENSARWP00000017333	ENSARWG00000011926	Apteryx_rowi
ENSAOWP00000024895	ENSAOWG00000016845	Apteryx_owenii
ENSDNVP00000003546	ENSDNVG00000002501	Dromaius_novaehollandiae
ENSGALP00000070116	ENSGALG00000038666	Gallus_gallus
ENSNMEP00000001900	ENSNMEG00000002427	Numida_meleagris
ENSAPLP00000027700	ENSAPLG00000021099	Anas_platyrhynchos_platyrhynchos
ENSPMJP00000022198	ENSPMJG00000016455	Parus_major
ENSCCEP00000003538	ENSCCEG00000003913	Cyanistes_caeruleus
ENSMVIP00005015908	ENSMVIG00005011443	Manacus_vitellinus
ENSLCOP00000008825	ENSLCOG00000006456	Lepidothrix_coronata
ENSJHYP00000023280	ENSJHYG00000017523	Junco_hyemalis
ENSLSDP00000002065	ENSLSDG00000001639	Lonchura_striata_domestica
ENSFALP00000003662	ENSFALG00000003511	Ficedula_albicollis
ENSCPRP00005019036	ENSCPRG00005013323	Crocodylus_porosus
ENSGAGP00000034587	ENSGAGG00000024582	Gopherus_agassizii
ENSCABP00000029076	ENSCABG00000021348	Chelonoidis_abingdonii
ENSCPBP00000020179	ENSCPBG00000014516	Chrysemys_picta_bellii
ENSPSIP00000014948	ENSPSIG00000013392	Pelodiscus_sinensis
ENSACAP00000004420	ENSACAG00000004547	Anolis_carolinensis
ENSPVIP00000033331	ENSPVIG00000024369	Pogona_vitticeps
ENSNSUP00000000962	ENSNSUG00000000897	Notechis_scutatus
ENSBIXP00000025843	ENSBIXG00000027954	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005022454	ENSBIXG00005025351	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000035085	ENSBTAG00000025148	Bos_taurus
ENSBMUP00000008334	ENSBMUG00000006518	Bos_mutus
ENSBBBP00000021211	ENSBBBG00000001083	Bison_bison_bison
ENSCHIP00000023906	ENSCHIG00000021313	Capra_hircus
ENSOARP00000014377	ENSOARG00000013413	Ovis_aries
ENSSSCP00000036404	ENSSSCG00000013670	Sus_scrofa_strain_reference
ENSECAP00000006231	ENSECAG00000008231	Equus_caballus
ENSEASP00005015205	ENSEASG00005010614	Equus_asinus_asinus
ENSMPUP00000014422	ENSMPUG00000014532	Mustela_putorius_furo
ENSNVIP00000030659	ENSNVIG00000023614	Neovison_vison
