ENSCAPP00000007894	ENSCAPG00000009711	Cavia_aperea	ENSCAPT00000011591
ENSCPOP00000018272	ENSCPOG00000036613	Cavia_porcellus	ENSCPOT00000007311
ENSODEP00000020675	ENSODEG00000015252	Octodon_degus	ENSODET00000020932
ENSCLAP00000022934	ENSCLAG00000015735	Chinchilla_lanigera	ENSCLAT00000023149
ENSHGLP00000024005	ENSHGLG00000017108	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100000734	ENSHGLG00100000608	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016492	ENSFDAG00000005058	Fukomys_damarensis
ENSSDAP00000007741	ENSSDAG00000007071	Spermophilus_dauricus
ENSSDAP00000016666	ENSSDAG00000015078	Spermophilus_dauricus
ENSUPAP00010017199	ENSUPAG00010013711	Urocitellus_parryii
ENSSTOP00000003555	ENSSTOG00000003982	Ictidomys_tridecemlineatus
ENSMMMP00000000477	ENSMMMG00000000461	Marmota_marmota_marmota
MGP_SPRETEiJ_P0042395	MGP_SPRETEiJ_G0021393	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000023704	ENSMSIG00000020055	Mus_spicilegus
ENSMUSP00000074835	ENSMUSG00000059280	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000074537	ENSMUSG00000059305	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000020648	ENSMSIG00000017534	Mus_spicilegus
MGP_PahariEiJ_P0027936	MGP_PahariEiJ_G0016203	Mus_pahari_strain_PAHARI_EIJ
MGP_CAROLIEiJ_P0040543	MGP_CAROLIEiJ_G0020498	Mus_caroli_strain_CAROLI_EIJ
MGP_CAROLIEiJ_P0040542	MGP_CAROLIEiJ_G0020497	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0042394	MGP_SPRETEiJ_G0021392	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0027935	MGP_PahariEiJ_G0016202	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000002517	ENSRNOG00000001839	Rattus_norvegicus
ENSRNOP00000074866	ENSRNOG00000052348	Rattus_norvegicus
ENSMUGP00000025900	ENSMUGG00000021613	Meriones_unguiculatus
ENSMUGP00000011033	ENSMUGG00000009669	Meriones_unguiculatus
ENSCGRP00015012721	ENSCGRG00015009776	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000025084	ENSCGRG00000018164	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001002456	ENSCGRG00001002687	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000004840	ENSMAUG00000006538	Mesocricetus_auratus
ENSPEMP00000014826	ENSPEMG00000014521	Peromyscus_maniculatus_bairdii
ENSPEMP00000008977	ENSPEMG00000010426	Peromyscus_maniculatus_bairdii
ENSMOCP00000008686	ENSMOCG00000008728	Microtus_ochrogaster
ENSMOCP00000010503	ENSMOCG00000010728	Microtus_ochrogaster
ENSNGAP00000005973	ENSNGAG00000008705	Nannospalax_galili
ENSNGAP00000010434	ENSNGAG00000012863	Nannospalax_galili
ENSJJAP00000007693	ENSJJAG00000012038	Jaculus_jaculus
ENSDORP00000008902	ENSDORG00000009479	Dipodomys_ordii
ENSOCUP00000017472	ENSOCUG00000021235	Oryctolagus_cuniculus
ENSOCUP00000022828	ENSOCUG00000021151	Oryctolagus_cuniculus
ENSOCUP00000024551	ENSOCUG00000024204	Oryctolagus_cuniculus
ENSOPRP00000005757	ENSOPRG00000006291	Ochotona_princeps
ENSP00000385361	ENSG00000169575	Homo_sapiens
ENSGGOP00000016063	ENSGGOG00000016468	Gorilla_gorilla
ENSPTRP00000071491	ENSPTRG00000014125	Pan_troglodytes
