ENSMEUP00000007909	ENSMEUG00000008653	Notamacropus_eugenii	ENSMEUT00000008677
ENSPCIP00000051670	ENSPCIG00000030803	Phascolarctos_cinereus	ENSPCIT00000064614
ENSSHAP00000004747	ENSSHAG00000004168	Sarcophilus_harrisii	ENSSHAT00000004795
ENSSHAP00000000257	ENSSHAG00000000222	Sarcophilus_harrisii	ENSSHAT00000000262
ENSMODP00000018179	ENSMODG00000014554	Monodelphis_domestica	ENSMODT00000018511
ENSPVAP00000016813	ENSPVAG00000017823	Pteropus_vampyrus
ENSMLUP00000014037	ENSMLUG00000015399	Myotis_lucifugus
ENSEASP00005012636	ENSEASG00005008819	Equus_asinus_asinus
ENSECAP00000023888	ENSECAG00000018730	Equus_caballus
ENSUMAP00000012527	ENSUMAG00000009314	Ursus_maritimus
ENSUMAP00000012522	ENSUMAG00000009308	Ursus_maritimus
ENSUAMP00000033872	ENSUAMG00000025798	Ursus_americanus
ENSAMEP00000005816	ENSAMEG00000005510	Ailuropoda_melanoleuca
ENSMPUP00000005151	ENSMPUG00000005188	Mustela_putorius_furo
ENSNVIP00000029710	ENSNVIG00000022882	Neovison_vison
ENSCAFP00000002144	ENSCAFG00000025473	Canis_lupus_familiaris
ENSCAFP00020030001	ENSCAFG00020023373	Canis_lupus_dingo
ENSVVUP00000016945	ENSVVUG00000012475	Vulpes_vulpes
ENSPTIP00000020076	ENSPTIG00000017667	Panthera_tigris_altaica
ENSPPRP00000004681	ENSPPRG00000000704	Panthera_pardus
ENSFCAP00000057145	ENSFCAG00000009326	Felis_catus
ENSSSCP00000019158	ENSSSCG00000016555	Sus_scrofa_strain_reference
ENSTTRP00000010746	ENSTTRG00000011337	Tursiops_truncatus
ENSOARP00000005588	ENSOARG00000005200	Ovis_aries
ENSCHIP00000025428	ENSCHIG00000022208	Capra_hircus
ENSBIXP00000037456	ENSBIXG00000021039	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000055050	ENSBTAG00000046648	Bos_taurus
ENSBIXP00005022772	ENSBIXG00005025635	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000031929	ENSBMUG00000023800	Bos_mutus
ENSBBBP00000006079	ENSBBBG00000014707	Bison_bison_bison
ENSVPAP00000010106	ENSVPAG00000010853	Vicugna_pacos
ENSEEUP00000009014	ENSEEUG00000009898	Erinaceus_europaeus
ENSSARP00000012642	ENSSARG00000013985	Sorex_araneus
ENSCCNP00000018801	ENSCCNG00000018985	Castor_canadensis
ENSDORP00000012481	ENSDORG00000013274	Dipodomys_ordii
ENSPEMP00000026401	ENSPEMG00000022530	Peromyscus_maniculatus_bairdii
ENSMOCP00000023743	ENSMOCG00000020370	Microtus_ochrogaster
ENSCGRP00000014232	ENSCGRG00000010300	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001019278	ENSCGRG00001018769	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015035560	ENSCGRG00015026688	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000010170	ENSMAUG00000011138	Mesocricetus_auratus
MGP_SPRETEiJ_P0075910	MGP_SPRETEiJ_G0029188	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000025686	ENSMSIG00000021689	Mus_spicilegus
ENSMUSP00000048558	ENSMUSG00000039070	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0073066	MGP_CAROLIEiJ_G0028188	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0049188	MGP_PahariEiJ_G0021946	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000013880	ENSRNOG00000010463	Rattus_norvegicus
ENSMUGP00000000811	ENSMUGG00000000760	Meriones_unguiculatus
ENSNGAP00000000408	ENSNGAG00000000324	Nannospalax_galili
ENSJJAP00000000338	ENSJJAG00000000289	Jaculus_jaculus
ENSCLAP00000012959	ENSCLAG00000008944	Chinchilla_lanigera
ENSODEP00000017638	ENSODEG00000013009	Octodon_degus
