ENSPMJP00000013689	ENSPMJG00000010384	Parus_major
ENSPFOP00000014225	ENSPFOG00000013982	Poecilia_formosa
ENSDARP00000141738	ENSDARG00000102195	Danio_rerio
ENSLACP00000001843	ENSLACG00000001645	Latimeria_chalumnae
ENSGAGP00000011405	ENSGAGG00000008803	Gopherus_agassizii
ENSIPUP00000028197	ENSIPUG00000019063	Ictalurus_punctatus
ENSACIP00000007083	ENSACIG00000005421	Amphilophus_citrinellus
ENSFHEP00000033311	ENSFHEG00000020360	Fundulus_heteroclitus
ENSAPOP00000009299	ENSAPOG00000011556	Acanthochromis_polyacanthus
ENSBMUP00000021729	ENSBMUG00000016375	Bos_mutus
ENSELUP00000030428	ENSELUG00000007682	Esox_lucius
ENSPMAP00000010772	ENSPMAG00000009801	Petromyzon_marinus
ENSDARP00000127373	ENSDARG00000055930	Danio_rerio
ENSCPRP00005005423	ENSCPRG00005003905	Crocodylus_porosus
ENSMGAP00000000608	ENSMGAG00000001079	Meleagris_gallopavo
ENSGGOP00000013803	ENSGGOG00000014138	Gorilla_gorilla
ENSAOCP00000020018	ENSAOCG00000003822	Amphiprion_ocellaris
ENSSBOP00000017663	ENSSBOG00000025443	Saimiri_boliviensis_boliviensis
ENSTGEP00000009624	ENSTGEG00000007923	Theropithecus_gelada
ENSAMXP00000003959	ENSAMXG00000003868	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNYP00000011455	ENSPNYG00000008531	Pundamilia_nyererei
ENSMSIP00000029088	ENSMSIG00000024407	Mus_spicilegus
ENSPCIP00000045542	ENSPCIG00000026417	Phascolarctos_cinereus
ENSGACP00000018537	ENSGACG00000014038	Gasterosteus_aculeatus
ENSPREP00000026188	ENSPREG00000017699	Poecilia_reticulata
ENSORLP00000017714	ENSORLG00000014127	Oryzias_latipes_ASM223467v1
ENSCINP00000019406	ENSCING00000009532	Ciona_intestinalis
ENSANAP00000035814	ENSANAG00000035407	Aotus_nancymaae
ENSBIXP00005007548	ENSBIXG00005012778	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMSIP00000009796	ENSMSIG00000008613	Mus_spicilegus
MGP_PahariEiJ_P0027774	MGP_PahariEiJ_G0016163	Mus_pahari_strain_PAHARI_EIJ
ENSAMXP00005027043	ENSAMXG00005013569	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSPAP00000002619	ENSSPAG00000002010	Stegastes_partitus
ENSKMAP00000025935	ENSKMAG00000019211	Kryptolebias_marmoratus
ENSGAFP00000012075	ENSGAFG00000008178	Gambusia_affinis
ENSUAMP00000020251	ENSUAMG00000015275	Ursus_americanus
ENSLAFP00000026416	ENSLAFG00000013268	Loxodonta_africana
ENSPFOP00000012115	ENSPFOG00000011957	Poecilia_formosa
ENSCSAVP00000017513	ENSCSAVG00000010311	Ciona_savignyi
ENSPTRP00000049650	ENSPTRG00000014424	Pan_troglodytes
ENSLBEP00000002877	ENSLBEG00000002212	Labrus_bergylta
ENSMUGP00000020791	ENSMUGG00000017518	Meriones_unguiculatus
ENSPKIP00000017320	ENSPKIG00000003219	Paramormyrops_kingsleyae
ENSCGOP00000023167	ENSCGOG00000011053	Cottoperca_gobio
ENSCLAP00000020414	ENSCLAG00000013991	Chinchilla_lanigera
ENSLCOP00000009014	ENSLCOG00000006604	Lepidothrix_coronata
ENSZALP00000020227	ENSZALG00000015938	Zonotrichia_albicollis	ENSZALT00000026480
ENSPKIP00000006411	ENSPKIG00000022694	Paramormyrops_kingsleyae
ENSUMAP00000004990	ENSUMAG00000003986	Ursus_maritimus
ENSDNVP00000024790	ENSDNVG00000017246	Dromaius_novaehollandiae	ENSDNVT00000029999
ENSOARP00000019564	ENSOARG00000018228	Ovis_aries
ENSCPGP00000027136	ENSCPGG00000018695	Calidris_pygmaea
ENSTRUP00000032473	ENSTRUG00000012827	Takifugu_rubripes
ENSAMXP00005037168	ENSAMXG00005017662	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNMEP00000007644	ENSNMEG00000007255	Numida_meleagris
ENSFHEP00000011331	ENSFHEG00000000281	Fundulus_heteroclitus
ENSEEUP00000013277	ENSEEUG00000014521	Erinaceus_europaeus
