ENSXCOP00000024287	ENSXCOG00000018131	Xiphophorus_couchianus	ENSXCOT00000024578
ENSXMAP00000011841	ENSXMAG00000011818	Xiphophorus_maculatus	ENSXMAT00000011857
ENSGAFP00000006788	ENSGAFG00000004616	Gambusia_affinis	ENSGAFT00000006860
ENSPFOP00000007342	ENSPFOG00000007369	Poecilia_formosa	ENSPFOT00000007354
ENSPMEP00000016665	ENSPMEG00000019383	Poecilia_mexicana	ENSPMET00000033481
ENSPLAP00000026473	ENSPLAG00000014293	Poecilia_latipinna	ENSPLAT00000029109
ENSPREP00000020495	ENSPREG00000013833	Poecilia_reticulata	ENSPRET00000020709
ENSCVAP00000004881	ENSCVAG00000006187	Cyprinodon_variegatus	ENSCVAT00000007612
ENSFHEP00000018831	ENSFHEG00000020744	Fundulus_heteroclitus	ENSFHET00000034535
ENSKMAP00000013181	ENSKMAG00000009888	Kryptolebias_marmoratus	ENSKMAT00000013384
ENSORLP00000014341	ENSORLG00000011451	Oryzias_latipes_ASM223467v1
ENSORLP00015002510	ENSORLG00015003169	Oryzias_latipes_ASM223469v1
ENSORLP00020029518	ENSORLG00020013506	Oryzias_latipes_ASM223471v1
ENSOMEP00000015280	ENSOMEG00000016841	Oryzias_melastigma
ENSGWIP00000036388	ENSGWIG00000018752	Gouania_willdenowi
ENSTRUP00000020265	ENSTRUG00000008112	Takifugu_rubripes
ENSTNIP00000001187	ENSTNIG00000001249	Tetraodon_nigroviridis
ENSCSEP00000021649	ENSCSEG00000013820	Cynoglossus_semilaevis
ENSAOCP00000010726	ENSAOCG00000001036	Amphiprion_ocellaris
ENSAPEP00000022200	ENSAPEG00000015804	Amphiprion_percula
ENSAPEP00000021831	ENSAPEG00000015547	Amphiprion_percula
ENSAPOP00000028224	ENSAPOG00000013320	Acanthochromis_polyacanthus
ENSSPAP00000013045	ENSSPAG00000009868	Stegastes_partitus
ENSPRNP00000004775	ENSPRNG00000002663	Parambassis_ranga
ENSPNYP00000011633	ENSPNYG00000008818	Pundamilia_nyererei
ENSHBUP00000017092	ENSHBUG00000019092	Haplochromis_burtoni
ENSACLP00000010760	ENSACLG00000007365	Astatotilapia_calliptera
ENSMZEP00005014386	ENSMZEG00005010838	Maylandia_zebra
ENSNBRP00000008420	ENSNBRG00000006605	Neolamprologus_brichardi
ENSONIP00000024402	ENSONIG00000019385	Oreochromis_niloticus
ENSACIP00000009549	ENSACIG00000007446	Amphilophus_citrinellus
ENSSDUP00000023376	ENSSDUG00000016990	Seriola_dumerili
ENSSLDP00000008246	ENSSLDG00000006551	Seriola_lalandi_dorsalis
ENSSMAP00000016495	ENSSMAG00000010102	Scophthalmus_maximus
ENSMAMP00000002683	ENSMAMG00000001860	Mastacembelus_armatus
ENSMALP00000029400	ENSMALG00000020333	Monopterus_albus
ENSATEP00000004084	ENSATEG00000002866	Anabas_testudineus
ENSHCOP00000024762	ENSHCOG00000014357	Hippocampus_comes
ENSLCRP00005037191	ENSLCRG00005014482	Larimichthys_crocea
ENSMMOP00000016132	ENSMMOG00000012316	Mola_mola
ENSLBEP00000031351	ENSLBEG00000023642	Labrus_bergylta
ENSCGOP00000018380	ENSCGOG00000008781	Cottoperca_gobio
ENSGACP00000017108	ENSGACG00000012942	Gasterosteus_aculeatus
ENSBSLP00000023663	ENSBSLG00000012021	Betta_splendens
ENSPMGP00000019199	ENSPMGG00000015599	Periophthalmus_magnuspinnatus
ENSGMOP00000011679	ENSGMOG00000010931	Gadus_morhua
ENSHHUP00000076593	ENSHHUG00000044796	Hucho_hucho
ENSHHUP00000028129	ENSHHUG00000017883	Hucho_hucho
ENSELUP00000013211	ENSELUG00000013356	Esox_lucius
ENSCHAP00000006103	ENSCHAG00000003832	Clupea_harengus
ENSDCDP00000040039	ENSDCDG00000026408	Denticeps_clupeoides
ENSAMXP00000000548	ENSAMXG00000000539	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005051621	ENSAMXG00005023303	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000005727	ENSPNAG00000011894	Pygocentrus_nattereri
ENSIPUP00000034329	ENSIPUG00000023051	Ictalurus_punctatus
ENSEEEP00000002414	ENSEEEG00000001404	Electrophorus_electricus
ENSDARP00000055854	ENSDARG00000038297	Danio_rerio
ENSPKIP00000002885	ENSPKIG00000020604	Paramormyrops_kingsleyae
ENSSFOP00015013286	ENSSFOG00015008539	Scleropages_formosus
ENSECRP00000021303	ENSECRG00000014355	Erpetoichthys_calabaricus
ENSLACP00000001246	ENSLACG00000001117	Latimeria_chalumnae
ENSACAP00000011815	ENSACAG00000012061	Anolis_carolinensis
ENSPVIP00000010161	ENSPVIG00000008062	Pogona_vitticeps
ENSNSUP00000005367	ENSNSUG00000004316	Notechis_scutatus
ENSSMRP00000026564	ENSSMRG00000020528	Salvator_merianae
ENSSPUP00000008989	ENSSPUG00000007012	Sphenodon_punctatus
ENSGAGP00000036212	ENSGAGG00000025651	Gopherus_agassizii
ENSCABP00000019389	ENSCABG00000014312	Chelonoidis_abingdonii
ENSCPBP00000014745	ENSCPBG00000010953	Chrysemys_picta_bellii
ENSPSIP00000017324	ENSPSIG00000015421	Pelodiscus_sinensis
ENSNMEP00000002288	ENSNMEG00000002944	Numida_meleagris
ENSCJPP00005003203	ENSCJPG00005003437	Coturnix_japonica
ENSLCOP00000003297	ENSLCOG00000002509	Lepidothrix_coronata
ENSGALP00000065569	ENSGALG00000051311	Gallus_gallus
ENSAPLP00000017239	ENSAPLG00000022099	Anas_platyrhynchos_platyrhynchos
ENSARWP00000023380	ENSARWG00000015927	Apteryx_rowi
ENSVURP00010001637	ENSVURG00010001382	Vombatus_ursinus
ENSMEUP00000000305	ENSMEUG00000000334	Notamacropus_eugenii
ENSPCIP00000043243	ENSPCIG00000012185	Phascolarctos_cinereus
ENSSHAP00000000910	ENSSHAG00000000815	Sarcophilus_harrisii
ENSUAMP00000017658	ENSUAMG00000014008	Ursus_americanus
ENSUMAP00000013640	ENSUMAG00000010046	Ursus_maritimus
ENSAMEP00000013647	ENSAMEG00000012955	Ailuropoda_melanoleuca
ENSNVIP00000021751	ENSNVIG00000017003	Neovison_vison
ENSMPUP00000001731	ENSMPUG00000001749	Mustela_putorius_furo
ENSCAFP00020024758	ENSCAFG00020019467	Canis_lupus_dingo
ENSCAFP00000004397	ENSCAFG00000002965	Canis_lupus_familiaris
ENSVVUP00000017537	ENSVVUG00000012918	Vulpes_vulpes
ENSPPRP00000009487	ENSPPRG00000003924	Panthera_pardus
ENSPTIP00000000159	ENSPTIG00000000394	Panthera_tigris_altaica
ENSFCAP00000013935	ENSFCAG00000015024	Felis_catus
ENSECAP00000047596	ENSECAG00000031270	Equus_caballus
ENSEASP00005013833	ENSEASG00005009646	Equus_asinus_asinus
ENSCHIP00000026482	ENSCHIG00000022802	Capra_hircus
ENSOARP00000015058	ENSOARG00000014033	Ovis_aries
ENSBIXP00005010778	ENSBIXG00005002253	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000013731	ENSBIXG00000000636	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000026709	ENSBMUG00000020044	Bos_mutus
ENSBBBP00000000463	ENSBBBG00000009631	Bison_bison_bison
ENSTTRP00000002070	ENSTTRG00000002213	Tursiops_truncatus
ENSSSCP00000003490	ENSSSCG00000003217	Sus_scrofa_strain_reference
ENSPVAP00000015739	ENSPVAG00000016677	Pteropus_vampyrus
ENSMICP00000041843	ENSMICG00000042683	Microcebus_murinus
ENSPCOP00000019535	ENSPCOG00000021712	Propithecus_coquereli
ENSPSMP00000026077	ENSPSMG00000018284	Prolemur_simus
ENSOGAP00000013145	ENSOGAG00000014674	Otolemur_garnettii
ENSPPAP00000011216	ENSPPAG00000028810	Pan_paniscus
ENSPTRP00000048524	ENSPTRG00000028916	Pan_troglodytes
ENSP00000373860	ENSG00000204653	Homo_sapiens
ENSPPYP00000011517	ENSPPYG00000010287	Pongo_abelii
ENSNLEP00000006874	ENSNLEG00000005666	Nomascus_leucogenys
ENSMMUP00000052056	ENSMMUG00000021060	Macaca_mulatta
ENSMFAP00000042680	ENSMFAG00000040099	Macaca_fascicularis
ENSMNEP00000015122	ENSMNEG00000031697	Macaca_nemestrina
ENSMLEP00000010425	ENSMLEG00000029410	Mandrillus_leucophaeus
ENSPANP00000010573	ENSPANG00000008417	Papio_anubis
ENSTGEP00000002299	ENSTGEG00000002021	Theropithecus_gelada
ENSCATP00000024675	ENSCATG00000035853	Cercocebus_atys
ENSCSAP00000015901	ENSCSAG00000002136	Chlorocebus_sabaeus
ENSPTEP00000018091	ENSPTEG00000019581	Piliocolobus_tephrosceles
ENSCANP00000039609	ENSCANG00000043472	Colobus_angolensis_palliatus
ENSRBIP00000004850	ENSRBIG00000022144	Rhinopithecus_bieti
ENSRROP00000009475	ENSRROG00000029170	Rhinopithecus_roxellana
ENSSBOP00000005013	ENSSBOG00000019225	Saimiri_boliviensis_boliviensis
ENSCCAP00000033257	ENSCCAG00000034646	Cebus_capucinus_imitator
ENSCJAP00000031668	ENSCJAG00000017216	Callithrix_jacchus
ENSANAP00000028787	ENSANAG00000032205	Aotus_nancymaae
ENSCCNP00000000285	ENSCCNG00000000332	Castor_canadensis
ENSDORP00000004685	ENSDORG00000005009	Dipodomys_ordii
ENSUPAP00010019516	ENSUPAG00010015456	Urocitellus_parryii
ENSSTOP00000016150	ENSSTOG00000020263	Ictidomys_tridecemlineatus
ENSSDAP00000012447	ENSSDAG00000011202	Spermophilus_dauricus
ENSMMMP00000007587	ENSMMMG00000006815	Marmota_marmota_marmota
ENSHGLP00100022236	ENSHGLG00100016368	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000009130	ENSHGLG00000006564	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000019194	ENSFDAG00000009296	Fukomys_damarensis
ENSCPOP00000022717	ENSCPOG00000026327	Cavia_porcellus
ENSCAPP00000009729	ENSCAPG00000011144	Cavia_aperea
ENSCLAP00000007171	ENSCLAG00000005047	Chinchilla_lanigera
ENSODEP00000021888	ENSODEG00000016094	Octodon_degus
ENSMSIP00000012172	ENSMSIG00000010595	Mus_spicilegus
ENSMUSP00000039202	ENSMUSG00000038704	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0082599	MGP_SPRETEiJ_G0030757	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0079272	MGP_CAROLIEiJ_G0029659	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0016136	MGP_PahariEiJ_G0012884	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073291	ENSRNOG00000019424	Rattus_norvegicus
ENSMUGP00000010823	ENSMUGG00000009502	Meriones_unguiculatus
ENSMUGP00000010910	ENSMUGG00000009574	Meriones_unguiculatus
ENSPEMP00000006850	ENSPEMG00000008951	Peromyscus_maniculatus_bairdii
ENSMOCP00000003163	ENSMOCG00000002515	Microtus_ochrogaster
ENSCGRP00015027021	ENSCGRG00015020471	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000018024	ENSCGRG00000013107	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001015819	ENSCGRG00001016328	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000015517	ENSMAUG00000014949	Mesocricetus_auratus
ENSNGAP00000005836	ENSNGAG00000008433	Nannospalax_galili
ENSJJAP00000006561	ENSJJAG00000011167	Jaculus_jaculus
ENSTBEP00000009772	ENSTBEG00000011324	Tupaia_belangeri
ENSDNOP00000025005	ENSDNOG00000000314	Dasypus_novemcinctus
ENSCMIP00000002710	ENSCMIG00000001614	Callorhinchus_milii
ENSPMAP00000010354	ENSPMAG00000009417	Petromyzon_marinus
ENSEBUP00000019567	ENSEBUG00000012153	Eptatretus_burgeri
ENSCINP00000001869	ENSCING00000001009	Ciona_intestinalis
ENSCSAVP00000014352	ENSCSAVG00000008407	Ciona_savignyi
F17C8.9.1	WBGene00185014	Caenorhabditis_elegans_strain_N2
