ENSPCIP00000028421	ENSPCIG00000021218	Phascolarctos_cinereus	ENSPCIT00000034981
ENSVURP00010020026	ENSVURG00010015328	Vombatus_ursinus	ENSVURT00010022806
ENSMEUP00000006949	ENSMEUG00000007603	Notamacropus_eugenii	ENSMEUT00000007630
ENSSHAP00000015946	ENSSHAG00000013581	Sarcophilus_harrisii	ENSSHAT00000016077
ENSMODP00000056938	ENSMODG00000016890	Monodelphis_domestica	ENSMODT00000057401
ENSPVAP00000012359	ENSPVAG00000013106	Pteropus_vampyrus
ENSMLUP00000001019	ENSMLUG00000001092	Myotis_lucifugus
ENSUAMP00000015965	ENSUAMG00000012737	Ursus_americanus
ENSUMAP00000029182	ENSUMAG00000021177	Ursus_maritimus
ENSAMEP00000007880	ENSAMEG00000007469	Ailuropoda_melanoleuca
ENSMPUP00000015789	ENSMPUG00000015895	Mustela_putorius_furo
ENSNVIP00000020683	ENSNVIG00000016217	Neovison_vison
ENSCAFP00020010934	ENSCAFG00020008707	Canis_lupus_dingo
ENSCAFP00000061751	ENSCAFG00000019611	Canis_lupus_familiaris
ENSVVUP00000016775	ENSVVUG00000011453	Vulpes_vulpes
ENSFCAP00000057675	ENSFCAG00000010360	Felis_catus
ENSPTIP00000007321	ENSPTIG00000008908	Panthera_tigris_altaica
ENSECAP00000016467	ENSECAG00000018699	Equus_caballus
ENSEASP00005027124	ENSEASG00005018443	Equus_asinus_asinus
ENSCHIP00000004856	ENSCHIG00000008966	Capra_hircus
ENSOARP00000015378	ENSOARG00000014322	Ovis_aries
ENSBTAP00000026311	ENSBTAG00000019743	Bos_taurus
ENSBMUP00000031710	ENSBMUG00000023649	Bos_mutus
ENSBIXP00005044159	ENSBIXG00005027939	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000001033	ENSBIXG00000029040	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000026065	ENSBBBG00000021673	Bison_bison_bison
ENSTTRP00000009665	ENSTTRG00000010171	Tursiops_truncatus
ENSSSCP00000021612	ENSSSCG00000008010	Sus_scrofa_strain_reference
ENSEEUP00000005927	ENSEEUG00000006455	Erinaceus_europaeus	ENSEEUT00000006491
ENSSARP00000011319	ENSSARG00000012498	Sorex_araneus	ENSSART00000012533
MGP_SPRETEiJ_P0045206	MGP_SPRETEiJ_G0022154	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000014880	ENSMSIG00000012758	Mus_spicilegus
ENSMUSP00000043896	ENSMUSG00000019214	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0043297	MGP_CAROLIEiJ_G0021243	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0055600	MGP_PahariEiJ_G0023561	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000026139	ENSRNOG00000019174	Rattus_norvegicus
ENSMUGP00000017894	ENSMUGG00000015172	Meriones_unguiculatus
ENSCGRP00001026336	ENSCGRG00001023680	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000012903	ENSCGRG00000009394	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015023204	ENSCGRG00015017605	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000009302	ENSMAUG00000010503	Mesocricetus_auratus
ENSPEMP00000009574	ENSPEMG00000010821	Peromyscus_maniculatus_bairdii
ENSMOCP00000007311	ENSMOCG00000007089	Microtus_ochrogaster
ENSNGAP00000021443	ENSNGAG00000020604	Nannospalax_galili
ENSJJAP00000017469	ENSJJAG00000018990	Jaculus_jaculus
ENSCCNP00000014894	ENSCCNG00000015333	Castor_canadensis
ENSHGLP00000003548	ENSHGLG00000002621	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100019255	ENSHGLG00100014195	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000007927	ENSFDAG00000016315	Fukomys_damarensis
ENSCLAP00000019911	ENSCLAG00000013648	Chinchilla_lanigera
ENSODEP00000020563	ENSODEG00000015171	Octodon_degus
ENSCPOP00000009070	ENSCPOG00000010100	Cavia_porcellus
ENSCAPP00000016980	ENSCAPG00000016758	Cavia_aperea
ENSSDAP00000020358	ENSSDAG00000018342	Spermophilus_dauricus
ENSMMMP00000020197	ENSMMMG00000017827	Marmota_marmota_marmota
ENSUPAP00010017572	ENSUPAG00010013947	Urocitellus_parryii
ENSDORP00000020632	ENSDORG00000029298	Dipodomys_ordii
ENSSTOP00000024032	ENSSTOG00000029866	Ictidomys_tridecemlineatus
ENSTBEP00000002838	ENSTBEG00000003232	Tupaia_belangeri
ENSCJAP00000022503	ENSCJAG00000012262	Callithrix_jacchus
ENSSBOP00000002267	ENSSBOG00000011521	Saimiri_boliviensis_boliviensis
ENSANAP00000036378	ENSANAG00000035678	Aotus_nancymaae
ENSCCAP00000007804	ENSCCAG00000021607	Cebus_capucinus_imitator
ENSPPAP00000009799	ENSPPAG00000028087	Pan_paniscus
ENSPTRP00000089083	ENSPTRG00000043562	Pan_troglodytes
ENSGGOP00000036872	ENSGGOG00000014003	Gorilla_gorilla
ENSP00000262315	ENSG00000127586	Homo_sapiens
ENSPPYP00000007852	ENSPPYG00000006934	Pongo_abelii
ENSNLEP00000010263	ENSNLEG00000008429	Nomascus_leucogenys
ENSTGEP00000007615	ENSTGEG00000006234	Theropithecus_gelada
ENSPANP00000038873	ENSPANG00000015902	Papio_anubis
ENSCATP00000045839	ENSCATG00000045267	Cercocebus_atys
ENSMLEP00000027556	ENSMLEG00000037967	Mandrillus_leucophaeus
ENSMMUP00000001137	ENSMMUG00000000843	Macaca_mulatta
ENSMNEP00000020286	ENSMNEG00000033945	Macaca_nemestrina
ENSMFAP00000021030	ENSMFAG00000033447	Macaca_fascicularis
ENSCSAP00000008201	ENSCSAG00000012074	Chlorocebus_sabaeus
ENSCANP00000014527	ENSCANG00000030715	Colobus_angolensis_palliatus
ENSCANP00000009962	ENSCANG00000028359	Colobus_angolensis_palliatus
ENSPTEP00000002146	ENSPTEG00000002469	Piliocolobus_tephrosceles
ENSRROP00000031922	ENSRROG00000039624	Rhinopithecus_roxellana
ENSRBIP00000003858	ENSRBIG00000018095	Rhinopithecus_bieti
ENSTSYP00000015778	ENSTSYG00000028261	Carlito_syrichta
ENSPCOP00000007049	ENSPCOG00000014734	Propithecus_coquereli
ENSMICP00000015994	ENSMICG00000017562	Microcebus_murinus
ENSPSMP00000031866	ENSPSMG00000022092	Prolemur_simus
ENSOGAP00000003380	ENSOGAG00000003797	Otolemur_garnettii
ENSLAFP00000001772	ENSLAFG00000002118	Loxodonta_africana
ENSPCAP00000002286	ENSPCAG00000002301	Procavia_capensis
ENSETEP00000011389	ENSETEG00000014027	Echinops_telfairi
ENSDNOP00000019924	ENSDNOG00000032238	Dasypus_novemcinctus
ENSOANP00000000739	ENSOANG00000000464	Ornithorhynchus_anatinus
ENSOANP00000005764	ENSOANG00000003634	Ornithorhynchus_anatinus
ENSARWP00000025436	ENSARWG00000017278	Apteryx_rowi
ENSAOWP00000023846	ENSAOWG00000016090	Apteryx_owenii
ENSAHAP00000018801	ENSAHAG00000013313	Apteryx_haastii
ENSDNVP00000019096	ENSDNVG00000013360	Dromaius_novaehollandiae
ENSNPEP00000019229	ENSNPEG00000014330	Nothoprocta_perdicaria
ENSGALP00000044268	ENSGALG00000040157	Gallus_gallus
ENSCJPP00005005877	ENSCJPG00005005558	Coturnix_japonica
