ENSPMAP00000007573	ENSPMAG00000006866	Petromyzon_marinus
ENSEBUP00000002135	ENSEBUG00000001679	Eptatretus_burgeri
ENSLACP00000014493	ENSLACG00000012753	Latimeria_chalumnae
ENSLACP00000009434	ENSLACG00000008320	Latimeria_chalumnae
ENSPCIP00000035166	ENSPCIG00000026022	Phascolarctos_cinereus
ENSOANP00000005334	ENSOANG00000003361	Ornithorhynchus_anatinus
ENSPCIP00000017192	ENSPCIG00000013196	Phascolarctos_cinereus
ENSPCIP00000045812	ENSPCIG00000030841	Phascolarctos_cinereus
ENSVURP00010023216	ENSVURG00010017777	Vombatus_ursinus
ENSMODP00000054108	ENSMODG00000016769	Monodelphis_domestica
ENSSHAP00000015968	ENSSHAG00000013595	Sarcophilus_harrisii
ENSCAFP00020006260	ENSCAFG00020005093	Canis_lupus_dingo
ENSVVUP00000005718	ENSVVUG00000004473	Vulpes_vulpes
ENSMPUP00000018632	ENSMPUG00000018752	Mustela_putorius_furo
ENSNVIP00000011423	ENSNVIG00000009055	Neovison_vison
ENSCAFP00000046625	ENSCAFG00000047929	Canis_lupus_familiaris
ENSCAFP00020007965	ENSCAFG00020006444	Canis_lupus_dingo
ENSVVUP00000040733	ENSVVUG00000029001	Vulpes_vulpes
ENSDNOP00000017745	ENSDNOG00000041135	Dasypus_novemcinctus
ENSPPYP00000013526	ENSPPYG00000012128	Pongo_abelii
ENSPPRP00000027922	ENSPPRG00000019730	Panthera_pardus
ENSFCAP00000036016	ENSFCAG00000036536	Felis_catus
ENSUMAP00000020813	ENSUMAG00000015238	Ursus_maritimus
ENSDNOP00000020643	ENSDNOG00000044649	Dasypus_novemcinctus
ENSNGAP00000017991	ENSNGAG00000018260	Nannospalax_galili
ENSNGAP00000009560	ENSNGAG00000012211	Nannospalax_galili
ENSCGRP00000025750	ENSCGRG00000018755	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001010367	ENSCGRG00001012274	Cricetulus_griseus_CHOK1GS_HDv1
ENSPCIP00000055080	ENSPCIG00000036744	Phascolarctos_cinereus
ENSPEMP00000014154	ENSPEMG00000014051	Peromyscus_maniculatus_bairdii
ENSSBOP00000016249	ENSSBOG00000024835	Saimiri_boliviensis_boliviensis
ENSBIXP00000033067	ENSBIXG00000015749	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005030711	ENSBIXG00005010871	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000051388	ENSBTAG00000000168	Bos_taurus
ENSBMUP00000022420	ENSBMUG00000016888	Bos_mutus
ENSBBBP00000008487	ENSBBBG00000016512	Bison_bison_bison
ENSVURP00010003297	ENSVURG00010002650	Vombatus_ursinus
ENSVURP00010008841	ENSVURG00010006858	Vombatus_ursinus
ENSPCIP00000017613	ENSPCIG00000013466	Phascolarctos_cinereus
ENSTGEP00000030563	ENSTGEG00000024521	Theropithecus_gelada
ENSPSMP00000016466	ENSPSMG00000011748	Prolemur_simus
ENSPTIP00000003969	ENSPTIG00000006593	Panthera_tigris_altaica
ENSPPRP00000024247	ENSPPRG00000014463	Panthera_pardus
ENSPCIP00000034836	ENSPCIG00000032473	Phascolarctos_cinereus
ENSAMEP00000018377	ENSAMEG00000017399	Ailuropoda_melanoleuca
ENSUAMP00000008179	ENSUAMG00000006972	Ursus_americanus
ENSNVIP00000026050	ENSNVIG00000020157	Neovison_vison
ENSNVIP00000021319	ENSNVIG00000016685	Neovison_vison
ENSMUGP00000008589	ENSMUGG00000007742	Meriones_unguiculatus
ENSMAUP00000019620	ENSMAUG00000017869	Mesocricetus_auratus
ENSNGAP00000014884	ENSNGAG00000016079	Nannospalax_galili
ENSPPRP00000013916	ENSPPRG00000006972	Panthera_pardus
ENSPTIP00000008158	ENSPTIG00000009593	Panthera_tigris_altaica
ENSVURP00010021183	ENSVURG00010016199	Vombatus_ursinus
ENSCHIP00000001736	ENSCHIG00000003525	Capra_hircus
ENSUAMP00000013563	ENSUAMG00000010905	Ursus_americanus
ENSCGRP00015019517	ENSCGRG00015014999	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001011064	ENSCGRG00001012810	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000026448	ENSCGRG00000019522	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015010960	ENSCGRG00015008443	Cricetulus_griseus_CriGri-PICR
ENSFDAP00000005892	ENSFDAG00000014783	Fukomys_damarensis
ENSTGEP00000012272	ENSTGEG00000010008	Theropithecus_gelada
ENSPTEP00000001009	ENSPTEG00000001115	Piliocolobus_tephrosceles
ENSPTRP00000063211	ENSPTRG00000013708	Pan_troglodytes
ENSPPAP00000041900	ENSPPAG00000043545	Pan_paniscus
ENSGGOP00000039972	ENSGGOG00000023745	Gorilla_gorilla
ENSNLEP00000035715	ENSNLEG00000028252	Nomascus_leucogenys
ENSCJAP00000026108	ENSCJAG00000014195	Callithrix_jacchus
ENSCJAP00000068011	ENSCJAG00000068396	Callithrix_jacchus
ENSPTEP00000022636	ENSPTEG00000023536	Piliocolobus_tephrosceles
ENSCJAP00000077407	ENSCJAG00000064118	Callithrix_jacchus
ENSSDAP00000012919	ENSSDAG00000011642	Spermophilus_dauricus
ENSMUGP00000023053	ENSMUGG00000019306	Meriones_unguiculatus
ENSECAP00000023031	ENSECAG00000026916	Equus_caballus
ENSEASP00005017113	ENSEASG00005011846	Equus_asinus_asinus
ENSUMAP00000033203	ENSUMAG00000023938	Ursus_maritimus
ENSCAFP00000058600	ENSCAFG00000045167	Canis_lupus_familiaris
ENSCAFP00020000894	ENSCAFG00020000870	Canis_lupus_dingo
ENSPTIP00000012621	ENSPTIG00000012625	Panthera_tigris_altaica
ENSCLAP00000010964	ENSCLAG00000007566	Chinchilla_lanigera
ENSHGLP00000012963	ENSHGLG00000009268	Heterocephalus_glaber_HetGla_female_1.0
ENSODEP00000026875	ENSODEG00000020368	Octodon_degus
ENSODEP00000025902	ENSODEG00000019239	Octodon_degus
ENSNGAP00000017605	ENSNGAG00000017987	Nannospalax_galili
ENSCCAP00000009415	ENSCCAG00000022437	Cebus_capucinus_imitator
ENSCCAP00000037700	ENSCCAG00000036700	Cebus_capucinus_imitator
ENSPTRP00000077966	ENSPTRG00000049952	Pan_troglodytes
ENSPPAP00000020211	ENSPPAG00000033323	Pan_paniscus
ENSGGOP00000052366	ENSGGOG00000039503	Gorilla_gorilla
ENSSDAP00000006791	ENSSDAG00000006263	Spermophilus_dauricus
ENSUPAP00010011524	ENSUPAG00010009364	Urocitellus_parryii
ENSMMMP00000004516	ENSMMMG00000004100	Marmota_marmota_marmota
ENSSTOP00000000919	ENSSTOG00000001029	Ictidomys_tridecemlineatus
ENSDORP00000007154	ENSDORG00000007632	Dipodomys_ordii
ENSMUGP00000030760	ENSMUGG00000025577	Meriones_unguiculatus
ENSMUGP00000010331	ENSMUGG00000009128	Meriones_unguiculatus
ENSMUGP00000019394	ENSMUGG00000016444	Meriones_unguiculatus
ENSMNEP00000045523	ENSMNEG00000045270	Macaca_nemestrina
ENSMMUP00000006632	ENSMMUG00000005006	Macaca_mulatta
ENSPANP00000014472	ENSPANG00000021054	Papio_anubis
ENSRROP00000029606	ENSRROG00000038602	Rhinopithecus_roxellana
ENSCANP00000017014	ENSCANG00000031976	Colobus_angolensis_palliatus
ENSP00000345957	ENSG00000171858	Homo_sapiens
ENSPTRP00000023599	ENSPTRG00000040730	Pan_troglodytes
ENSPPYP00000012520	ENSPPYG00000011205	Pongo_abelii
ENSODEP00000017193	ENSODEG00000012670	Octodon_degus
ENSODEP00000026438	ENSODEG00000019866	Octodon_degus
ENSODEP00000026530	ENSODEG00000019972	Octodon_degus
ENSCCNP00000014236	ENSCCNG00000014734	Castor_canadensis
ENSCCNP00000017109	ENSCCNG00000017400	Castor_canadensis
ENSFDAP00000016336	ENSFDAG00000004771	Fukomys_damarensis
ENSCANP00000002271	ENSCANG00000008662	Colobus_angolensis_palliatus
ENSPTEP00000004017	ENSPTEG00000004750	Piliocolobus_tephrosceles
ENSCANP00000003258	ENSCANG00000011853	Colobus_angolensis_palliatus
ENSNLEP00000039313	ENSNLEG00000033725	Nomascus_leucogenys
ENSCJAP00000041058	ENSCJAG00000022436	Callithrix_jacchus
ENSUMAP00000027492	ENSUMAG00000019963	Ursus_maritimus
ENSUAMP00000037477	ENSUAMG00000028374	Ursus_americanus
ENSAMEP00000020557	ENSAMEG00000019505	Ailuropoda_melanoleuca
ENSVVUP00000031906	ENSVVUG00000023176	Vulpes_vulpes
ENSPPRP00000010573	ENSPPRG00000004689	Panthera_pardus
ENSBIXP00005017539	ENSBIXG00005003553	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000030119	ENSBMUG00000022528	Bos_mutus
ENSCHIP00000011233	ENSCHIG00000013467	Capra_hircus
ENSTSYP00000006466	ENSTSYG00000007061	Carlito_syrichta
ENSOGAP00000019569	ENSOGAG00000016673	Otolemur_garnettii
ENSMNEP00000006945	ENSMNEG00000028050	Macaca_nemestrina
ENSPCOP00000004660	ENSPCOG00000013052	Propithecus_coquereli
ENSODEP00000004899	ENSODEG00000003715	Octodon_degus
ENSEASP00005033933	ENSEASG00005023207	Equus_asinus_asinus
ENSFCAP00000039090	ENSFCAG00000033393	Felis_catus
