ENSETEP00000014563	ENSETEG00000017924	Echinops_telfairi	ENSETET00000017923
ENSCCNP00000026516	ENSCCNG00000025733	Castor_canadensis	ENSCCNT00000033615
ENSCHOP00000000804	ENSCHOG00000000902	Choloepus_hoffmanni	ENSCHOT00000000903
ENSCHOP00000003660	ENSCHOG00000004136	Choloepus_hoffmanni	ENSCHOT00000004151
ENSDNOP00000030633	ENSDNOG00000048501	Dasypus_novemcinctus	ENSDNOT00000051905
ENSLAFP00000005122	ENSLAFG00000006110	Loxodonta_africana	ENSLAFT00000006109
ENSPCAP00000005952	ENSPCAG00000006394	Procavia_capensis	ENSPCAT00000006366
MGP_SPRETEiJ_P0038406	MGP_SPRETEiJ_G0020151	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0038406
ENSMSIP00000019252	ENSMSIG00000016385	Mus_spicilegus	ENSMSIT00000024317
ENSMUSP00000022786	ENSMUSG00000022179	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000022786
MGP_CAROLIEiJ_P0036684	MGP_CAROLIEiJ_G0019261	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0084800	MGP_PahariEiJ_G0030280	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000017857	ENSRNOG00000013317	Rattus_norvegicus
ENSMUGP00000012635	ENSMUGG00000010987	Meriones_unguiculatus
ENSMOCP00000013061	ENSMOCG00000012978	Microtus_ochrogaster
ENSPEMP00000016200	ENSPEMG00000015496	Peromyscus_maniculatus_bairdii
ENSCGRP00001001643	ENSCGRG00001001465	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015026518	ENSCGRG00015020099	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000017980	ENSCGRG00000013073	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000012995	ENSMAUG00000013152	Mesocricetus_auratus
ENSNGAP00000018351	ENSNGAG00000018515	Nannospalax_galili
ENSJJAP00000011935	ENSJJAG00000015115	Jaculus_jaculus
ENSDORP00000003796	ENSDORG00000004064	Dipodomys_ordii	ENSDORT00000004064
ENSSTOP00000006359	ENSSTOG00000007124	Ictidomys_tridecemlineatus
ENSMMMP00000015373	ENSMMMG00000013705	Marmota_marmota_marmota
ENSUPAP00010013945	ENSUPAG00010011216	Urocitellus_parryii
ENSSDAP00000008680	ENSSDAG00000007911	Spermophilus_dauricus
ENSCPOP00000012649	ENSCPOG00000014044	Cavia_porcellus
ENSCAPP00000004645	ENSCAPG00000007147	Cavia_aperea
ENSCLAP00000015510	ENSCLAG00000010663	Chinchilla_lanigera
ENSODEP00000002251	ENSODEG00000001756	Octodon_degus
ENSHGLP00000005111	ENSHGLG00000003743	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011679	ENSHGLG00100008665	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000000148	ENSFDAG00000010484	Fukomys_damarensis
ENSOCUP00000011277	ENSOCUG00000013097	Oryctolagus_cuniculus
ENSOPRP00000001058	ENSOPRG00000001155	Ochotona_princeps
ENSTBEP00000010885	ENSTBEG00000012566	Tupaia_belangeri
