ENSMGAP00000001546	ENSMGAG00000002019	Meleagris_gallopavo
ENSCJPP00005020232	ENSCJPG00005016303	Coturnix_japonica
ENSGALP00000001891	ENSGALG00000013639	Gallus_gallus
ENSNMEP00000005744	ENSNMEG00000005937	Numida_meleagris
ENSABRP00000013657	ENSABRG00000012134	Anser_brachyrhynchus
ENSAOWP00000016136	ENSAOWG00000010998	Apteryx_owenii
ENSARWP00000015503	ENSARWG00000010705	Apteryx_rowi
ENSAHAP00000014965	ENSAHAG00000010774	Apteryx_haastii
ENSDNVP00000011946	ENSDNVG00000008437	Dromaius_novaehollandiae
ENSLCOP00000013287	ENSLCOG00000009587	Lepidothrix_coronata
ENSMVIP00005011605	ENSMVIG00005008495	Manacus_vitellinus
ENSPMJP00000000155	ENSPMJG00000000170	Parus_major
ENSCCEP00000003402	ENSCCEG00000003732	Cyanistes_caeruleus
ENSLSDP00000000401	ENSLSDG00000000342	Lonchura_striata_domestica
ENSTGUP00000001159	ENSTGUG00000001126	Taeniopygia_guttata
ENSSCAP00000009128	ENSSCAG00000006965	Serinus_canaria
ENSJHYP00000000811	ENSJHYG00000000753	Junco_hyemalis
ENSZALP00000000158	ENSZALG00000000185	Zonotrichia_albicollis
ENSFALP00000000477	ENSFALG00000000460	Ficedula_albicollis
ENSMUNP00000011521	ENSMUNG00000009068	Melopsittacus_undulatus
ENSCPGP00000014122	ENSCPGG00000009995	Calidris_pygmaea
ENSCPUP00000024007	ENSCPUG00000016273	Calidris_pugnax
ENSNPEP00000013974	ENSNPEG00000010443	Nothoprocta_perdicaria
ENSCPRP00005024058	ENSCPRG00005016709	Crocodylus_porosus
ENSGAGP00000014011	ENSGAGG00000010670	Gopherus_agassizii
ENSCABP00000002407	ENSCABG00000001874	Chelonoidis_abingdonii
ENSCPBP00000036049	ENSCPBG00000025073	Chrysemys_picta_bellii
ENSPSIP00000013210	ENSPSIG00000011816	Pelodiscus_sinensis
ENSSPUP00000006805	ENSSPUG00000005251	Sphenodon_punctatus
ENSPPAP00000026983	ENSPPAG00000036579	Pan_paniscus
ENSPTRP00000000615	ENSPTRG00000000352	Pan_troglodytes
ENSGGOP00000040191	ENSGGOG00000012796	Gorilla_gorilla
ENSP00000236273	ENSG00000117614	Homo_sapiens
ENSPPYP00000001980	ENSPPYG00000001713	Pongo_abelii
ENSNLEP00000048830	ENSNLEG00000035185	Nomascus_leucogenys
ENSMNEP00000011682	ENSMNEG00000030180	Macaca_nemestrina
ENSMMUP00000003967	ENSMMUG00000002968	Macaca_mulatta
ENSMFAP00000029106	ENSMFAG00000041831	Macaca_fascicularis
ENSPANP00000015850	ENSPANG00000008139	Papio_anubis
ENSTGEP00000006705	ENSTGEG00000005488	Theropithecus_gelada
ENSCSAP00000017060	ENSCSAG00000000948	Chlorocebus_sabaeus
ENSCATP00000008858	ENSCATG00000026917	Cercocebus_atys
ENSMLEP00000012159	ENSMLEG00000030248	Mandrillus_leucophaeus
ENSRROP00000000410	ENSRROG00000001347	Rhinopithecus_roxellana
ENSRBIP00000038995	ENSRBIG00000042970	Rhinopithecus_bieti
ENSPTEP00000013926	ENSPTEG00000015564	Piliocolobus_tephrosceles
ENSCANP00000027853	ENSCANG00000037322	Colobus_angolensis_palliatus
ENSCJAP00000055816	ENSCJAG00000046570	Callithrix_jacchus
ENSSBOP00000006461	ENSSBOG00000020184	Saimiri_boliviensis_boliviensis
ENSCCAP00000009455	ENSCCAG00000022459	Cebus_capucinus_imitator
ENSANAP00000029397	ENSANAG00000032473	Aotus_nancymaae
ENSTSYP00000023362	ENSTSYG00000005114	Carlito_syrichta
ENSPSMP00000017922	ENSPSMG00000012731	Prolemur_simus
ENSPCOP00000028697	ENSPCOG00000027011	Propithecus_coquereli
ENSMICP00000041589	ENSMICG00000016191	Microcebus_murinus
ENSOGAP00000008903	ENSOGAG00000009962	Otolemur_garnettii
ENSCAPP00000008259	ENSCAPG00000010006	Cavia_aperea
ENSCPOP00000004790	ENSCPOG00000005326	Cavia_porcellus
ENSODEP00000019437	ENSODEG00000014338	Octodon_degus
ENSODEP00000024137	ENSODEG00000017664	Octodon_degus
ENSCLAP00000012275	ENSCLAG00000008474	Chinchilla_lanigera
ENSHGLP00000020103	ENSHGLG00000014393	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000005895	ENSHGLG00000004304	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100019971	ENSHGLG00100014722	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020613	ENSFDAG00000008310	Fukomys_damarensis
ENSCCNP00000023956	ENSCCNG00000023484	Castor_canadensis
ENSMMMP00000020706	ENSMMMG00000018261	Marmota_marmota_marmota
ENSSDAP00000022875	ENSSDAG00000020779	Spermophilus_dauricus
ENSDORP00000001193	ENSDORG00000001274	Dipodomys_ordii
ENSMOCP00000027461	ENSMOCG00000022938	Microtus_ochrogaster
ENSPEMP00000005905	ENSPEMG00000008283	Peromyscus_maniculatus_bairdii
ENSCGRP00001022078	ENSCGRG00001020733	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015024490	ENSCGRG00015018622	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000007005	ENSCGRG00000005095	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000021156	ENSMAUG00000018974	Mesocricetus_auratus
MGP_SPRETEiJ_P0067673	MGP_SPRETEiJ_G0027613	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000003463	ENSMSIG00000003195	Mus_spicilegus
ENSMUSP00000030622	ENSMUSG00000028821	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0065130	MGP_CAROLIEiJ_G0026633	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0080216	MGP_PahariEiJ_G0028966	Mus_pahari_strain_PAHARI_EIJ
