ENSLACP00000013685	ENSLACG00000012044	Latimeria_chalumnae	ENSLACT00000013782
ENSLACP00000014958	ENSLACG00000013165	Latimeria_chalumnae	ENSLACT00000015063
ENSAHAP00000023999	ENSAHAG00000016764	Apteryx_haastii
ENSAOWP00000005226	ENSAOWG00000003602	Apteryx_owenii
ENSARWP00000024051	ENSARWG00000016386	Apteryx_rowi
ENSDNVP00000013649	ENSDNVG00000009609	Dromaius_novaehollandiae
ENSNPEP00000016072	ENSNPEG00000011982	Nothoprocta_perdicaria
ENSTGUP00000017301	ENSTGUG00000017021	Taeniopygia_guttata
ENSLSDP00000013129	ENSLSDG00000009563	Lonchura_striata_domestica
ENSJHYP00000009817	ENSJHYG00000007693	Junco_hyemalis
ENSZALP00000010194	ENSZALG00000008648	Zonotrichia_albicollis
ENSCCEP00000022779	ENSCCEG00000020535	Cyanistes_caeruleus
ENSMVIP00005022453	ENSMVIG00005015744	Manacus_vitellinus
ENSLCOP00000022903	ENSLCOG00000016085	Lepidothrix_coronata
ENSMUNP00000002698	ENSMUNG00000002348	Melopsittacus_undulatus
ENSCPGP00000012486	ENSCPGG00000008844	Calidris_pygmaea
ENSCPUP00000021595	ENSCPUG00000014709	Calidris_pugnax
ENSABRP00000008516	ENSABRG00000007651	Anser_brachyrhynchus
ENSAPLP00000031517	ENSAPLG00000001882	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005015414	ENSCJPG00005012780	Coturnix_japonica
ENSCPRP00005011464	ENSCPRG00005008155	Crocodylus_porosus
ENSGAGP00000013016	ENSGAGG00000009989	Gopherus_agassizii
ENSCABP00000013814	ENSCABG00000010330	Chelonoidis_abingdonii
ENSCPBP00000016463	ENSCPBG00000012132	Chrysemys_picta_bellii
ENSPVIP00000006967	ENSPVIG00000005603	Pogona_vitticeps
ENSNSUP00000017569	ENSNSUG00000012878	Notechis_scutatus	ENSNSUT00000018690
ENSSPUP00000024477	ENSSPUG00000018689	Sphenodon_punctatus
ENSPCAP00000006712	ENSPCAG00000007066	Procavia_capensis
ENSLAFP00000008760	ENSLAFG00000010458	Loxodonta_africana
ENSETEP00000010586	ENSETEG00000013045	Echinops_telfairi
ENSCAPP00000011600	ENSCAPG00000012606	Cavia_aperea
ENSCPOP00000024053	ENSCPOG00000030777	Cavia_porcellus
ENSODEP00000018958	ENSODEG00000013981	Octodon_degus
ENSFDAP00000005257	ENSFDAG00000014329	Fukomys_damarensis
ENSSTOP00000023555	ENSSTOG00000022346	Ictidomys_tridecemlineatus
ENSDORP00000003832	ENSDORG00000004103	Dipodomys_ordii
ENSOPRP00000004027	ENSOPRG00000004321	Ochotona_princeps
ENSTBEP00000010508	ENSTBEG00000012072	Tupaia_belangeri
ENSMICP00000038388	ENSMICG00000033569	Microcebus_murinus
ENSPVAP00000010065	ENSPVAG00000010681	Pteropus_vampyrus
ENSMLUP00000012168	ENSMLUG00000013364	Myotis_lucifugus
ENSVVUP00000032993	ENSVVUG00000023855	Vulpes_vulpes
ENSCAFP00020024797	ENSCAFG00020019481	Canis_lupus_dingo
ENSAMEP00000001766	ENSAMEG00000001581	Ailuropoda_melanoleuca
ENSOARP00000013730	ENSOARG00000012810	Ovis_aries
ENSCHIP00000002282	ENSCHIG00000004889	Capra_hircus
ENSBIXP00005014650	ENSBIXG00005018619	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000025598	ENSBIXG00000027671	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000015668	ENSBTAG00000011802	Bos_taurus
ENSTTRP00000004659	ENSTTRG00000004916	Tursiops_truncatus
ENSNLEP00000003216	ENSNLEG00000002651	Nomascus_leucogenys
ENSCSAP00000003514	ENSCSAG00000007389	Chlorocebus_sabaeus
ENSDNOP00000030053	ENSDNOG00000043275	Dasypus_novemcinctus
ENSVURP00010031451	ENSVURG00010024060	Vombatus_ursinus
ENSMODP00000045040	ENSMODG00000016532	Monodelphis_domestica
ENSELUP00000001961	ENSELUG00000003369	Esox_lucius
ENSHHUP00000070888	ENSHHUG00000041667	Hucho_hucho
ENSCHAP00000018588	ENSCHAG00000009611	Clupea_harengus
ENSAMXP00005031485	ENSAMXG00005015425	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000015556	ENSAMXG00000015059	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLOCP00000002055	ENSLOCG00000001743	Lepisosteus_oculatus
ENSLACP00000008939	ENSLACG00000007894	Latimeria_chalumnae
ENSECRP00000022196	ENSECRG00000014792	Erpetoichthys_calabaricus
ENSEBUP00000019251	ENSEBUG00000011971	Eptatretus_burgeri
