ENSCABP00000024720	ENSCABG00000018200	Chelonoidis_abingdonii
ENSGAGP00000031429	ENSGAGG00000022580	Gopherus_agassizii
ENSSCAP00000001286	ENSSCAG00000001086	Serinus_canaria
ENSPSMP00000032418	ENSPSMG00000022431	Prolemur_simus
ENSCAFP00000028840	ENSCAFG00000019504	Canis_lupus_familiaris
ENSBTAP00000042269	ENSBTAG00000024520	Bos_taurus
ENSETEP00000009158	ENSETEG00000011295	Echinops_telfairi
ENSCPGP00000018450	ENSCPGG00000012891	Calidris_pygmaea
ENSAOCP00000022843	ENSAOCG00000008542	Amphiprion_ocellaris	ENSAOCT00000006930
ENSXETP00000012158	ENSXETG00000014753	Xenopus_tropicalis
ENSCPUP00000007028	ENSCPUG00000005070	Calidris_pugnax
ENSGGOP00000013125	ENSGGOG00000013459	Gorilla_gorilla
ENSMVIP00005000744	ENSMVIG00005000597	Manacus_vitellinus
ENSABRP00000006530	ENSABRG00000006000	Anser_brachyrhynchus
ENSPPAP00000016018	ENSPPAG00000031126	Pan_paniscus
ENSLACP00000021731	ENSLACG00000019095	Latimeria_chalumnae
ENSMSIP00000016986	ENSMSIG00000014537	Mus_spicilegus
ENSLSDP00000009167	ENSLSDG00000006819	Lonchura_striata_domestica
ENSRROP00000026330	ENSRROG00000036910	Rhinopithecus_roxellana
ENSLCRP00005056923	ENSLCRG00005021159	Larimichthys_crocea
ENSVURP00010031836	ENSVURG00010024325	Vombatus_ursinus
ENSMFAP00000023382	ENSMFAG00000043364	Macaca_fascicularis
ENSNLEP00000009924	ENSNLEG00000008148	Nomascus_leucogenys
ENSTSYP00000009775	ENSTSYG00000010726	Carlito_syrichta
ENSSHAP00000010025	ENSSHAG00000008671	Sarcophilus_harrisii
ENSCHIP00000025320	ENSCHIG00000022147	Capra_hircus
ENSPVIP00000023961	ENSPVIG00000018075	Pogona_vitticeps
ENSMUSP00000054638	ENSMUSG00000047613	Mus_musculus_strain_reference_(CL57BL6)
ENSTGEP00000018066	ENSTGEG00000014616	Theropithecus_gelada
ENSNBRP00000029519	ENSNBRG00000022490	Neolamprologus_brichardi	ENSNBRT00000030277
ENSFCAP00000062025	ENSFCAG00000011635	Felis_catus
ENSPPRP00000006611	ENSPPRG00000001986	Panthera_pardus
ENSMODP00000008041	ENSMODG00000006479	Monodelphis_domestica
ENSOPRP00000011557	ENSOPRG00000012666	Ochotona_princeps
ENSSDUP00000020170	ENSSDUG00000014676	Seriola_dumerili
ENSHBUP00000016686	ENSHBUG00000018651	Haplochromis_burtoni	ENSHBUT00000025288
ENSMLUP00000000579	ENSMLUG00000000641	Myotis_lucifugus
MGP_SPRETEiJ_P0068700	MGP_SPRETEiJ_G0027854	Mus_spretus_strain_SPRET/EiJ
ENSUMAP00000015135	ENSUMAG00000011142	Ursus_maritimus
ENSCAPP00000006636	ENSCAPG00000008754	Cavia_aperea
ENSPNYP00000015740	ENSPNYG00000011937	Pundamilia_nyererei	ENSPNYT00000016141
ENSPEMP00000023638	ENSPEMG00000020619	Peromyscus_maniculatus_bairdii
ENSMNEP00000002093	ENSMNEG00000009614	Macaca_nemestrina
