ENSDCDP00000058007	ENSDCDG00000033761	Denticeps_clupeoides
ENSCHAP00000029346	ENSCHAG00000014097	Clupea_harengus
ENSIPUP00000003982	ENSIPUG00000002799	Ictalurus_punctatus
ENSEEEP00000032092	ENSEEEG00000015308	Electrophorus_electricus
ENSPNAP00000003294	ENSPNAG00000009738	Pygocentrus_nattereri
ENSAMXP00005038818	ENSAMXG00005018381	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSHHUP00000075655	ENSHHUG00000044309	Hucho_hucho
ENSHHUP00000075649	ENSHHUG00000044305	Hucho_hucho
ENSELUP00000007354	ENSELUG00000008135	Esox_lucius
ENSCGOP00000012872	ENSCGOG00000006314	Cottoperca_gobio
ENSGACP00000009496	ENSGACG00000007177	Gasterosteus_aculeatus
ENSMMOP00000004682	ENSMMOG00000003743	Mola_mola
ENSLCRP00005051544	ENSLCRG00005019411	Larimichthys_crocea
ENSBSLP00000048001	ENSBSLG00000022833	Betta_splendens
ENSSLDP00000015773	ENSSLDG00000012524	Seriola_lalandi_dorsalis
ENSSDUP00000016967	ENSSDUG00000012366	Seriola_dumerili
ENSLCAP00010033768	ENSLCAG00010015871	Lates_calcarifer
ENSSMAP00000033375	ENSSMAG00000020428	Scophthalmus_maximus
ENSCGOP00000012862	ENSCGOG00000006312	Cottoperca_gobio
ENSLBEP00000013083	ENSLBEG00000010049	Labrus_bergylta
ENSKMAP00000004861	ENSKMAG00000003679	Kryptolebias_marmoratus
ENSTRUP00000003557	ENSTRUG00000001552	Takifugu_rubripes
ENSTNIP00000001611	ENSTNIG00000000272	Tetraodon_nigroviridis
ENSOMEP00000003558	ENSOMEG00000004474	Oryzias_melastigma
ENSORLP00000036605	ENSORLG00000012312	Oryzias_latipes_ASM223467v1
ENSCSEP00000002640	ENSCSEG00000001755	Cynoglossus_semilaevis
ENSMALP00000012589	ENSMALG00000008898	Monopterus_albus
ENSMAMP00000006527	ENSMAMG00000004378	Mastacembelus_armatus
ENSATEP00000005050	ENSATEG00000003486	Anabas_testudineus
ENSPRNP00000022562	ENSPRNG00000011577	Parambassis_ranga
ENSPRNP00000022560	ENSPRNG00000011576	Parambassis_ranga
ENSAOCP00000006697	ENSAOCG00000010413	Amphiprion_ocellaris
ENSAPEP00000027886	ENSAPEG00000019760	Amphiprion_percula
ENSAPOP00000030132	ENSAPOG00000016473	Acanthochromis_polyacanthus
ENSSPAP00000003131	ENSSPAG00000002337	Stegastes_partitus
ENSACIP00000016705	ENSACIG00000013004	Amphilophus_citrinellus
ENSACIP00000016733	ENSACIG00000013028	Amphilophus_citrinellus
ENSPNYP00000013722	ENSPNYG00000010373	Pundamilia_nyererei
ENSHBUP00000024277	ENSHBUG00000005604	Haplochromis_burtoni
ENSMZEP00005014533	ENSMZEG00005010928	Maylandia_zebra
ENSACLP00000005822	ENSACLG00000003905	Astatotilapia_calliptera
ENSNBRP00000003093	ENSNBRG00000002439	Neolamprologus_brichardi
ENSONIP00000006983	ENSONIG00000005556	Oreochromis_niloticus
ENSHCOP00000009679	ENSHCOG00000012174	Hippocampus_comes
ENSPMGP00000004441	ENSPMGG00000003741	Periophthalmus_magnuspinnatus
ENSPKIP00000009051	ENSPKIG00000024303	Paramormyrops_kingsleyae
ENSSFOP00015003118	ENSSFOG00015001998	Scleropages_formosus
ENSLOCP00000004066	ENSLOCG00000003432	Lepisosteus_oculatus
ENSECRP00000011370	ENSECRG00000007581	Erpetoichthys_calabaricus
ENSLACP00000013577	ENSLACG00000011954	Latimeria_chalumnae
ENSCMIP00000045902	ENSCMIG00000018914	Callorhinchus_milii
ENSPVIP00000017251	ENSPVIG00000013290	Pogona_vitticeps
ENSOANP00000028978	ENSOANG00000022681	Ornithorhynchus_anatinus
ENSGAGP00000014704	ENSGAGG00000011156	Gopherus_agassizii
ENSCABP00000018501	ENSCABG00000013686	Chelonoidis_abingdonii
ENSCPBP00000022572	ENSCPBG00000016123	Chrysemys_picta_bellii
ENSPSIP00000003591	ENSPSIG00000003417	Pelodiscus_sinensis
ENSCPRP00005011839	ENSCPRG00005008439	Crocodylus_porosus
ENSACAP00000017614	ENSACAG00000017891	Anolis_carolinensis
ENSNSUP00000003053	ENSNSUG00000002508	Notechis_scutatus
ENSSMRP00000030876	ENSSMRG00000023681	Salvator_merianae
ENSSPUP00000016770	ENSSPUG00000012953	Sphenodon_punctatus
ENSPCAP00000008044	ENSPCAG00000008598	Procavia_capensis
ENSETEP00000014333	ENSETEG00000017645	Echinops_telfairi
ENSFDAP00000004176	ENSFDAG00000013456	Fukomys_damarensis
ENSHGLP00000026356	ENSHGLG00000018753	Heterocephalus_glaber_HetGla_female_1.0
