ENSGGOP00000009593	ENSGGOG00000009799	Gorilla_gorilla
ENSAMXP00005046022	ENSAMXG00005021207	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSACIP00000018317	ENSACIG00000014261	Amphilophus_citrinellus
ENSGMOP00000002733	ENSGMOG00000002476	Gadus_morhua
ENSACLP00000029132	ENSACLG00000019626	Astatotilapia_calliptera
ENSPANP00000045986	ENSPANG00000009194	Papio_anubis
ENSCLAP00000011282	ENSCLAG00000007783	Chinchilla_lanigera
ENSDNVP00000017241	ENSDNVG00000012064	Dromaius_novaehollandiae
ENSPTRP00000068456	ENSPTRG00000018033	Pan_troglodytes
ENSSDAP00000021777	ENSSDAG00000019369	Spermophilus_dauricus
ENSFHEP00000010395	ENSFHEG00000011909	Fundulus_heteroclitus
ENSEBUP00000002491	ENSEBUG00000001935	Eptatretus_burgeri
ENSHHUP00000091264	ENSHHUG00000052666	Hucho_hucho
ENSSLDP00000014793	ENSSLDG00000011802	Seriola_lalandi_dorsalis
ENSDORP00000012987	ENSDORG00000013815	Dipodomys_ordii
ENSDCDP00000062042	ENSDCDG00000035209	Denticeps_clupeoides
ENSJJAP00000005748	ENSJJAG00000010448	Jaculus_jaculus
ENSLCAP00010050864	ENSLCAG00010023713	Lates_calcarifer
ENSHHUP00000020027	ENSHHUG00000012537	Hucho_hucho
MGP_PahariEiJ_P0043683	MGP_PahariEiJ_G0020438	Mus_pahari_strain_PAHARI_EIJ
ENSCAFP00020003688	ENSCAFG00020003093	Canis_lupus_dingo
ENSHHUP00000020022	ENSHHUG00000012532	Hucho_hucho
ENSTRUP00000048815	ENSTRUG00000021735	Takifugu_rubripes
ENSCPBP00000006104	ENSCPBG00000004873	Chrysemys_picta_bellii
ENSCSEP00000031670	ENSCSEG00000020238	Cynoglossus_semilaevis
ENSTSYP00000028906	ENSTSYG00000027190	Carlito_syrichta
ENSOPRP00000000821	ENSOPRG00000000846	Ochotona_princeps
ENSSMAP00000026481	ENSSMAG00000016118	Scophthalmus_maximus
ENSAOCP00000001793	ENSAOCG00000004956	Amphiprion_ocellaris
ENSAMEP00000001995	ENSAMEG00000001744	Ailuropoda_melanoleuca
ENSPCAP00000009732	ENSPCAG00000010051	Procavia_capensis
MGP_SPRETEiJ_P0046037	MGP_SPRETEiJ_G0022346	Mus_spretus_strain_SPRET/EiJ
ENSCANP00000011353	ENSCANG00000028991	Colobus_angolensis_palliatus
ENSPVIP00000003434	ENSPVIG00000002882	Pogona_vitticeps
ENSAPOP00000026906	ENSAPOG00000011284	Acanthochromis_polyacanthus
ENSPSMP00000027438	ENSPSMG00000019150	Prolemur_simus
ENSPCIP00000052586	ENSPCIG00000031838	Phascolarctos_cinereus
ENSPEMP00000018373	ENSPEMG00000016918	Peromyscus_maniculatus_bairdii
ENSCVAP00000027641	ENSCVAG00000014426	Cyprinodon_variegatus
ENSTGEP00000037005	ENSTGEG00000029458	Theropithecus_gelada
ENSMAUP00000024536	ENSMAUG00000021348	Mesocricetus_auratus
ENSLCAP00010045896	ENSLCAG00010021313	Lates_calcarifer
ENSPLAP00000024131	ENSPLAG00000010342	Poecilia_latipinna
ENSHHUP00000091259	ENSHHUG00000052652	Hucho_hucho
MGP_CAROLIEiJ_P0044139	MGP_CAROLIEiJ_G0021440	Mus_caroli_strain_CAROLI_EIJ
ENSEASP00005030534	ENSEASG00005020791	Equus_asinus_asinus
ENSBTAP00000000793	ENSBTAG00000000601	Bos_taurus
ENSAHAP00000004980	ENSAHAG00000003854	Apteryx_haastii
ENSACAP00000003337	ENSACAG00000003040	Anolis_carolinensis
ENSSHAP00000006363	ENSSHAG00000005537	Sarcophilus_harrisii
ENSGAFP00000028660	ENSGAFG00000019363	Gambusia_affinis
ENSCGRP00000020113	ENSCGRG00000014642	Cricetulus_griseus_CriGri_1.0
ENSPNYP00000016382	ENSPNYG00000012370	Pundamilia_nyererei
ENSBSLP00000039185	ENSBSLG00000018841	Betta_splendens	ENSBSLT00000043195
ENSSMRP00000004472	ENSSMRG00000003688	Salvator_merianae
ENSOARP00000008967	ENSOARG00000008335	Ovis_aries
ENSACIP00000018331	ENSACIG00000014315	Amphilophus_citrinellus
ENSEEEP00000034032	ENSEEEG00000016153	Electrophorus_electricus
ENSSPAP00000030218	ENSSPAG00000022668	Stegastes_partitus
ENSCPGP00000024350	ENSCPGG00000016788	Calidris_pygmaea
ENSMUSP00000084772	ENSMUSG00000024330	Mus_musculus_strain_reference_(CL57BL6)
ENSSSCP00000059675	ENSSSCG00000001473	Sus_scrofa_strain_reference
ENSETEP00000005407	ENSETEG00000006647	Echinops_telfairi
ENSLOCP00000000779	ENSLOCG00000000702	Lepisosteus_oculatus
ENSPPRP00000004899	ENSPPRG00000001194	Panthera_pardus
ENSBIXP00005009753	ENSBIXG00005014598	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSATEP00000029772	ENSATEG00000020525	Anabas_testudineus
ENSCGRP00001015722	ENSCGRG00001016209	Cricetulus_griseus_CHOK1GS_HDv1
ENSEBUP00000023925	ENSEBUG00000014741	Eptatretus_burgeri
ENSCGOP00000026448	ENSCGOG00000012463	Cottoperca_gobio
ENSPCOP00000028088	ENSPCOG00000026625	Propithecus_coquereli
ENSODEP00000023928	ENSODEG00000017513	Octodon_degus
ENSHHUP00000020012	ENSHHUG00000012525	Hucho_hucho
ENSUAMP00000035455	ENSUAMG00000026897	Ursus_americanus
ENSEBUP00000000321	ENSEBUG00000000507	Eptatretus_burgeri
ENSCVAP00000023567	ENSCVAG00000008318	Cyprinodon_variegatus
ENSGACP00000000126	ENSGACG00000000099	Gasterosteus_aculeatus
ENSPNAP00000025944	ENSPNAG00000001681	Pygocentrus_nattereri
ENSFCAP00000046833	ENSFCAG00000046454	Felis_catus
ENSORLP00020025439	ENSORLG00020007465	Oryzias_latipes_ASM223471v1
ENSVURP00010019514	ENSVURG00010014883	Vombatus_ursinus
ENSECRP00000006980	ENSECRG00000004653	Erpetoichthys_calabaricus
ENSATEP00000029860	ENSATEG00000020565	Anabas_testudineus
ENSNVIP00000008122	ENSNVIG00000006062	Neovison_vison
ENSLAFP00000008016	ENSLAFG00000009548	Loxodonta_africana
ENSCJAP00000040237	ENSCJAG00000021577	Callithrix_jacchus
ENSECRP00000006988	ENSECRG00000004666	Erpetoichthys_calabaricus	ENSECRT00000007100
ENSSBOP00000029096	ENSSBOG00000030814	Saimiri_boliviensis_boliviensis
ENSARWP00000014247	ENSARWG00000009852	Apteryx_rowi
ENSLBEP00000037645	ENSLBEG00000028093	Labrus_bergylta
ENSLACP00000003456	ENSLACG00000003084	Latimeria_chalumnae
ENSELUP00000019993	ENSELUG00000019412	Esox_lucius
ENSRBIP00000008665	ENSRBIG00000028179	Rhinopithecus_bieti
ENSDARP00000125963	ENSDARG00000012422	Danio_rerio
ENSOCUP00000014195	ENSOCUG00000016497	Oryctolagus_cuniculus
ENSPREP00000008935	ENSPREG00000004962	Poecilia_reticulata
ENSBMUP00000010861	ENSBMUG00000008342	Bos_mutus
ENSUPAP00010016476	ENSUPAG00010012591	Urocitellus_parryii
ENSMSIP00000013936	ENSMSIG00000011347	Mus_spicilegus
