ENSORLP00015005477	ENSORLG00015006258	Oryzias_latipes_ASM223469v1
ENSHHUP00000090884	ENSHHUG00000052455	Hucho_hucho
ENSORLP00020002282	ENSORLG00020003035	Oryzias_latipes_ASM223471v1
ENSSMAP00000011386	ENSSMAG00000007012	Scophthalmus_maximus
ENSKMAP00000003201	ENSKMAG00000002451	Kryptolebias_marmoratus
ENSPLAP00000003927	ENSPLAG00000005536	Poecilia_latipinna
ENSORLP00000041488	ENSORLG00000022567	Oryzias_latipes_ASM223467v1
ENSATEP00000027905	ENSATEG00000019286	Anabas_testudineus	ENSATET00000028343
ENSLCRP00005010589	ENSLCRG00005004862	Larimichthys_crocea
ENSTRUP00000048129	ENSTRUG00000022385	Takifugu_rubripes
ENSHCOP00000015963	ENSHCOG00000019648	Hippocampus_comes
ENSSLDP00000020896	ENSSLDG00000016340	Seriola_lalandi_dorsalis
ENSAOCP00000017618	ENSAOCG00000002445	Amphiprion_ocellaris
ENSPFOP00000030556	ENSPFOG00000022737	Poecilia_formosa
ENSGACP00000020709	ENSGACG00000015692	Gasterosteus_aculeatus
ENSPRNP00000043648	ENSPRNG00000021282	Parambassis_ranga
ENSXMAP00000027926	ENSXMAG00000025351	Xiphophorus_maculatus
ENSMZEP00005006238	ENSMZEG00005004856	Maylandia_zebra
ENSOMEP00000007607	ENSOMEG00000008720	Oryzias_melastigma
ENSLBEP00000009025	ENSLBEG00000006985	Labrus_bergylta
ENSHBUP00000025300	ENSHBUG00000007204	Haplochromis_burtoni
ENSGAFP00000026812	ENSGAFG00000018116	Gambusia_affinis
ENSMAMP00000006740	ENSMAMG00000004587	Mastacembelus_armatus	ENSMAMT00000006927
ENSSPAP00000001602	ENSSPAG00000001233	Stegastes_partitus
ENSAPOP00000003825	ENSAPOG00000005376	Acanthochromis_polyacanthus
ENSPNYP00000002209	ENSPNYG00000001762	Pundamilia_nyererei
ENSPMEP00000016796	ENSPMEG00000019516	Poecilia_mexicana
ENSCGOP00000033041	ENSCGOG00000015335	Cottoperca_gobio
ENSAPEP00000019940	ENSAPEG00000014250	Amphiprion_percula
