ENSPCOP00000003405	ENSPCOG00000010238	Propithecus_coquereli
ENSPSMP00000001409	ENSPSMG00000001047	Prolemur_simus
ENSMICP00000027807	ENSMICG00000013478	Microcebus_murinus
ENSOGAP00000015869	ENSOGAG00000027547	Otolemur_garnettii
ENSTSYP00000031968	ENSTSYG00000029159	Carlito_syrichta
ENSPTRP00000080028	ENSPTRG00000010569	Pan_troglodytes	ENSPTRT00000099004
ENSPPAP00000036611	ENSPPAG00000041052	Pan_paniscus	ENSPPAT00000059503
ENSP00000254336	ENSG00000132016	Homo_sapiens	ENST00000346736
ENSGGOP00000000952	ENSGGOG00000000965	Gorilla_gorilla	ENSGGOT00000000973
ENSPPYP00000010792	ENSPPYG00000009628	Pongo_abelii
ENSNLEP00000015953	ENSNLEG00000013152	Nomascus_leucogenys
ENSPANP00000007382	ENSPANG00000017976	Papio_anubis
ENSCSAP00000002704	ENSCSAG00000006425	Chlorocebus_sabaeus
ENSTGEP00000007847	ENSTGEG00000006425	Theropithecus_gelada
ENSMFAP00000031873	ENSMFAG00000036981	Macaca_fascicularis
ENSMNEP00000039268	ENSMNEG00000042593	Macaca_nemestrina
ENSMMUP00000010907	ENSMMUG00000008317	Macaca_mulatta
ENSCATP00000010682	ENSCATG00000029619	Cercocebus_atys
ENSMLEP00000004202	ENSMLEG00000018878	Mandrillus_leucophaeus
ENSRROP00000006249	ENSRROG00000024917	Rhinopithecus_roxellana
ENSRBIP00000024268	ENSRBIG00000036036	Rhinopithecus_bieti
ENSRBIP00000021707	ENSRBIG00000034812	Rhinopithecus_bieti
ENSCANP00000009790	ENSCANG00000028278	Colobus_angolensis_palliatus
ENSPTEP00000000251	ENSPTEG00000000308	Piliocolobus_tephrosceles
ENSMMUP00000031783	ENSMMUG00000049316	Macaca_mulatta
ENSCCAP00000030985	ENSCCAG00000033537	Cebus_capucinus_imitator
ENSCJAP00000007930	ENSCJAG00000004372	Callithrix_jacchus
ENSANAP00000034711	ENSANAG00000034942	Aotus_nancymaae
ENSSBOP00000001181	ENSSBOG00000005665	Saimiri_boliviensis_boliviensis
ENSOPRP00000006611	ENSOPRG00000007215	Ochotona_princeps
MGP_SPRETEiJ_P0088723	MGP_SPRETEiJ_G0032413	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000015285	ENSMSIG00000013081	Mus_spicilegus
ENSMUSP00000113651	ENSMUSG00000008129	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0085221	MGP_CAROLIEiJ_G0031295	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0053520	MGP_PahariEiJ_G0022901	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000029954	ENSRNOG00000025796	Rattus_norvegicus
ENSMUGP00000017138	ENSMUGG00000014599	Meriones_unguiculatus
ENSCGRP00015021857	ENSCGRG00015016605	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001005342	ENSCGRG00001007024	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000024624	ENSCGRG00000017851	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000024886	ENSMAUG00000021597	Mesocricetus_auratus
ENSPEMP00000000998	ENSPEMG00000000718	Peromyscus_maniculatus_bairdii
ENSMOCP00000022414	ENSMOCG00000019462	Microtus_ochrogaster
ENSNGAP00000005511	ENSNGAG00000007857	Nannospalax_galili
ENSHGLP00000004382	ENSHGLG00000003199	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016968	ENSHGLG00100012516	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000009169	ENSFDAG00000017229	Fukomys_damarensis
ENSCLAP00000021894	ENSCLAG00000015002	Chinchilla_lanigera
ENSUPAP00010014592	ENSUPAG00010011699	Urocitellus_parryii
ENSSTOP00000020485	ENSSTOG00000028732	Ictidomys_tridecemlineatus
ENSMMMP00000024683	ENSMMMG00000021612	Marmota_marmota_marmota
ENSTBEP00000011919	ENSTBEG00000013761	Tupaia_belangeri
ENSMLUP00000021474	ENSMLUG00000025695	Myotis_lucifugus
ENSPVAP00000016545	ENSPVAG00000017540	Pteropus_vampyrus
ENSCHIP00000012337	ENSCHIG00000014143	Capra_hircus
