MGP_SPRETEiJ_P0039772	MGP_SPRETEiJ_G0020608	Mus_spretus_strain_SPRET/EiJ
ENSPMJP00000007616	ENSPMJG00000006258	Parus_major
ENSEASP00005027281	ENSEASG00005018595	Equus_asinus_asinus
ENSUAMP00000031064	ENSUAMG00000023857	Ursus_americanus
ENSANAP00000016503	ENSANAG00000026097	Aotus_nancymaae
ENSAPOP00000032817	ENSAPOG00000021028	Acanthochromis_polyacanthus
ENSGWIP00000029396	ENSGWIG00000015332	Gouania_willdenowi
ENSJJAP00000008611	ENSJJAG00000012729	Jaculus_jaculus
ENSDCDP00000023095	ENSDCDG00000017582	Denticeps_clupeoides	ENSDCDT00000031363
YJR064W_mRNA	YJR064W	Saccharomyces_cerevisiae_strain_S288C
ENSDNVP00000025490	ENSDNVG00000017731	Dromaius_novaehollandiae
ENSOCUP00000018287	ENSOCUG00000021231	Oryctolagus_cuniculus
ENSPTRP00000028695	ENSPTRG00000016725	Pan_troglodytes
ENSDCDP00000023281	ENSDCDG00000017629	Denticeps_clupeoides	ENSDCDT00000031608
ENSCHAP00000022063	ENSCHAG00000010736	Clupea_harengus	ENSCHAT00000024097
ENSFCAP00000002880	ENSFCAG00000003129	Felis_catus
ENSMSIP00000024430	ENSMSIG00000020657	Mus_spicilegus
ENSP00000280326	ENSG00000150753	Homo_sapiens
ENSSDAP00000009990	ENSSDAG00000009103	Spermophilus_dauricus
ENSECAP00000016965	ENSECAG00000019192	Equus_caballus
ENSNLEP00000033907	ENSNLEG00000032559	Nomascus_leucogenys
ENSMEUP00000011619	ENSMEUG00000012748	Notamacropus_eugenii
ENSHHUP00000002081	ENSHHUG00000001316	Hucho_hucho
ENSPSMP00000016876	ENSPSMG00000011965	Prolemur_simus
ENSODEP00000003156	ENSODEG00000002422	Octodon_degus
ENSTGEP00000001839	ENSTGEG00000001676	Theropithecus_gelada
ENSOGAP00000019174	ENSOGAG00000029948	Otolemur_garnettii
ENSMMUP00000044352	ENSMMUG00000020112	Macaca_mulatta
ENSHCOP00000023915	ENSHCOG00000012819	Hippocampus_comes
ENSGMOP00000011993	ENSGMOG00000011220	Gadus_morhua
ENSPEMP00000028004	ENSPEMG00000023652	Peromyscus_maniculatus_bairdii
ENSMZEP00005028634	ENSMZEG00005021350	Maylandia_zebra
ENSPANP00000004256	ENSPANG00000006999	Papio_anubis
ENSEEEP00000002456	ENSEEEG00000001432	Electrophorus_electricus
