ENSCPGP00000001576	ENSCPGG00000001211	Calidris_pygmaea
ENSCPUP00000010295	ENSCPUG00000007316	Calidris_pugnax
ENSMVIP00005000117	ENSMVIG00005000123	Manacus_vitellinus
ENSMVIP00005005968	ENSMVIG00005004546	Manacus_vitellinus
ENSLCOP00000014798	ENSLCOG00000010594	Lepidothrix_coronata
ENSLSDP00000006336	ENSLSDG00000004832	Lonchura_striata_domestica
ENSTGUP00000006354	ENSTGUG00000006181	Taeniopygia_guttata
ENSSCAP00000012383	ENSSCAG00000009259	Serinus_canaria
ENSJHYP00000014247	ENSJHYG00000011033	Junco_hyemalis
ENSZALP00000019487	ENSZALG00000015439	Zonotrichia_albicollis
ENSCCEP00000001132	ENSCCEG00000001405	Cyanistes_caeruleus
ENSPMJP00000004438	ENSPMJG00000003834	Parus_major
ENSFALP00000009500	ENSFALG00000009106	Ficedula_albicollis
ENSMUNP00000020873	ENSMUNG00000015842	Melopsittacus_undulatus
ENSGALP00000007019	ENSGALG00000004412	Gallus_gallus
ENSCJPP00005026661	ENSCJPG00005020731	Coturnix_japonica
ENSMGAP00000004465	ENSMGAG00000004639	Meleagris_gallopavo
ENSNMEP00000022066	ENSNMEG00000018900	Numida_meleagris
ENSABRP00000016821	ENSABRG00000014738	Anser_brachyrhynchus
ENSAPLP00000006428	ENSAPLG00000006817	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000007956	ENSAHAG00000005895	Apteryx_haastii
ENSARWP00000022366	ENSARWG00000015236	Apteryx_rowi
ENSAOWP00000024624	ENSAOWG00000016633	Apteryx_owenii
ENSDNVP00000022096	ENSDNVG00000015400	Dromaius_novaehollandiae
ENSNPEP00000007517	ENSNPEG00000005634	Nothoprocta_perdicaria
ENSCPRP00005017923	ENSCPRG00005012495	Crocodylus_porosus
ENSGAGP00000029809	ENSGAGG00000021528	Gopherus_agassizii
ENSCABP00000017977	ENSCABG00000013359	Chelonoidis_abingdonii
ENSCPBP00000037677	ENSCPBG00000026097	Chrysemys_picta_bellii
ENSCPBP00000013316	ENSCPBG00000009977	Chrysemys_picta_bellii
ENSCABP00000013681	ENSCABG00000010240	Chelonoidis_abingdonii
ENSPSIP00000015364	ENSPSIG00000013689	Pelodiscus_sinensis
ENSPVIP00000016547	ENSPVIG00000012802	Pogona_vitticeps
ENSACAP00000000976	ENSACAG00000000992	Anolis_carolinensis
ENSNSUP00000011837	ENSNSUG00000008906	Notechis_scutatus
ENSSMRP00000000301	ENSSMRG00000000300	Salvator_merianae
ENSSPUP00000014775	ENSSPUG00000011410	Sphenodon_punctatus
ENSUAMP00000010575	ENSUAMG00000008692	Ursus_americanus
ENSUMAP00000006863	ENSUMAG00000005356	Ursus_maritimus
ENSAMEP00000015416	ENSAMEG00000014628	Ailuropoda_melanoleuca
ENSCAFP00020020902	ENSCAFG00020016535	Canis_lupus_dingo
ENSCAFP00000011742	ENSCAFG00000007933	Canis_lupus_familiaris
ENSVVUP00000023108	ENSVVUG00000016879	Vulpes_vulpes
ENSNVIP00000023573	ENSNVIG00000018315	Neovison_vison
ENSMPUP00000001980	ENSMPUG00000001999	Mustela_putorius_furo
ENSPPRP00000016076	ENSPPRG00000008495	Panthera_pardus
ENSPTIP00000012094	ENSPTIG00000012278	Panthera_tigris_altaica
ENSFCAP00000033017	ENSFCAG00000038479	Felis_catus
ENSEEUP00000008362	ENSEEUG00000009194	Erinaceus_europaeus
ENSEASP00005017979	ENSEASG00005012419	Equus_asinus_asinus
ENSECAP00000017797	ENSECAG00000020255	Equus_caballus
ENSBIXP00000009615	ENSBIXG00000015267	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005037912	ENSBIXG00005019957	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000005496	ENSBTAG00000004199	Bos_taurus
ENSBMUP00000023479	ENSBMUG00000017596	Bos_mutus
ENSBBBP00000009438	ENSBBBG00000017569	Bison_bison_bison
ENSOARP00000012527	ENSOARG00000011690	Ovis_aries
ENSCHIP00000016999	ENSCHIG00000017049	Capra_hircus
ENSTTRP00000014965	ENSTTRG00000015795	Tursiops_truncatus
ENSSSCP00000010461	ENSSSCG00000009799	Sus_scrofa_strain_reference
ENSVPAP00000010662	ENSVPAG00000011450	Vicugna_pacos
ENSPVAP00000001194	ENSPVAG00000001272	Pteropus_vampyrus
ENSCJAP00000037859	ENSCJAG00000045684	Callithrix_jacchus
ENSCCAP00000038767	ENSCCAG00000037225	Cebus_capucinus_imitator
ENSSBOP00000000223	ENSSBOG00000000776	Saimiri_boliviensis_boliviensis
ENSANAP00000008357	ENSANAG00000022198	Aotus_nancymaae
ENSMMUP00000061597	ENSMMUG00000018037	Macaca_mulatta
ENSMNEP00000001757	ENSMNEG00000007911	Macaca_nemestrina
ENSMFAP00000032813	ENSMFAG00000002957	Macaca_fascicularis
ENSMLEP00000013670	ENSMLEG00000030998	Mandrillus_leucophaeus
ENSPANP00000007570	ENSPANG00000007813	Papio_anubis
ENSCATP00000017252	ENSCATG00000032532	Cercocebus_atys
ENSTGEP00000031812	ENSTGEG00000025447	Theropithecus_gelada
ENSCSAP00000015891	ENSCSAG00000002145	Chlorocebus_sabaeus
ENSRBIP00000033306	ENSRBIG00000040409	Rhinopithecus_bieti
ENSRROP00000016421	ENSRROG00000032357	Rhinopithecus_roxellana
ENSPTEP00000009741	ENSPTEG00000011054	Piliocolobus_tephrosceles
ENSCANP00000031045	ENSCANG00000039188	Colobus_angolensis_palliatus
ENSP00000499058	ENSG00000184047	Homo_sapiens
ENSP00000398495	ENSG00000284934	Homo_sapiens
ENSGGOP00000005240	ENSGGOG00000005350	Gorilla_gorilla
ENSPTRP00000071257	ENSPTRG00000005576	Pan_troglodytes
ENSPPAP00000002346	ENSPPAG00000010438	Pan_paniscus
ENSPPYP00000005770	ENSPPYG00000005065	Pongo_abelii
ENSNLEP00000030659	ENSNLEG00000001453	Nomascus_leucogenys
ENSTSYP00000025704	ENSTSYG00000003550	Carlito_syrichta
ENSPCOP00000025699	ENSPCOG00000025105	Propithecus_coquereli
ENSMICP00000033763	ENSMICG00000001170	Microcebus_murinus
ENSPSMP00000025342	ENSPSMG00000017775	Prolemur_simus
ENSOGAP00000018618	ENSOGAG00000025719	Otolemur_garnettii
ENSCCNP00000032332	ENSCCNG00000030686	Castor_canadensis
ENSDORP00000011960	ENSDORG00000012717	Dipodomys_ordii
MGP_SPRETEiJ_P0073412	MGP_SPRETEiJ_G0028726	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000107214	ENSMUSG00000029433	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0070712	MGP_CAROLIEiJ_G0027728	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0058930	MGP_PahariEiJ_G0024309	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000011308	ENSRNOG00000008548	Rattus_norvegicus
ENSRNOP00000046476	ENSRNOG00000029197	Rattus_norvegicus
ENSMUGP00000018380	ENSMUGG00000015534	Meriones_unguiculatus
ENSMAUP00000010947	ENSMAUG00000011677	Mesocricetus_auratus
ENSMAUP00000014060	ENSMAUG00000013937	Mesocricetus_auratus
ENSCGRP00015033632	ENSCGRG00015025302	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001007205	ENSCGRG00001009645	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000001500	ENSPEMG00000001249	Peromyscus_maniculatus_bairdii
ENSPEMP00000000280	ENSPEMG00000000210	Peromyscus_maniculatus_bairdii
ENSMOCP00000007900	ENSMOCG00000007795	Microtus_ochrogaster
ENSNGAP00000013902	ENSNGAG00000015344	Nannospalax_galili
ENSJJAP00000022388	ENSJJAG00000022450	Jaculus_jaculus
ENSHGLP00000009421	ENSHGLG00000006756	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100024899	ENSHGLG00100018279	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021095	ENSFDAG00000007956	Fukomys_damarensis
ENSODEP00000013817	ENSODEG00000010212	Octodon_degus
ENSCLAP00000016985	ENSCLAG00000011654	Chinchilla_lanigera
ENSCPOP00000002641	ENSCPOG00000002908	Cavia_porcellus
ENSCAPP00000014396	ENSCAPG00000014790	Cavia_aperea
ENSSTOP00000013370	ENSSTOG00000014928	Ictidomys_tridecemlineatus
ENSUPAP00010021610	ENSUPAG00010017178	Urocitellus_parryii
ENSMMMP00000000798	ENSMMMG00000000715	Marmota_marmota_marmota
ENSMMMP00000026647	ENSMMMG00000023319	Marmota_marmota_marmota
ENSSDAP00000019665	ENSSDAG00000017875	Spermophilus_dauricus
ENSTBEP00000006971	ENSTBEG00000008059	Tupaia_belangeri
ENSPCAP00000005804	ENSPCAG00000006249	Procavia_capensis
ENSETEP00000003339	ENSETEG00000004073	Echinops_telfairi
ENSLAFP00000025935	ENSLAFG00000030678	Loxodonta_africana
ENSOCUP00000022338	ENSOCUG00000022017	Oryctolagus_cuniculus
ENSOPRP00000009671	ENSOPRG00000010590	Ochotona_princeps
ENSCHOP00000004379	ENSCHOG00000004943	Choloepus_hoffmanni
ENSDNOP00000013617	ENSDNOG00000017558	Dasypus_novemcinctus
ENSMLUP00000015724	ENSMLUG00000017247	Myotis_lucifugus
ENSSARP00000012344	ENSSARG00000013671	Sorex_araneus
ENSMSIP00000037142	ENSMSIG00000030949	Mus_spicilegus
ENSVURP00010005161	ENSVURG00010004051	Vombatus_ursinus
ENSPCIP00000038948	ENSPCIG00000028626	Phascolarctos_cinereus
ENSMEUP00000002179	ENSMEUG00000002385	Notamacropus_eugenii
ENSSHAP00000010464	ENSSHAG00000009031	Sarcophilus_harrisii
ENSMODP00000015266	ENSMODG00000012192	Monodelphis_domestica
ENSVURP00010015670	ENSVURG00010011993	Vombatus_ursinus
ENSOANP00000009922	ENSOANG00000006205	Ornithorhynchus_anatinus
ENSXETP00000017507	ENSXETG00000002604	Xenopus_tropicalis
ENSLACP00000020692	ENSLACG00000018181	Latimeria_chalumnae
ENSPNAP00000018490	ENSPNAG00000005148	Pygocentrus_nattereri
ENSEEEP00000007009	ENSEEEG00000003696	Electrophorus_electricus
ENSAMXP00005016643	ENSAMXG00005008676	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000046280	ENSAMXG00000030580	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000026051	ENSIPUG00000017641	Ictalurus_punctatus
ENSDARP00000140973	ENSDARG00000104172	Danio_rerio
ENSCHAP00000023770	ENSCHAG00000011738	Clupea_harengus
ENSDCDP00000008005	ENSDCDG00000004124	Denticeps_clupeoides
ENSTRUP00000056205	ENSTRUG00000007270	Takifugu_rubripes
ENSTNIP00000019335	ENSTNIG00000016242	Tetraodon_nigroviridis
ENSBSLP00000019017	ENSBSLG00000009927	Betta_splendens
ENSPRNP00000013944	ENSPRNG00000007607	Parambassis_ranga
ENSGWIP00000035460	ENSGWIG00000018304	Gouania_willdenowi
ENSCVAP00000009951	ENSCVAG00000012016	Cyprinodon_variegatus
ENSFHEP00000032813	ENSFHEG00000019533	Fundulus_heteroclitus
ENSPLAP00000013882	ENSPLAG00000017461	Poecilia_latipinna
ENSPFOP00000007372	ENSPFOG00000007414	Poecilia_formosa
ENSPREP00000012529	ENSPREG00000008512	Poecilia_reticulata
ENSPMEP00000031364	ENSPMEG00000018457	Poecilia_mexicana
ENSXMAP00000032563	ENSXMAG00000026872	Xiphophorus_maculatus
ENSXCOP00000008003	ENSXCOG00000006137	Xiphophorus_couchianus
ENSGAFP00000018239	ENSGAFG00000012341	Gambusia_affinis
ENSKMAP00000012362	ENSKMAG00000009294	Kryptolebias_marmoratus
ENSORLP00015014412	ENSORLG00015015349	Oryzias_latipes_ASM223469v1
ENSORLP00000036374	ENSORLG00000029892	Oryzias_latipes_ASM223467v1
ENSORLP00020010436	ENSORLG00020011346	Oryzias_latipes_ASM223471v1
ENSOMEP00000023217	ENSOMEG00000003181	Oryzias_melastigma
ENSSDUP00000014403	ENSSDUG00000010513	Seriola_dumerili
ENSSLDP00000011102	ENSSLDG00000008800	Seriola_lalandi_dorsalis
ENSLCAP00010027680	ENSLCAG00010013021	Lates_calcarifer
ENSSMAP00000007760	ENSSMAG00000004793	Scophthalmus_maximus
ENSCSEP00000011361	ENSCSEG00000007308	Cynoglossus_semilaevis
ENSMAMP00000014175	ENSMAMG00000009622	Mastacembelus_armatus
ENSMALP00000022942	ENSMALG00000016008	Monopterus_albus
ENSATEP00000020342	ENSATEG00000014156	Anabas_testudineus
ENSLBEP00000034069	ENSLBEG00000025643	Labrus_bergylta
ENSLCRP00005037421	ENSLCRG00005014568	Larimichthys_crocea
ENSMMOP00000020633	ENSMMOG00000015706	Mola_mola
ENSCGOP00000003410	ENSCGOG00000001841	Cottoperca_gobio
ENSGACP00000014978	ENSGACG00000011330	Gasterosteus_aculeatus
ENSACLP00000004116	ENSACLG00000002782	Astatotilapia_calliptera
ENSACLP00000009370	ENSACLG00000006294	Astatotilapia_calliptera
ENSMZEP00005011878	ENSMZEG00005008899	Maylandia_zebra
ENSHBUP00000015218	ENSHBUG00000017109	Haplochromis_burtoni
ENSPNYP00000003717	ENSPNYG00000002904	Pundamilia_nyererei
ENSNBRP00000030769	ENSNBRG00000023397	Neolamprologus_brichardi
ENSONIP00000021241	ENSONIG00000016857	Oreochromis_niloticus
ENSACIP00000025578	ENSACIG00000019816	Amphilophus_citrinellus
ENSAOCP00000005288	ENSAOCG00000008770	Amphiprion_ocellaris
ENSAPEP00000011734	ENSAPEG00000008362	Amphiprion_percula
ENSAPOP00000015853	ENSAPOG00000018909	Acanthochromis_polyacanthus
ENSSPAP00000008702	ENSSPAG00000006634	Stegastes_partitus
ENSHCOP00000015242	ENSHCOG00000018800	Hippocampus_comes
ENSPMGP00000023769	ENSPMGG00000019209	Periophthalmus_magnuspinnatus
ENSCGOP00000003334	ENSCGOG00000001790	Cottoperca_gobio
ENSGACP00000014956	ENSGACG00000011316	Gasterosteus_aculeatus
ENSLCRP00005037444	ENSLCRG00005014582	Larimichthys_crocea
ENSLBEP00000034132	ENSLBEG00000025686	Labrus_bergylta
ENSPMGP00000004942	ENSPMGG00000004174	Periophthalmus_magnuspinnatus
ENSSDUP00000014588	ENSSDUG00000010645	Seriola_dumerili
ENSSDUP00000014632	ENSSDUG00000010679	Seriola_dumerili
ENSSLDP00000000083	ENSSLDG00000000102	Seriola_lalandi_dorsalis
ENSSMAP00000007709	ENSSMAG00000004756	Scophthalmus_maximus
ENSLCAP00010027612	ENSLCAG00010012979	Lates_calcarifer
ENSLCAP00010002139	ENSLCAG00010001205	Lates_calcarifer
ENSATEP00000020601	ENSATEG00000014334	Anabas_testudineus
ENSBSLP00000018834	ENSBSLG00000009825	Betta_splendens
ENSMALP00000011641	ENSMALG00000008281	Monopterus_albus
ENSTNIP00000017250	ENSTNIG00000014236	Tetraodon_nigroviridis
ENSTNIP00000009791	ENSTNIG00000006992	Tetraodon_nigroviridis
ENSTRUP00000051198	ENSTRUG00000023117	Takifugu_rubripes
ENSMMOP00000020628	ENSMMOG00000015701	Mola_mola
ENSHCOP00000015261	ENSHCOG00000018816	Hippocampus_comes
ENSCSEP00000016585	ENSCSEG00000010664	Cynoglossus_semilaevis
ENSMZEP00005011755	ENSMZEG00005008819	Maylandia_zebra
ENSACLP00000005018	ENSACLG00000003369	Astatotilapia_calliptera
ENSHBUP00000028395	ENSHBUG00000012115	Haplochromis_burtoni
ENSPNYP00000005010	ENSPNYG00000003873	Pundamilia_nyererei
ENSNBRP00000024566	ENSNBRG00000018771	Neolamprologus_brichardi
ENSONIP00000016612	ENSONIG00000013209	Oreochromis_niloticus
ENSACIP00000011686	ENSACIG00000009097	Amphilophus_citrinellus
ENSPRNP00000013956	ENSPRNG00000007618	Parambassis_ranga
ENSAPEP00000011595	ENSAPEG00000008280	Amphiprion_percula
ENSAOCP00000005269	ENSAOCG00000008746	Amphiprion_ocellaris
ENSAPOP00000015793	ENSAPOG00000018854	Acanthochromis_polyacanthus
ENSSPAP00000008660	ENSSPAG00000006575	Stegastes_partitus
ENSPFOP00000007426	ENSPFOG00000007491	Poecilia_formosa
ENSPLAP00000013841	ENSPLAG00000017421	Poecilia_latipinna
ENSPMEP00000001816	ENSPMEG00000002797	Poecilia_mexicana
ENSPREP00000009605	ENSPREG00000006511	Poecilia_reticulata
ENSXMAP00000032691	ENSXMAG00000029510	Xiphophorus_maculatus
ENSXMAP00000017813	ENSXMAG00000017776	Xiphophorus_maculatus
ENSGAFP00000030415	ENSGAFG00000020494	Gambusia_affinis
ENSCVAP00000029705	ENSCVAG00000017746	Cyprinodon_variegatus
ENSFHEP00000011907	ENSFHEG00000013356	Fundulus_heteroclitus
ENSKMAP00000012517	ENSKMAG00000009404	Kryptolebias_marmoratus
ENSORLP00015014154	ENSORLG00015015084	Oryzias_latipes_ASM223469v1
ENSORLP00000005325	ENSORLG00000004253	Oryzias_latipes_ASM223467v1
ENSORLP00020010226	ENSORLG00020011134	Oryzias_latipes_ASM223471v1
ENSOMEP00000002440	ENSOMEG00000003389	Oryzias_melastigma
ENSGWIP00000035561	ENSGWIG00000018332	Gouania_willdenowi
ENSGWIP00000035496	ENSGWIG00000018313	Gouania_willdenowi
ENSMAMP00000014108	ENSMAMG00000009562	Mastacembelus_armatus
ENSGMOP00000007632	ENSGMOG00000007161	Gadus_morhua
ENSHHUP00000031274	ENSHHUG00000019879	Hucho_hucho
